bobble,مزركشة
hair,شعر
yellow,الأصفر
honest,صادق
honesty,أمانة
honest politicians,سياسيون صادقون
america,أمريكا
leader,زعيم
people,اشخاص
confident,موثوق
support,الدعم
political party,حزب سياسي
selfie,صورة شخصية
trumpfie,trumpfie
picture,صورة
photo,صورة فوتوغرافية
camera,الة تصوير
donald trump hair,شعر دونالد ترامب
trump hair,شعر رابحة
silk,حرير
silky,حريري
silky hair,شعر ناعم
dresser,مضمد
hair style,تسريحه شعر
hair dresser,حلاق
super hero trump,ترامب بطل السوبر
i am trump,أنا رابحة
i,أنا
am,صباحا
american politics,السياسة الأمريكية
american election 2016,الانتخابات الأمريكية 2016
rockstar,نجم روك
americans,الأمريكيين
america elections 2016,انتخابات أمريكا 2016
tomorrow,غدا
lazy,كسول
tired,متعبه
laidback,مسترخي
laze,تكاسل
procrastination,مماطلة
procrastinate,يماطل
delay,تأخير
morning,صباح
work day,يوم عمل
weekend,عطلة نهاية الاسبوع
off,إيقاف
weekends,عطلات نهاية الأسبوع
holidays,العطل
no,لا
bath,حمام
sunday,الأحد
weekend holiday,عطلة نهاية الأسبوع
weekend off,عطلة نهاية الاسبوع
weekend trip,رحلة نهاية الأسبوع
wash,غسل
home,الصفحة الرئيسية
clothes,ملابس
pyjamas,لباس نوم
lazy sunday,يوم أحد بطيء
best,الأفضل
offs,offs
pyjama party,حفلة بيجامة
unwind,فك
relaxing,الاسترخاء
busy,مشغول
hibernation,السبات الشتوي
sofa,كنبة
couch,أريكة
couch potato,محب للجلوس
silence,الصمت
sleeping,نائم
lazing,يتكاسل
unwinding,تفكيك
today,اليوم
nothing,لا شيئ
doing,تفعل
relax,الاسترخاء
chilling,يسترخي
lazy ass,الحمار كسول
chill,قشعريرة
no work,لا عمل
holiday,يوم الاجازة
sundays,أيام الأحد
vacation,عطلة
lazy bum,بوم كسول
eat,تأكل
sleep,ينام
repeat,كرر
resting,يستريح
glutton,الشره
eating,يتناول الطعام
hungry,جوعان
foodie,عشاق الطعام
good morning,صباح الخير
sunrise,شروق الشمس
woke,استيقظ
awake,مستيقظ
up,فوق
rise up,يرتفع
day,يوم
in bed,في السرير
bed,السرير
sleepy,نعسان
woke up,استيقظ
useless,بدون فائدة
vacations,الاجازات
saturday,يوم السبت
week off,إسبوع إجازة
idle,خامل
pizza,بيتزا
pancakes,الفطائر
food,طعام
food items,المواد الغذائية
indulgence,تساهل
weekend indulgence,تساهل عطلة نهاية الأسبوع
rajnikanth,راجنيكانث
rajnikant,Rajinikanth
thalaiva,رواق بأعمدة
south indian cinema,سينما جنوب الهند
tamil actor,ممثل التاميل
tamil movies,أفلام التاميل
movies,أفلام
south indian,جنوب الهند
south indian actor,الممثل الهندي الجنوبي
movie dialogues,حوارات الفيلم
understand,تفهم
better,أفضل
style,أسلوب
cant,غير قادر
stop,قف
stop me,اوقفني
south indian movies,أفلام جنوب الهند
play,لعب
ball,كرة
action,عمل
drama,دراما
kon,يمكن
kaun,من
who,منظمة الصحة العالمية
rok,عام
aaram,الباقي
time,زمن
rest,راحة
south indian dialogues,حوارات جنوب الهند
south india,جنوب الهند
bullet,رصاصة
goli,الحبة
fast,بسرعة
tez,أطروحات
anna,آنا
sotuh india,جنوب الهند
fastest,أسرع
faster,بسرعة
rajnikanth jokes,نكت راجنيكانث
yanna rascala,yanna rascala
rascala,rascala
actor,الممثل
indian actor,الممثل الهندي
lungi,إطالة
master,رئيس
lungi master,سيد lungi
rajni,السياسي
lungi dance,رقصة الرئة
chalbaaz,محتال
movie dialog,مربع حوار الفيلم
liquor,الخمور
booze,خمر
drinking,الشرب
drunk,سكران
indian movies,الأفلام الهندية
rajnikanth dialogues,حوارات راجنيكانث
dialogues,الحوارات
chamak,تألق
shine,يلمع
twenty twenty,عشرون وعشرون
sachin,ساشين
batting,الضرب
bowling,البولينج
indian cricket team,فريق الكريكيت الهندي
indian cricket,الكريكيت الهندي
cricket world cup,كأس العالم للكريكيت
cricketer,لاعب الكريكيت
sports,رياضات
cricket fans,جماهير الكريكيت
fan,معجب
bat,مضرب
bowl,عاء
india,الهند
you,أنت
balls,كرات
cricket,كريكيت
indian cricketers,لاعبو الكريكيت الهنود
batsman,الضارب
bowler,الرامى
injury,إصابة
bowled,البولينج
match,مباراة
catch,قبض على
out,خارج
run out,نفذ
cricket match,مباراة كريكيت
hit,نجاح
maar,لكن
punch,لكمة
howzzat,هوزات
indian cricketer,لاعب الكريكيت الهندي
that,ذلك
six,ستة
sixer,الستات
shot,اطلاق النار
clap,صفق
what,ماذا
dont,لا
be,كن
duck,بطة
bend,ينحني
low,منخفض
sachin tendulkar,ساشين تيندولكار
tendulkar,الأرنبة
god,الله
god of cricket,إله الكريكيت
indian cricket match,مباراة الكريكيت الهندية
century,مئة عام
match night,ليلة المباراة
sports injury,إصابة رياضية
cricket kit,عدة الكريكيت
match score,نتيجة المباراة
score,أحرز هدفا
win,يفوز
lost,ضائع
victory,فوز
bata,طفل
video,فيديو
online,عبر الانترنت
cricket fan,مروحة الكريكيت
player,لاعب
third,الثالث
3rd,عرض
umpire,حكم
referee,حكم
indian team,الفريق الهندي
indian player,لاعب هندي
12th,ثاني عشر
man,رجل
twelveth,الثاني عشر
indian crickter,لاعب الكريكيت الهندي
saale,saale
smooth,ناعم
delivery,توصيل
commentary,تعليق
cricket commentary,تعليق لعبة الكريكيت
strike,إضراب
cheerleader,المشجع
cheer,يشجع
match fixing,تحديد المباراة
fixing,اصلاح
bik,بيك
tu,انت
cricket team,فريق الكريكيت
can,يستطيع
drive,قيادة
players,لاعبين
full,ممتلئ
toss,رمى
full toss,إرم كامل
pitch,ملعب كورة قدم
bounce,وثب، ارتداد
ek,واحد
one,واحد
bouncer,الحارس
do,فعل
not,ليس
afraid,خائف
scared,مفزوع
hero,بطل
super hero,بطل خارق
powerpuff girls,الفتيات الخارقات
powerpuff,السلطة
girls,الفتيات
power,قوة
daring,جرأة
strong,قوي
bold,بالخط العريض
fighter woman,امرأة مقاتلة
fighter,مقاتل
here,هنا
I am,انا
cartoon network,شبكة الكرتون
cartoon,كرتون
professor,دكتور جامعى
ehh,إيه
whats up,ماذا تفعل
sup,سوب
doc,وثيقة
doctor,طبيب
bugs bunny,برغوث الارانب
rabbit,أرنب
carrot,جزرة
annoying,مزعج
cartoons,الرسوم
cartooon network,شبكة الكرتون
bunny,أرنب
cute,جذاب
hey,مهلا
hi,مرحبا
the,ال
is,يكون
yours,خاصة بك
captain planet,قائد الكوكب
planet,كوكب
captain,قائد المنتخب
brave,شجاع
empowering,تمكين
will,إرادة
hunt,مطاردة
down,أسفل
hunter,صياد
road runner,نقار الخشب
The Road Runner,عداء الطريق
The Coyote,ذئب البراري
looney toons,رسوم متحركة لوني
toons,رسوم متحركة
animal instincts,الغرائز الحيوانية
beep beep,زمارة زمارة
acme,ذروة
pretty,جميلة
are,هم
I m,انا
johnny,جوني
johnny bravo,جوني برافو
bravo,أحسنت
dude,يا صديق
sexy,جنسي
mojo jojo,موجو جوجو
villain,الوغد
evil,شرير
wicked,شريرة
bad,سيئة
baddie,بادي
cruel,قاسي
cruel intentions,نوايا قاسية
bff,بف
forever,إلى الأبد
life,الحياة
ed edd and eddy,إد إد وإدي
ed,إد
edd,إد
eddy,دوامة
bestie,الوحوش
log,سجل
imaginary,خيالي
imaginary friend,صديق وهمي
plank,لوح
aww,يا للروعة
moment,لحظة
great,عظيم
childhood,مرحلة الطفولة
ruined,دمر
cats,قطط
swat cats,القطط سوات
roll,تدحرج
bahadur bille,قطط شجاعة
swat,قوات التدخل السريع
swat kats,القطط سوات
bade miyan,ميان كبير
chote miyan,ميان الصغير
fighters,مقاتلين
best friends,أعز اصدقاء
The Radical Squadron,السرب الراديكالي
BADE MEOW,BADE MEOW
CHOTE,صغير
MEOW,مواء
cartoon shows,عروض الكرتون
children,الأطفال
catch you,أمسكتك
tom,توم
jerry,جيري
tom and jerry,توم و جيري
cat,قط
mouse,الفأر
wanna,اريد
cartoon character,شخصية كرتونية
the addams family,عائلة أدامس
wednesday,الأربعاء
girl,فتاة
knock,طرق
jetsons,طائرات نفاثة
the jetsons,jetsons
jane,جين
george,جورج
laugh,يضحك
haha,هاها
dexter,أيمن
dexters laboratory,مختبر دكسترز
network,شبكة الاتصال
deedee,ديدي
scientist,عالم
lab,مختبر
mayor,عمدة
secretary,سكرتير
sexy secretary,سكرتير مثير
Ms Sara Bellum,السيدة سارة WAR
sara bellum,حرب سارة
the powerpuff  girls,مسلسل فتيات القوة
Townsville,تاونسفيل
red hair,شعر احمر
dress,فستان
red,أحمر
heels,كعوب
hot,الحار
bear,يتحمل
smarter,أذكى
average,معدل
fat,سمين
smart,ذكي
THE YOGI BEAR,يوغي بير
THE YOGI BEAR SHOW,معرض الدب يوغي
wise,حكيم
intelligent,ذكي
we,نحن
kid,طفل
sharing,مشاركة
share,شارك
alvin and the chipmunks,ألفين والسنجاب
alvin,ألفين
chipmunks,السنجاب
Simon,سيمون
Theodore,ثيودور
prize,جائزة
yes,نعم
yeah,بلى
all right,حسنا
alright,حسنا
boss,رئيس
sir,سيدي المحترم
servant,خادم
maid,عاملة نظافة
richie rich,ريتشي ريتش
Irona the Robot Maid,خادمة أيرونا خادمة الروبوت
robot,إنسان آلي
irona,مكواة
Mrs Rich,السيدة ريتش
ok,حسنا
Sarabhai VS Sarabhai,Sarabhai VS Sarabhai
rosesh,وردية
sarabhai,سارابهاي
moma,ماما
momma,أم
mamas boy,أبن أمه
car,سيارة
boy,صبي
Einstein,أينشتاين
biwi,زوجة
wife,زوجة
brain,الدماغ
stupid,غبي
big cars,سيارات كبيرة
lol,الضحك بصوت مرتفع
poetry,الشعر
roshes poetry,شعر روش
gaadi,سيارة
dimag,الدماغ
idiot,الأبله
lame,عرجاء
lame poetry,شعر عرجاء
wine,نبيذ
whiskey,ويسكي
champagne,شامبانيا
drinks,مشروبات
drink,يشرب
offering drinks,تقديم المشروبات
cheers,في صحتك
alcohol,الكحول
sitcom,مسلسل كوميدي
indian sitcom,المسرحية الهزلية الهندية
middle class,الطبقة المتوسطة
ls,LS
highclass,الدرجة العالية
maya,مايا
maya sarabhai,مايا سارابهاي
mind,عقل
making,صناعة
point,نقطة
vs,ضد
sitcoms,كوميديا
indian sitcoms,المسلسلات الهزلية الهندية
argument,جدال
arguing,مجادلة
haunsla,الشجاعة
sweety,حبيبة
monisha,مانيشا
hope,أمل
dont lose,لا تخسر
lose,تخسر
proud,فخور
monisha sarabhai,Monisha Sarabhai
poison,السم
milk,حليب
acting,التمثيل
overacting,إفراط
woman,النساء
indian woman,امرأة هندية
comedy shows,العروض الكوميدية
comedy,كوميديا
indian comedy shows,عروض كوميديا ​​هندية
doodh,دود
swear,أقسم
indian comedy,كوميديا ​​هندية
promise,وعد
jaljeera,jaljeera
celebration,احتفال
housewife,ربه منزل
aroma,رائحة
rosesh sarabhai,Rosesh Sarabhai
happiness,السعادة
show,تبين
indian shows,عروض هندية
happy dance,رقص سعيد
mummy,مومياء
purse,كيس نقود
hospital,مستشفى
sweet,حلو
nurse,ممرضة
flattering,الإطراء
impress,اعجاب
patient,صبور
mom,أمي
mother,أم
mommas boy,صبي ألأم
lmao,lmao
jelly,هلام
roseshs poetry,شعر وردية
son,ابن
doting,شغوف ب
dote,مهر
pigeons,الحمام
birds,الطيور
pigeon,حمامة
writings,كتابات
writing,جاري الكتابة
so,وبالتالي
class,صف دراسي
middle,الوسط
high class,الدرجة العالية
showoff,متفاخر
broke,حطم
money,مال
rupees,روبية
cash,السيولة النقدية
card,بطاقة
credit card,بطاقة الائتمان
miser,البخيل
scrooge,البخيل
low on cash,منخفضة على النقد
wallet,محفظة نقود
no money,لا يوجد نقود
no salary,بدون راتب
salary,راتب
balance,توازن
low balance,توازن منخفض
no cash,غير نقدي
phone call,مكالمة هاتفية
mobile phone,تليفون محمول
forgot,نسي
brothers,الإخوة
dead,ميت
bhai,بهاي
buddy,رفيق
bud,برعم
bro,أخ
t shirt,تي شيرت
shirt,قميص
tee,تي
t,ر
brother,شقيق
borrow,اقتراض
loan,قرض
owe,مدينون
bill,مشروع قانون
check,التحقق من
no balance,لا يوجد رصيد
pay,دفع
restaurant,مطعم
bro brother,أخي إخوانه
extra,إضافي
ask,يطلب
snack,وجبة خفيفة
snacking,تناول وجبات خفيفة
bhel,BHEL
more,أكثر
munching,مضغ
hogging,خنزير
snacks,وجبات خفيفة
note,ملحوظة
girls night,ليلة الفتيات
girls night out,ليلة خروج الفتيات
ladies night,ليلة السيدات
broke girls,الفتيات المحطمات
clubbing,ارتياد
club,النادي
tonight,هذه الليلة
lets party,دعنا نحتفل
dancing,الرقص
women,نساء
thursday,الخميس
birthday,عيد الميلاد
gift,هدية مجانية
present,حاضر
birthday gift,هدية عيد ميلاد
birthday party,حفلة عيد ميلاد
kanjoos,بخيل
asking,يسأل
birthday present,هدية عيد ميلاد
shopping,التسوق
shop,متجر
cell phone,الهاتف الخلوي
urgent call,نداء عاجل
no battery,بطارية فارغة
dead phone,هاتف ميت
make,يصنع
scoorge,البخيل
yaar,الذي
bruh,بروه
chai,هدم
tea,شاي
masala tea,شاي المسالا
kadak chai,تشاي الصارم
cutting chai,شاي الحصاد
treat,يعالج
hangout,يتسكع
tea shop,متجر الشاي
tea stall,كشك الشاي
guys,رفاق
guy,شاب
Demonetisation,Demonetisation
car pool,تجمع السيارات
cab pool,تجمع الكابينة
cab sharing,تقاسم الكابينة
auto,تلقاءي
delhi auto,دلهي السيارات
taxi sharing,مشاركة سيارات الأجرة
travelling,سفر
travel,السفر
traveling,سفر
friendship,صداقة
change,يتغيرون
big note,ملاحظة كبيرة
five hundred note,خمسمائة ملاحظة
bill pay,دفع الفواتير
no change,لا تغيير
currency,عملة
metro,المترو
stuck,عالق
got,حصلت
transport,المواصلات
bus,حافلة
train,قطار
metro train,قطار مترو
delhi metro,مترو دلهي
delhi metro train,قطار مترو دلهي
mumbai metro,مترو مومباي
local transport,وسائل النقل المحلية
late,متأخر
late to work,في وقت متأخر للعمل
excuses,أعذار
worker,عامل
employee,موظف
office staff,موظفي المكاتب
manager,مدير
team,الفريق
suit,بدلة
cab,سيارة أجرة
cabbie,سائقة تاكسي أجرة
cab guy,رجل الكابينة
driver,سائق
taxi driver,سائق سيارة أجرة
taxi,سيارة اجره
auto driver,سائق سيارات
route,طريق
direction,اتجاه
area,منطقة
took,أخذ
delayed,تأخر
latecomer,متأخر
navigation,التنقل
way,الطريق
road,الطريق
street,شارع
procession,موكب
job,مهنة
in laws,في القوانين
mother in law,حماة "أم الزوج أو أم الزوجة
father in law,ووالد بالتبنى
inlaws,اللوائح الداخلية
relatives,أقارب
married,متزوج
married employee,موظف متزوج
bahane,عذر
kaam,العمل
office job,عمل مكتبي
office excuses,أعذار المكتب
loosemotions,العواطف
loose motions,حركات فضفاضة
sick,مرض
sickness,غثيان
ill,سوف
unwell,على ما يرام
late coming,أواخر المجيء
workexcuses,اعذار عمل
member,عضو
fake,مزورة
faking illness,مرض مزيف
bad stomach,المعدة سيئة
stomach ache,ألم المعدة
potty,قعادة
dump,تفريغ
poop,براز الانسان
parents,الآباء
station,محطة
pick,قطف او يقطف
railway station,محطة قطار
bus stand,موقف الحافلة
work excuses,أعذار العمل
work place,مكان العمل
flat tyre,إطار مسطح
puncture,ثقب
tyre,إطار العجلة
broke down,كسر
working,يعمل
sad employee,موظف حزين
on,على
skipped,تم تخطيها
bai,أبيض
kaamwali,خادمة
late today,متأخر اليوم
theft,سرقة
robbery,سرقة
heist,سرقة
building,بناء
society,المجتمع
crime scene,مسرح الجريمة
appartment,شقة
work excuse,عذر العمل
employer,صاحب العمل
car broke down,اندلعت السيارة إلى أسفل
kharab,سيء
gaadi band,إيقاف السيارة
raining,تمطر
monsoon,الرياح الموسمية
location,موقعك
city,مدينة
water clogging,انسداد المياه
paani,الماء
coca cola,كوكا كولا
thanda,بارد
coke,فحم الكوك
yo,أنا
beverage,مشروب
taste the feeling,تذوق الشعور
taste,المذاق
bottle,زجاجة
cola,الكولا
coca,كوكا
coke bottle,زجاجة فحم الكوك
jersey,جيرسي
soft drink,مشروب غازي
1,1
coca cola,كوكا كولا
meet,يجتمع
walking,يمشي
foodies,عشاق الطعام
khushiyaan,التخصص
feeling,شعور
meeting,لقاء
towel,منشفة
bathroom,حمام
shower,دش
girl in washroom,فتاة في الحمام
washroom,الحمام
toilet,الحمام
girl in towel,فتاة في منشفة
no wash,لا يغسل
clean,نظيف
fresh,طازج
freshen,تعيش
company,شركة
dirty pack,حزمة قذرة
pack,رزمة
dirty,قذر
cold,البرد
girl in bathrobe,فتاة في رداء الحمام
bathing,الاستحمام
bathe,استحم
industry,صناعة
clean up,نظف
unhygienic,غير صحي
hygiene,النظافة
sanitary,صحية
fever,حمى
ganda,مزدوج
deodorant,مزيل عرق
in,في
kal,غدًا
nahaya,استحم
ath,آث
athing,أي شيء
wash wash up,اغسل اغسل
alibi,عذر
excuse,عذر
nightsuit,بدلة مسائية
underwear,ثياب داخلية
kacche,خام
dhule,ذيول
washing,غسل
dry,جاف
dirty clothes,ملابس متسخه
arriving late,يصل متأخرا
ironing,كى الملابس
iron,حديد
pants,بنطال
trousers,بنطلون
naked,عاريا
tie,ربطة عنق
no bath,لا يوجد حمام
warm,دافئ
restroom,غرفة الاستراحة
woman in towel,امرأة في منشفة
pink,زهري
lady,سيدة
hot water bath,حمام الماء الساخن
no shower,لا دش
holi,هولي
wash up,يغسل
pichkaari,مرذاذ
gross,إجمالي
abey,تدين
blue,أزرق
naha,الجلد
winter,شتاء
oye,oye
come,تأتي
thand,بارد
Daisy Duck,ديزي داك
darling,حبيبي
good,جيد
luck,حظ
good luck,حظا سعيدا
memories,ذكريات
bae,عزيزي
girl friend,صديقة
school days,أيام المدرسة
eighties,الثمانينات
baby,طفل
lovable,محبوب
girl friends,صديقات
post,بريد
posted,تم النشر
first,أول
before,قبل
update,تحديث
social media,وسائل التواصل الاجتماعي
donald duck,البطة دونالد
donald,دونالد
child,طفل
hilarious,مضحك جدا
insane,مجنون
cuteness,الجاذبية
mental,عقلي
mentally,عقليا
oh,يا
boy oh boy,صبي يا صبي
mickey,سخرية
mickey mouse,ميكي ماوس
response,استجابة
shocked,صدمت
some,بعض
music,موسيقى
songs,الأغاني
song,أغنية
minnie,ميني
mini,مصغرة
minni,لي
minnie mouse,ميني ماوس
melody,لحن
need,بحاجة إلى
all,الكل
romance,رومانسي
romanctic,رومانسي
conversations,المحادثات
talks,محادثات
lover,حبيب
guitar,غيتار
instrument,أداة
forbidden,ممنوع
romantic,رومانسي
heart ache,وجع القلب
dill,شبت
how,كيف
cteness,cteness
starts,يبدأ
beginning,البداية
conversation,محادثة
for,إلى عن على
group,مجموعة
happy birthday,عيد ميلاد سعيد
to me,مع
my birthdy,يوم ميلادي
my,لي
hello,مرحبا
starters,مبتدئين
begin,ابدأ
mouseketeers,الفأر
magic,سحر
jaafu,القيل والقال
jadu,السحر
cloak,عباءة
me,أنا
praise,مديح
in love,يعشق
ishq,العشق
flirt,يغازل
flirtatious,غزلي
filmy,أفلام
bollywood,بوليوود
cinema,سينما
hindi,الهندية
relationships,العلاقات
pyar,الحب
dl,دل
zindagi,zindagi
hai,هو
dialogue,حوار
dialog,الحوار
mohabbat,المحبات
lovesick,عاشق ولهان
chance,فرصة
stake,حصة
risk,خطر
kuch,بعض
by,بواسطة
mera,ميرا
limit,الحد
main,الأساسية
hearts,قلوب
rule,قاعدة
pyaar ke rules,قواعد الحب
friendzone,منطقة صديق
friendzoned,صديق
diwana,مجنون
mad,غاضب
ole,ليس
bole,يقول
saif,سيف
saif ali khan,سيف علي خان
tera,تيرا
jab bhi,كلما
see,نرى
dekhu,انظر
ladka,الصبي
bike,دراجة هوائية
hitting,ضرب
hitting on,ضرب على
aur,الذهب
dono,الذي
thai ishqiya,Ishqiya التايلاندية
baccha,حبيبتي
hai jee,هاي
empty,فارغة
pockets,جيوب
paisa,المال
cashless,غير نقدي
staff,العاملين
later,في وقت لاحق
diwali,ديوالي
professional,المحترفين
prediwali,prediwali
diwali party,حفلة ديوالي
card party,حزب بطاقة
ethnic wear,ملابس العرقية
traditional wear,ملابس تقليدية
traditional,تقليدي
festive,احتفالي
festive wear,ملابس احتفالية
daru,هدية
sharab,النبيذ
alocohol,الكحول
kurta pyjama,kurta pajama
where,أين
cardparty,بطاقة
say,قل
to,إلى
crackers,المقرمشات
slogan,شعار
deepawali,Deepawali
dipawali,Deepawali
cards,بطاقات
couple,زوجين
rangoli,رانجولي
stay,البقاء
away,بعيدا
diya,تعطى
lamps,مصابيح
diwlai celebration,احتفال ديوالي
maa,الأرض
mata,العين
housewide,ربة منزل
safai,النظافة
ghar,المنزل
house,منزل
house cleaning,تنظيف المنزل
diwali cleaning,تنظيف ديوالي
karega,سأفعل
ki,من
daughter,ابنة
sahab,سيدي
housekeeper,مدبرة المنزل
cleaner,منظف
diwlai,من فضلك
bonus,علاوة
diwali bonus,مكافأة ديوالي
bucket,دلو
cleaning,تنظيف
broom,مكنسة
jhaduu,جهادو
diwali shopping,التسوق ديوالي
with,مع
be like,كن ك
bags,أكياس
shopping bags,أكياس التسوق
missing,مفقود
miss,يغيب
miss you,أفتقدك
yaad,تذكر
ghar ki yaad,تذكر المنزل
nostalgia,حنين
nostalgic,حنين
baksheesh,بقشيش
paise,المال
superstar,نجم النجوم
stage,المسرح
mic,ميكروفون
singer,مغني
melodies,ألحان
perform,نفذ
gig,أزعج
star,نجمة
band,فرقة
rockband,فرقة الروك
musician,موسيقي او عازف
spotlight,تسليط الضوء
goodwork,عمل جيد
well,حسنا
done,فعله
welldone,يلدون
good job,عمل جيد
acha,أعتقد
sun,شمس
surf,تصفح
surfboard,لوح التزلج
surfing,تصفح
shining,ساطع
waves,أمواج
swiming,سباحة
swimwear,ملابس سباحة
swimsuit,ملابس السباحة
goa,غوا
beaches,الشواطئ
usic,مخدر
performance,أداء
acha kaam,عمل جيد
ha,لديه
hell,الجحيم
burn,حرق
burning,احتراق
laughing,يضحك
interaction,التفاعل
talk,حديث
old,قديم
days,أيام
memory,ذاكرة
college,كلية
cowboy,رعاة البقر
cowboy hat,قبعة رعاة البقر
cowboy boots,أحذية رعاة البقر
boots,الأحذية
dessert,الحلوى
hat,قبعة
fighting,قتال
goodnight,تصبح على خير
night,ليل
dreams,أحلام
sweetdreams,أحلام جميلة
moon,القمر
dark,داكن
stars,النجوم
the moon,القمر
clouds,سحاب
sky,سماء
end,النهاية
scare,فزع
scray,الصراخ
boo,بوو
ghost,شبح
land,أرض
scarecrow,فزاعة
shock,صدمة
surprise,مفاجأة
zombie,الاموات الاحياء
hahaha,ها ها ها ها
laughter,ضحك
wicked laugh,ضحك شرير
scary,مخيف
tight,ضيق
honey,عسل
grilfriend,صديقة
college days,أيام الكلية
older,اكبر سنا
young,شاب
younger,اصغر سنا
retro,الرجعية
yearn,اشتاق
booo,بوو
witch,ساحرة
flying,تحلق
ghosts,أشباح
spooky,مرعب
chudail,الساحرة
shinning,التسلق
bright,مشرق
frieds,مقلي
really,هل حقا
chat,دردشة
friendships,الصداقات
stunned,فاجأ
hmmm,هممم
hmm,هم
pondering,تأمل
contemplating,تفكر
think,يفكر
thoughtful,وقور
thoughts,أفكار
hahah,هههه
bahaha,الباحة
joking,يمزح
hansna,تضحك
thanks,شكر
thank you,شكرا لكم
thank,شكرا
help,مساعدة
welcome,أهلا بك
thanking,شكر
get,احصل على
get out,اخرج
chakra,شقرا
go,اذهب
fuck off,تخلص من
superhero,خارقة
whatsup,ماذا تفعل
ssup,ssup
whaddup,ودب
whatup,ماذا
watsup,watsup
happing,يحدث
opening,افتتاح
coversation,محادثة
start,بداية
converse,العكس
free,مجانا
freebird,طائر حر
freedom,حرية
break,استراحة
jatt,جت
fly,يطير
air,الهواء
super,ممتاز
stoned,مخدر
starter,بداية
solar,شمسي
activate,تفعيل
functionality,وظائف
character,حرف
powerful,قوي
stronger,أقوى
like,مثل
lve,lve
flirting,يمزح
flatter,أكثر تسطحا
u,في
affair,قضية
caught,القبض
ya,من
caught you,امسكتك
pakad,انتظر
liye,ل
he,هو
everyday,كل يوم
howdy,مرحبا
namaste,مرحبًا
group chat,مجموعة محادثة
feel,يشعر
strength,قوة
attack,هجوم
protector,حامية
bored,ضجر
m,م
boring,ممل
plans,الخطط
run,يركض
running,ادارة
zap,انطلق
zoom,تكبير
storm out,اقتحام خارج
exit,خروج
go away,ابتعد أو ارحل
dissappear,تختفي
leave,غادر
have,يملك
a,أ
plan,خطة
planning,التخطيط
idea,فكرة
trick,الخدعة
plan of action,خطة العمل
tvf pitchers,أباريق tvf
pitchers,أباريق
beer,بيرة
tvf,tvf
viral,على نطاق واسع
peeney,الشرب
peena,للشرب
bhati,بهاتي
navin,نافين
navin bansal,نافين بانسال
glass,زجاج
hun,هم
bansal,حظر
botal,زجاجة
nikla,النيكل
bahunga,سوف
hoon,هون
behna,بهنا
behunga,كانوا يتشاورون
bahar,فصل الربيع
invest,استثمار
investor,مستثمر
funding,التمويل
drunk night,ليلة في حالة سكر
height,ارتفاع
sexism,التحيز الجنسي
of,من
gunda,جوندا
entrepreneur,ريادي
startup,بدء
invester,مستثمر
presentation,عرض
ladki,الفتاة
tum,توم
kyu,كيو
why,لماذا ا
boygang,boygang
