bobble,बकबक
donald trump hair,डोनाल्ड ट्रम्प कपाल
trump hair,ट्रम्प कपाल
silk,रेशम
silky,रेशमी
silky hair,रेशमी कपाल
dresser,ड्रेसर
hair style,कपाल शैली
hair dresser,कपाल ड्रेसर
super hero trump,सुपर नायक ट्रम्प
i am trump,म ट्रम्प हुँ
i,i
am,म
american politics,अमेरिकी राजनीति
american election 2016,अमेरिकी चुनाव २०१ 2016
rockstar,रक स्टार
americans,अमेरिकी
america elections 2016,अमेरिका चुनाव २०१ 2016
tomorrow,भोली
lazy,अल्छी
tired,थकित
laidback,ढल्कियो
laze,लेज
procrastination,ढिलाइ
procrastinate,ढिलाइ
delay,ढिला
morning,बिहान
work day,काम दिन
weekend,सप्ताहन्त
off,बन्द
weekends,सप्ताहन्त
holidays,बिदा
no,होईन
bath,नुहाउनु
sunday,आइतबार
weekend holiday,सप्तान्त छुट्टी
weekend off,सप्तान्तमा बन्द
weekend trip,सप्ताहन्त यात्रा
wash,धुनु
home,घर
clothes,लुगा
pyjamas,पायजामा
lazy sunday,अल्छी आइतबार
best,सबै भन्दा राम्रो
offs,बन्द
pyjama party,पायजामा पार्टी
unwind,खोलिएको
relaxing,आराम
busy,व्यस्त
hibernation,हाइबरनेसन
sofa,सोफा
couch,पलंग
couch potato,पलंग आलु
silence,मौन
sleeping,सुत्नु
lazing,lazing
unwinding,अनावश्यक
today,आज
nothing,केहि छैन
doing,गर्दै
relax,आराम गर्नुहोस्
chilling,चिलिंग
lazy ass,अल्छी गधा
chill,चिसो
no work,काम छैन
holiday,छुट्टी
sundays,आइतबार
vacation,छुट्टी
lazy bum,अल्छी बम
eat,खानु
sleep,सुत्नु
repeat,दोहोर्याउनुहोस्
resting,विश्राम
glutton,घिचुवा
eating,खानु
hungry,भोक
foodie,खन्चुवा
good morning,शुभ - प्रभात
sunrise,सूर्योदय
woke,उठ्यो
awake,ब्यूँझनुहोस्
up,माथि
rise up,माथि उठ
day,दिन
in bed,खाटमा
bed,ओछ्यान
sleepy,निन्द्रा
woke up,उठे
useless,बेकार
vacations,बिदा
saturday,शनिबार
week off,हप्ता छुट
idle,निष्क्रिय
pizza,पिज्जा
pancakes,पेनकेक्स
food,खाना
food items,खाद्य वस्तुहरू
indulgence,भोग
weekend indulgence,सप्ताहन्त भोग
rajnikanth,रजनीकांत
rajnikant,रजनीकांत
thalaiva,Portico
south indian cinema,दक्षिण भारतीय सिनेमा
tamil actor,तामिल अभिनेता
tamil movies,तामिल चलचित्रहरू
movies,चलचित्रहरू
south indian,दक्षिण भारतीय
south indian actor,दक्षिण भारतीय अभिनेता
movie dialogues,चलचित्र संवादहरू
understand,बुझ्नु
better,राम्रो
style,शैली
cant,पोखरी
stop,रोक
stop me,मलाई रोक्नुहोस्
south indian movies,दक्षिण भारतीय चलचित्रहरू
play,खेल्नु
ball,बल
action,कार्य
drama,नाटक
kon,सक्छ
kaun,को
who,Who
rok,वर्ष
aaram,बाँकी
time,समय
rest,आराम
south indian dialogues,दक्षिण भारतीय संवाद
south india,दक्षिण भारत
bullet,गोली
goli,गोली
fast,छिटो
tez,theses
anna,अन्ना
sotuh india,दक्षिण भारत
fastest,सब भन्दा छिटो
faster,छिटो
rajnikanth jokes,रजनीकांत जोक्स
yanna rascala,yanna rascala
rascala,रस्कला
actor,अभिनेता
indian actor,भारतीय अभिनेता
lungi,लामो पार्नू
master,मास्टर
lungi master,लुंगी मास्टर
rajni,राजनीतिज्ञ
lungi dance,लुंगी नाच
chalbaaz,ट्रिकस्टर
movie dialog,चलचित्र संवाद
liquor,रक्सी
booze,बूज
drinking,पिउदै
drunk,पियक्कड
indian movies,भारतीय चलचित्रहरू
rajnikanth dialogues,रजनीकांत संवाद
dialogues,संवादहरु
chamak,चमक
shine,चम्कने
twenty twenty,बीस बीस
sachin,साचिन
batting,ब्याटि।
bowling,बलिling
indian cricket team,भारतीय क्रिकेट टीम
indian cricket,भारतीय क्रिकेट
cricket world cup,क्रिकेट विश्व कप
cricketer,क्रिकेटर
sports,खेलकुद
cricket fans,क्रिकेट प्रशंसकहरु
fan,प्रशंसक
bat,ब्याट
bowl,कचौरा
india,भारत
you,तपाईं
balls,बलहरू
cricket,क्रिकेट
indian cricketers,भारतीय क्रिकेटरहरू
batsman,ब्याट्सम्यान
bowler,बलर
injury,चोट
bowled,बोल्ड
match,खेल
catch,समात्नुहोस्
out,बाहिर
run out,रन आउट
cricket match,क्रिकेट खेल
hit,हिट
maar,तर
punch,मुक्का
howzzat,हाउज्याट
indian cricketer,भारतीय क्रिकेटर
that,त्यो
six,छ
sixer,छक्का
shot,शट
clap,ताली
what,के
dont,हैन
be,हुन
duck,हाँस
bend,बाङ्गो
low,कम
sachin tendulkar,साचिन तेन्डुलकर
tendulkar,टेन्डुलकर
god,भगवान
god of cricket,क्रिकेटको भगवान
indian cricket match,भारतीय क्रिकेट खेल
century,शताब्दी
match night,खेल रात
sports injury,खेल चोट
cricket kit,क्रिकेट किट
match score,खेल स्कोर
score,स्कोर
win,जीत
lost,हराएको
victory,जीत
bata,बच्चा
video,भिडियो
online,अनलाइन
cricket fan,क्रिकेट प्रशंसक
player,खेलाडी
third,तेस्रो
3rd,देखाउनुहोस्
umpire,अंपायर
referee,रेफरी
indian team,भारतीय टीम
indian player,भारतीय खेलाडी
12th,१२ औं
man,मानिस
twelveth,बाह्रौं
indian crickter,भारतीय क्रिकेटर
saale,सेल
smooth,चिल्लो
delivery,वितरण
commentary,कमेन्टरी
cricket commentary,क्रिकेट टिप्पणी
strike,हडताल
cheerleader,जयजयकार
cheer,खुशी
match fixing,खेल फिक्सिंग
fixing,फिक्सिंग
bik,बेक
tu,तपाईं
cricket team,क्रिकेट टीम
can,सक्छ
drive,ड्राइभ
players,खेलाडीहरू
full,पूर्ण
toss,टस
full toss,पूर्ण टस
pitch,पिच
bounce,बाउन्स
ek,एक
one,एक
bouncer,बाउन्सर
do,गर्नुहोस्
not,हैन
afraid,डर
scared,डराउनु
hero,नायक
super hero,सुपर नायक
powerpuff girls,पावरफफ केटीहरू
powerpuff,पावरपफ
girls,केटीहरू
power,शक्ति
daring,साहसी
strong,कडा
bold,बोल्ड
fighter woman,लडाकू महिला
fighter,लडाकू
here,यहाँ
I am,म हो
cartoon network,कार्टुन नेट्वर्क
cartoon,कार्टुन
professor,प्राध्यापक
ehh,एह
whats up,के छ
sup,समर्थन
doc,कागजात
doctor,चिकित्सक
bugs bunny,बग खरायो
rabbit,खरायो
carrot,गाजर
annoying,कष्टकर
cartoons,कार्टुन
cartooon network,कार्टुन नेट्वर्क
bunny,खरायो
cute,प्यारो
hey,हे!
hi,नमस्ते
the,को
is,छ
yours,तिम्रो
captain planet,कप्तान ग्रह
planet,ग्रह
captain,कप्तान
brave,साहसी
empowering,सशक्तीकरण
will,हुनेछ
hunt,शिकार
down,तल
hunter,शिकारी
road runner,रोड धावक
The Road Runner,रोड धावक
The Coyote,कोयोट
looney toons,लुनी तन्स
toons,Toons
animal instincts,पशु प्रवृत्ति
beep beep,वीप वीप
acme,एक्मे
pretty,राम्रो
are,छन्
I m,म
johnny,जोनी
johnny bravo,जोनी ब्रावो
bravo,ब्रावो
dude,साथी
sexy,सेक्सी
mojo jojo,मोजो जोोजो
villain,खलनायक
evil,खराब
wicked,दुष्ट
bad,नराम्रो
baddie,Baddie
cruel,क्रूर
cruel intentions,क्रूर अभिप्राय
bff,bff
forever,सधैंभरि
life,जीवन
ed edd and eddy,एड एडी र एडी
ed,एड
edd,ईडी
eddy,एडी
bestie,जन्तुहरूसित
log,लग
imaginary,काल्पनिक
imaginary friend,काल्पनिक साथी
plank,पट्टि
aww,वाह
moment,पल
great,महान
childhood,बाल्यकाल
ruined,बर्बाद
cats,बिरालाहरू
swat cats,स्वाट क्याट्स
roll,रोल
bahadur bille,बहादुर बिरालाहरू
swat,स्वाट
swat kats,स्वाट क्याट्स
bade miyan,ठूलो म्यान
chote miyan,सानो म्यान
fighters,लडाकुहरु
best friends,अतिमिल्ने साथी
The Radical Squadron,रेडिकल स्क्वाड्रन
BADE MEOW,BADE MEOW
CHOTE,सानो
MEOW,म्याउ
cartoon shows,कार्टुन शोहरू
children,बच्चाहरु
catch you,पकड
tom,टम
jerry,जेरी
tom and jerry,टम र जेरी
cat,बिरालो
mouse,माउस
wanna,चाहना
cartoon character,कार्टुन चरित्र
the addams family,थप परिवार
wednesday,बुधवार
girl,केटी
knock,दस्तक
jetsons,जेटसनहरू
the jetsons,जेटसनहरू
jane,जेन
george,जर्ज
laugh,हाँसो
haha,हाह
dexter,dexter
dexters laboratory,डेक्सटर प्रयोगशाला
network,नेटवर्क
deedee,डिडी
scientist,वैज्ञानिक
lab,प्रयोगशाला
mayor,मेयर
secretary,सचिव
sexy secretary,सेक्सी सचिव
Ms Sara Bellum,सांसद सारा युद्धको
sara bellum,सारा युद्ध
the powerpuff  girls,पावरफफ केटीहरू
Townsville,टाउन्सविले
red hair,रातो कपाल
dress,लुगा
red,रातो
heels,एडी
hot,तातो
bear,भालु
smarter,चलाख
average,औसत
fat,मोटो
smart,स्मार्ट
THE YOGI BEAR,यो योगी भालु
THE YOGI BEAR SHOW,यो योगी भालु देखाउनुहोस्
wise,बुद्धिमान
intelligent,बुद्धिमान
we,हामी
kid,बच्चा
sharing,बाढ्नु
share,सेयर
alvin and the chipmunks,एल्विन र चिपमन्क्स
alvin,एल्विन
chipmunks,chipmunks
Simon,साइमन
Theodore,थिओडोर
prize,पुरस्कार
yes,हो
yeah,हो
all right,ठिकै छ
alright,ठिकै छ
boss,मालिक
sir,सर
servant,नोकर
maid,दासी
richie rich,धनी धनी
Irona the Robot Maid,रोबोट दासी इरोना
robot,रोबोट
irona,लोहा
Mrs Rich,श्रीमती
ok,ठिक छ
Sarabhai VS Sarabhai,साराभाई VS साराभाई
rosesh,गुलाब
sarabhai,सराभाई
moma,moma
momma,आमा
mamas boy,mamas केटा
car,कार
boy,केटा
Einstein,आइन्स्टाइन
biwi,पत्नी
wife,पत्नी
brain,दिमाग
stupid,मूर्ख
big cars,ठूला कारहरू
lol,lol
poetry,कविता
roshes poetry,roshes कविता
gaadi,कार
dimag,दिमाग
idiot,मुर्ख
lame,लंगडा
lame poetry,लंगडा कविता
wine,रक्सी
whiskey,व्हिस्की
champagne,स्याम्पेन
drinks,पेय
drink,पिउनु
offering drinks,पेय प्रदान गर्दै
cheers,चियर्स
alcohol,रक्सी
sitcom,sitcom
indian sitcom,भारतीय सिटकाम
middle class,मध्यम वर्गिय
ls,ls
highclass,उच्च वर्ग
maya,माया
maya sarabhai,माया सरभाई
mind,दिमाग
making,बनाउनु
point,पोइन्ट
vs,बनाम
sitcoms,सिटकोम्स
indian sitcoms,भारतीय सिटकम
argument,तर्क
arguing,बहस गर्दै
haunsla,साहस
sweety,स्वीटी
monisha,मनीषा
hope,आशा
dont lose,हराउनु हुँदैन
lose,हराउनु
proud,गर्व
monisha sarabhai,मोनिषा साराभाई
poison,विष
milk,दूध
acting,अभिनय
overacting,अवरेक्ट गर्दै
woman,महिला
indian woman,भारतीय महिला
comedy shows,हास्य कार्यक्रमहरु
comedy,हास्य
indian comedy shows,भारतीय कमेडी कार्यक्रमहरू
doodh,doodh
swear,कसम
indian comedy,भारतीय कमेडी
promise,वाचा
jaljeera,jaljeera
celebration,उत्सव
housewife,गृहिणी
aroma,गन्ध
rosesh sarabhai,रोजेश साराभाई
happiness,खुशी
show,देखाउनु
indian shows,भारतीय कार्यक्रमहरु
happy dance,खुशी नृत्य
mummy,आमा
purse,पर्स
hospital,अस्पताल
sweet,प्यारो
nurse,नर्स
flattering,चापलुसी
impress,प्रभावित
patient,बिरामी
mom,आमा
mother,आमा
mommas boy,आमाको केटा
lmao,lmao
jelly,जेली
roseshs poetry,गुलाब कविता
son,छोरा
doting,डटिंग
dote,दाइजो
pigeons,परेवा
birds,चरा
pigeon,परेवा
writings,लेखन
writing,लेख्न
so,त्यसो भए
class,कक्षा
middle,मध्य
high class,उच्च वर्ग
showoff,देखाउनु
broke,भाँच्नु
money,पैसा
rupees,रु
cash,नगद
card,कार्ड
credit card,क्रेडिट कार्ड
miser,मिसर
scrooge,स्क्रूज
low on cash,कम नगद
wallet,वालेट
no money,पैसा छैन
no salary,तलब छैन
salary,तलब
balance,सन्तुलन
low balance,कम ब्यालेन्स
no cash,नगद छैन
phone call,फोन कल
mobile phone,मोबाइल फोन
forgot,बिर्सनुभयो
brothers,भाइहरु
dead,मरेको
bhai,भाई
buddy,साथी
bud,कोपिला
bro,भाई
t shirt,टी शर्ट
shirt,शर्ट
tee,टी
t,t
brother,भाई
borrow,उधारो
loan,.ण
owe,owणी
bill,बिल
check,जाँच गर्नुहोस्
no balance,कुनै सन्तुलन छैन
pay,तिर्नु
restaurant,भोजनालय
bro brother,भाई भाई
extra,अतिरिक्त
ask,सोध्नु
snack,खाजा
snacking,खाजा
bhel,भेल
more,अधिक
munching,munching
hogging,होगिंग
snacks,खाजा
note,नोट
girls night,केटीहरु रात
girls night out,केटीहरू रात बाहिर
ladies night,महिलाहरु रात
broke girls,भाँचिएका केटीहरू
clubbing,क्लबिंग
club,क्लब
tonight,आज राती
lets party,पार्टी गरम
dancing,नाच
women,महिला
thursday,बिहीबार
birthday,जन्मदिन
gift,उपहार
present,उपस्थित
birthday gift,जन्मदिनको उपहार
birthday party,जन्मोत्सव
kanjoos,कंजूस
asking,सोध्नु
birthday present,जन्मदिनको उपहार
shopping,किनमेल
shop,पसल
cell phone,मोबाइल फोन
urgent call,तत्काल कल
no battery,कुनै ब्याट्री छैन
dead phone,मृत फोन
make,बनाउनु
scoorge,स्क्रूज
yaar,जो
bruh,bruh
chai,च्यात्नु
tea,चिया
masala tea,मसला चिया
kadak chai,कडा चाई
cutting chai,फसल चिया
treat,उपचार
hangout,ह्या .्गआउट
tea shop,चिया पसल
tea stall,चिया पसल
guys,केटाहरु
guy,केटा
Demonetisation,Demonetisation
car pool,कार पोखरी
cab pool,ट्याक्सी पोखरी
cab sharing,ट्याक्सी सेयरिंग
auto,स्वत:
delhi auto,दिल्ली अटो
taxi sharing,ट्याक्सी सेयरिंग
travelling,यात्रा
travel,यात्रा
traveling,यात्रा
friendship,मित्रता
change,परिवर्तन
big note,ठूलो नोट
five hundred note,पाँच सय नोट
bill pay,बिल भुक्तान
no change,परिवर्तन छैन
currency,मुद्रा
metro,मेट्रो
stuck,अटकायो
got,मिल्यो
transport,यातायात
bus,बस
train,ट्रेन
metro train,मेट्रो ट्रेन
delhi metro,दिल्ली मेट्रो
delhi metro train,दिल्ली मेट्रो ट्रेन
mumbai metro,मुम्बाई मेट्रो
local transport,स्थानीय यातायात
late,ढिलो
late to work,काम गर्न ढिला
excuses,बहाना
worker,कामदार
employee,कर्मचारी
office staff,कार्यालय कर्मचारी
manager,प्रबन्धक
team,टोली
suit,सूट
cab,ट्याक्सी
cabbie,क्याबी
cab guy,ट्याक्सी मान्छे
driver,ड्राइभर
taxi driver,ट्याक्सी चालक
taxi,ट्याक्सी
auto driver,गाडी चालक
route,मार्ग
direction,दिशा
area,क्षेत्र
took,लिए
delayed,ढिला
latecomer,लेटकमर
navigation,नेभिगेसन
way,बाटो
road,सडक
street,सडक
procession,जुलुस
job,काम
in laws,कानुनमा
mother in law,सासु
father in law,ससुरा
inlaws,कानुनमा
relatives,आफन्त
married,विवाहित
married employee,विवाहित कर्मचारी
bahane,क्षमा गर्नुहोस
kaam,काम
office job,कार्यालय काम
office excuses,कार्यालय बहाना
loosemotions,ढिलो
loose motions,छाडा चाल
sick,बिरामी
sickness,बिरामी
ill,बिरामी
unwell,अस्वस्थ
late coming,ढिलो आउदै
workexcuses,workexcuses
member,सदस्य
fake,नक्कली
faking illness,नक्कली बिरामी
bad stomach,नराम्रो पेट
stomach ache,पेट दुखाई
potty,पोटी
dump,फोहोर
poop,poop
parents,अभिभावक
station,स्टेशन
pick,लिनुहोस्
railway station,रेल्वे स्टेशन
bus stand,बस स्ट्यान्ड
work excuses,काम बहाना
work place,कार्यस्थल
flat tyre,समतल टायर
puncture,पंचर
tyre,टायर
broke down,बिग्रियो
working,काम गर्दै
sad employee,दु: खी कर्मचारी
on,खुल्ला
skipped,छोडियो
bai,सेतो
kaamwali,नौकरानी
late today,आज ढिलो
theft,चोरी
robbery,डकैती
heist,चोरी
building,भवन
society,समाज
crime scene,घटनास्थल
appartment,अपार्टमेन्ट
work excuse,काम बहाना
employer,रोजगारदाता
car broke down,कार भाँचियो
kharab,नराम्रो
gaadi band,कार बन्द
raining,वर्षा
monsoon,मानसुन
location,स्थान
city,शहर
water clogging,पानी बन्द
paani,पानी
coca cola,कोक
thanda,चिसो
coke,कोक
yo,म
beverage,पेय
taste the feeling,अनुभूति स्वाद
taste,स्वाद
bottle,बोतल
cola,कोला
coca,कोका
coke bottle,कोक बोतल
jersey,जर्सी
soft drink,हल्का पेय
1,१
coca cola,कोक
meet,भेट्नु
walking,हिड्दै
foodies,खाना
khushiyaan,विशेषता
feeling,भावना
meeting,बैठक
towel,तौलिया
bathroom,बाथरूम
shower,नुहाउनु
girl in washroom,केश वाशरूममा
washroom,शौचालय
toilet,शौचालय
girl in towel,तौलियामा केटी
no wash,धुनु हुँदैन
clean,सफा
fresh,ताजा
freshen,ताजा
company,कम्पनी
dirty pack,फोहोर प्याक
pack,प्याक
dirty,फोहोर
cold,चिसो
girl in bathrobe,नुहाउने केटी
bathing,नुहाउनु
bathe,नुहाउनु
industry,उद्योग
clean up,सफा गर्नु
unhygienic,अस्वस्थ
hygiene,स्वच्छता
sanitary,सेनेटरी
fever,ज्वरो
ganda,डबल
deodorant,दुर्गन्ध
in,भित्र
kal,भोली
nahaya,नुहाउनु
ath,खेलाडी
athing,केहि
wash wash up,धुनुहोस्
alibi,alibi
excuse,माफ गर्नुहोस्
nightsuit,रात
underwear,अंडरवियर
kacche,कच्चा
dhule,धुले
washing,धुनु
dry,सुक्खा
dirty clothes,फोहोर लुगा
arriving late,ढिला आइपुगेको छ
ironing,इस्त्री
iron,फलाम
pants,प्यान्ट
trousers,ट्राउजर
naked,ना naked्गो
tie,टाई
no bath,नुहाउनु हुँदैन
warm,न्यानो
restroom,शौचालय
woman in towel,तौलियामा महिला
pink,गुलाबी
lady,महिला
hot water bath,तातो पानी नुहाउनु
no shower,नुहाउनु हुँदैन
holi,holi
wash up,धुनुहोस्
pichkaari,एटोमाइजर
gross,सकल
abey,अबी
blue,निलो
naha,छाला
winter,जाडो
oye,oye
come,आउनुहोस्
thand,चिसो
Daisy Duck,डेजी डक
darling,प्रिय
good,राम्रो
luck,भाग्य
good luck,भाग्यले साथ दिओस्
memories,सम्झनाहरु
bae,BAE
girl friend,केटी साथी
school days,स्कूल दिन
eighties,अस्सी
baby,बच्चा
lovable,प्यारो
girl friends,केटी साथीहरु
post,पोष्ट
posted,पोष्ट गरिएको
first,पहिलो
before,पहिले
update,अद्यावधिक गर्नुहोस्
social media,सामाजिक मिडिया
donald duck,डोनाल्ड डक
donald,डोनाल्ड
child,बच्चा
hilarious,प्रफुल्लित
insane,पागल
cuteness,cuteness
mental,मानसिक
mentally,मानसिक
oh,ओह
boy oh boy,केटा ओह केटा
mickey,मिकी
mickey mouse,मिकी माउस
response,प्रतिक्रिया
shocked,स्तब्ध
some,केहि
music,संगीत
songs,गीतहरू
song,गीत
minnie,मिनी
mini,मिनी
minni,मेरो
minnie mouse,मिनी माउस
melody,धुन
need,आवश्यक छ
all,सबै
romance,रोमान्स
romanctic,रोमान्टिक
conversations,कुराकानीहरू
talks,कुराकानी
lover,प्रेमी
guitar,गितार
instrument,उपकरण
forbidden,निषेध गरिएको
romantic,रोमान्टिक
heart ache,मुटु दुख्ने
dill,डिल
how,कसरी
cteness,cteness
starts,सुरु हुन्छ
beginning,सुरुवात
conversation,कुराकानी
for,को लागी
group,समूह
happy birthday,जन्मदिनको शुभकामना
to me,संग
my birthdy,मेरो जन्मदिन
my,मेरो
hello,नमस्कार
starters,सुरूवात
begin,सुरु गर्नुहोस्
mouseketeers,माउसकेटरहरू
magic,जादू
jaafu,गफ
jadu,जादू
cloak,लुगा
me,म
praise,प्रशंसा
in love,मायामा
ishq,ishq
flirt,इश्कबाई
flirtatious,मनमोहक
filmy,चलचित्र
bollywood,बलिउड
cinema,सिनेमा
hindi,हिन्दी
relationships,सम्बन्ध
pyar,प्रेम
dl,dl
zindagi,zindagi
hai,छ
dialogue,सम्वाद
dialog,सम्वाद
mohabbat,मोहब्बत
lovesick,loveick
chance,मौका
stake,हिस्सेदारी
risk,जोखिम
kuch,केहि
by,द्वारा
mera,मेरो
limit,सीमा
main,मुख्य
hearts,ह्रदय
rule,नियम
pyaar ke rules,प्रेमका नियमहरु
friendzone,मित्र क्षेत्र
friendzoned,फ्रेंडजोन्ड
diwana,पागल
mad,पागल
ole,छैन
bole,भन्छ
saif,सैफ
saif ali khan,सैफ अली खान
tera,तेरा
jab bhi,जब पनि
see,हेर्नुहोस्
dekhu,हेर्नुहोस्
ladka,केटा
bike,बाइक
hitting,हिट
hitting on,मा हिट
aur,सुन
dono,कुन
thai ishqiya,थाई इश्किया
baccha,बच्चा
hai jee,हाई
empty,खाली
pockets,जेब
paisa,पैसा
cashless,कैशलेस
staff,कर्मचारी
later,पछि
diwali,दिवाली
professional,व्यावसायिक
prediwali,prediwali
diwali party,दिवाली पार्टी
card party,कार्ड पार्टी
ethnic wear,जातीय पोशाक
traditional wear,परम्परागत पोशाक
traditional,परम्परागत
festive,उत्सव
festive wear,उत्सव लगाउने
daru,एउटा उपहार
sharab,रक्सी
alocohol,रक्सी
kurta pyjama,कुर्ता पजामा
where,कहाँ
cardparty,कार्डपार्टी
say,भन्नु
to,लाई
crackers,क्र्याकरहरू
slogan,नारा
deepawali,दीपावली
dipawali,दीपावली
cards,कार्डहरू
couple,जोडी
rangoli,रंगोली
stay,रहनु
away,टाढा
diya,दिईयो
lamps,बत्तीहरू
diwlai celebration,दिवाली उत्सव
maa,जग्गा
mata,आँखा
housewide,घरव्यापी
safai,सफाई
ghar,घर
house,घर
house cleaning,घर सफा गर्ने
diwali cleaning,दिवाली सफाई
karega,हुनेछ
ki,को
daughter,छोरी
sahab,सर
housekeeper,हाउसकीपर
cleaner,सफा गर्ने
diwlai,कृपया
bonus,बोनस
diwali bonus,दिवाली बोनस
bucket,बाल्टिन
cleaning,सफा गर्दै
broom,झाडू
jhaduu,jhaduu
diwali shopping,दिवाली किनमेल
with,संग
be like,जस्तै हुन
bags,झोला
shopping bags,किनमेल झोला
missing,हराइरहेको
miss,मिस
miss you,तिमीलाई सम्झिन्छु
yaad,याद गर्नुहोस्
ghar ki yaad,घर सम्झनुहोस्
nostalgia,पुरानो
nostalgic,पुरानो
baksheesh,bakheesh
paise,पैसा
superstar,सुपरस्टार
stage,चरण
mic,माइक
singer,गायक
melodies,धुन
perform,प्रदर्शन
gig,गिग
star,तारा
band,ब्यान्ड
rockband,रक ब्यान्ड
musician,संगीतकार
spotlight,स्पटलाइट
goodwork,राम्रो काम
well,राम्रो
done,सकियो
welldone,वेलडोन
good job,राम्रो काम
acha,सोच्नुहोस्
sun,सूर्य
surf,सर्फ
surfboard,सर्फबोर्ड
surfing,सर्फिंग
shining,चम्किरहेको
waves,छालहरू
swiming,पौंडी खेल
swimwear,पौंडी पोशाक
swimsuit,swimsuit
goa,गो
beaches,समुद्री तटहरू
usic,usic
performance,प्रदर्शन
acha kaam,राम्रो काम
ha,छ
hell,नरक
burn,जलाउनु
burning,जल्दै
laughing,हास्नु
interaction,अन्तर्क्रिया
talk,कुरा
old,पुरानो
days,दिनहरु
memory,मेमोरी
college,कलेज
cowboy,काउबॉय
cowboy hat,काउबॉय टोपी
cowboy boots,काउबय जुत्ता
boots,जुत्ता
dessert,मिठाई
hat,टोपी
fighting,झगडा
goodnight,शुभ रात्री
night,रात
dreams,सपनाहरु
sweetdreams,मिठो सपना
moon,चन्द्रमा
dark,अँध्यारो
stars,ताराहरू
the moon,चन्द्रमा
clouds,बादल
sky,आकाश
end,अन्त्य
scare,डराउनु
scray,डरलाग्दो
boo,बू
ghost,भूत
land,जग्गा
scarecrow,scarecrow
shock,सदमे
surprise,अचम्म
zombie,ज़ोंबी
hahaha,हाहाहा
laughter,हाँसो
wicked laugh,दुष्ट हाँस्न
scary,डरलाग्दो
tight,कडा
honey,मह
grilfriend,प्रेमिका
college days,कलेज दिन
older,पुरानो
young,जवान
younger,कान्छो
retro,retro
yearn,तृष्णा
booo,बू
witch,बोक्सी
flying,उडान
ghosts,भूत
spooky,डरलाग्दो
chudail,बोक्सी
shinning,चम्किनु
bright,चम्किलो
