bobble,ബോബിൾ
god of cricket,ക്രിക്കറ്റിന്റെ ദൈവം
indian cricket match,ഇന്ത്യൻ ക്രിക്കറ്റ് മത്സരം
century,നൂറ്റാണ്ട്
match night,മാച്ച് നൈറ്റ്
sports injury,സ്പോർട്സ് പരിക്ക്
cricket kit,ക്രിക്കറ്റ് കിറ്റ്
match score,മാച്ച് സ്കോർ
score,സ്കോർ
win,ജയിക്കുക
lost,നഷ്ടപ്പെട്ടു
victory,വിജയം
bata,കുട്ടി
video,വീഡിയോ
online,ഓൺ‌ലൈൻ
cricket fan,ക്രിക്കറ്റ് ആരാധകൻ
player,കളിക്കാരൻ
third,മൂന്നാമത്
3rd,കാണിക്കുക
umpire,അമ്പയർ
referee,റഫറി
indian team,ഇന്ത്യൻ ടീം
indian player,ഇന്ത്യൻ കളിക്കാരൻ
12th,12 മത്
man,മനുഷ്യൻ
twelveth,പന്ത്രണ്ടാമത്
indian crickter,ഇന്ത്യൻ ക്രിക്കറ്റ് താരം
saale,saale
smooth,മിനുസമാർന്ന
delivery,ഡെലിവറി
commentary,വ്യാഖ്യാനം
cricket commentary,ക്രിക്കറ്റ് കമന്ററി
strike,പണിമുടക്ക്
cheerleader,ചിയർ ലീഡർ
cheer,ആഹ്ലാദിക്കുക
match fixing,പൊരുത്തപ്പെടുത്തൽ
fixing,പരിഹരിക്കുന്നു
bik,ബെക്ക്
tu,നിങ്ങൾ
cricket team,ക്രിക്കറ്റ് ടീം
can,കഴിയും
drive,ഡ്രൈവ് ചെയ്യുക
players,കളിക്കാർ
full,നിറഞ്ഞു
toss,ടോസ്
full toss,ഫുൾ ടോസ്
pitch,പിച്ച്
bounce,ബൗൺസ്
ek,ഒന്ന്
one,ഒന്ന്
bouncer,ബ oun ൺസർ
do,ചെയ്യുക
not,അല്ല
afraid,ഭയപ്പെട്ടു
scared,പേടിച്ചു
hero,കഥാനായകന്
super hero,സൂപ്പർ ഹീറോ
powerpuff girls,പവർപഫ് പെൺകുട്ടികൾ
powerpuff,പവർപഫ്
girls,പെൺകുട്ടികൾ
power,ശക്തി
daring,ധൈര്യമുള്ള
strong,ശക്തമായ
bold,ധീരമായ
fighter woman,പോരാളി സ്ത്രീ
fighter,പോരാളി
here,ഇവിടെ
I am,ഞാൻ
cartoon network,കാർട്ടൂൺ നെറ്റ്‌വർക്ക്
cartoon,ഹാസചിതം
professor,പ്രൊഫസർ
ehh,ehh
whats up,എന്തുണ്ട് വിശേഷം
sup,sup
doc,പ്രമാണം
doctor,ഡോക്ടർ
bugs bunny,ബഗ്സ് ബണ്ണി
rabbit,മുയൽ
carrot,കാരറ്റ്
annoying,ശല്യപ്പെടുത്തുന്ന
cartoons,കാർട്ടൂണുകൾ
cartooon network,കാർട്ടൂൺ നെറ്റ്‌വർക്ക്
bunny,ബണ്ണി
cute,ക്യൂട്ട്
hey,ഹേയ്
hi,ഹായ്
the,ദി
is,ആണ്
yours,താങ്കളുടെ
captain planet,ക്യാപ്റ്റൻ ആഗ്രഹം
planet,ആഗ്രഹം
captain,ക്യാപ്റ്റൻ
brave,ധീരൻ
empowering,ശാക്തീകരണം
will,ഇഷ്ടം
hunt,വേട്ട
down,താഴേക്ക്
hunter,വേട്ടക്കാരൻ
road runner,റോഡ് റണ്ണർ
The Road Runner,റോഡ് റണ്ണർ
The Coyote,കൊയോട്ട്
looney toons,ലൂണി ടോണുകൾ
toons,ടൂണുകൾ
animal instincts,മൃഗങ്ങളുടെ സഹജാവബോധം
beep beep,ബീപ് ബീപ്
acme,acme
pretty,സുന്ദരി
are,ആകുന്നു
I m,ഞാൻ എം
johnny,ജോണി
johnny bravo,ജോണി ബ്രാവോ
bravo,ബ്രാവോ
dude,സുഹൃത്തേ
sexy,സെക്സി
mojo jojo,മോജോ ജോജോ
villain,വില്ലൻ
evil,തിന്മ
wicked,ദുഷ്ടൻ
bad,മോശം
baddie,ബാഡ്ഡി
cruel,ക്രൂരൻ
cruel intentions,ക്രൂരമായ ഉദ്ദേശ്യങ്ങൾ
bff,bff
forever,എന്നേക്കും
life,ജീവിതം
ed edd and eddy,ed edd, eddy
ed,ed
edd,edd
eddy,എഡ്ഡി
bestie,മൃഗങ്ങൾ
log,ലോഗ്
imaginary,സാങ്കൽപ്പികം
imaginary friend,സാങ്കൽപ്പിക സുഹൃത്ത്
plank,പലക
aww,aww
moment,നിമിഷം
great,കൊള്ളാം
childhood,കുട്ടിക്കാലം
ruined,നശിച്ചു
cats,പൂച്ചകൾ
swat cats,സ്വാത് പൂച്ചകൾ
roll,റോൾ
bahadur bille,ധീരരായ പൂച്ചകൾ
swat,swat
swat kats,സ്വാത് പൂച്ചകൾ
bade miyan,വലിയ മിയാൻ
chote miyan,ചെറിയ മിയാൻ
fighters,പോരാളികൾ
best friends,ഉത്തമ സുഹൃത്തുകൾ
The Radical Squadron,റാഡിക്കൽ സ്ക്വാഡ്രൺ
BADE MEOW,BADE MEOW
CHOTE,ചെറുത്
MEOW,മ്യാവു
cartoon shows,കാർട്ടൂൺ ഷോകൾ
children,കുട്ടികൾ
catch you,നിങ്ങളെ പിടിക്കാം
tom,ടോം
jerry,ജെറി
tom and jerry,ടോമും ജെറിയും
cat,പൂച്ച
mouse,മൗസ്
wanna,ആഗ്രഹിക്കുന്നു
cartoon character,കാർട്ടൂൺ കഥാപാത്രം
the addams family,ആഡംസ് കുടുംബം
wednesday,ബുധനാഴ്ച
girl,പെൺകുട്ടി
knock,മുട്ടുക
jetsons,ജെറ്റ്സൺസ്
the jetsons,ജെറ്റ്സൺസ്
jane,ജെയ്ൻ
george,ജോർജ്ജ്
laugh,ചിരിക്കുക
haha,ഹ ഹ
dexter,ഡെക്സ്റ്റർ
dexters laboratory,ഡെക്സ്റ്ററിന്റെ ലബോറട്ടറി
network,നെറ്റ്‌വർക്ക്
deedee,ഡീഡി
scientist,ശാസ്ത്രജ്ഞൻ
lab,ലാബ്
mayor,മേയർ
secretary,സെക്രട്ടറി
sexy secretary,സെക്സി സെക്രട്ടറി
Ms Sara Bellum,എം എസ് സാറാ WAR
sara bellum,സാറ യുദ്ധം
the powerpuff  girls,പവർപഫ് പെൺകുട്ടികൾ
Townsville,ട Town ൺ‌സ്‌വില്ലെ
red hair,ചുവപ്പ് മുടി
dress,വസ്ത്രം
red,ചുവപ്പ്
heels,കുതികാൽ
hot,ചൂടുള്ള
bear,കരടി
smarter,മികച്ചത്
average,ശരാശരി
fat,കൊഴുപ്പ്
smart,സ്മാർട്ട്
THE YOGI BEAR,യോഗി ബിയർ
THE YOGI BEAR SHOW,യോഗി ബിയർ ഷോ
wise,ജ്ഞാനമുള്ളവൻ
intelligent,ബുദ്ധിമാൻ
we,ഞങ്ങൾ
kid,കൊച്ചു
sharing,പങ്കിടൽ
share,പങ്കിടുക
alvin and the chipmunks,ആൽ‌വിനും ചിപ്പ്‌മങ്കുകളും
alvin,ആൽവിൻ
chipmunks,ചിപ്മങ്ക്സ്
Simon,സൈമൺ
Theodore,തിയോഡോർ
prize,സമ്മാനം
yes,അതെ
yeah,അതെ
all right,അങ്ങനെയാകട്ടെ
alright,ശരി
boss,ബോസ്
sir,സാർ
servant,ദാസൻ
maid,വേലക്കാരി
richie rich,റിച്ച് റിച്ച്
Irona the Robot Maid,അയന റോബോട്ട് വീട്ടുജോലിക്കാരി
robot,റോബോട്ട്
irona,ഇരുമ്പ്
Mrs Rich,മിസ്സിസ് റിച്ച്
ok,ശരി
Sarabhai VS Sarabhai,സാരാഭായ് വി എസ് സാരാഭായ്
rosesh,റോസെഷ്
sarabhai,സാരാഭായ്
moma,മോമ
momma,മമ്മ
mamas boy,മാമാസ് ബോയ്
car,കാർ
boy,പയ്യൻ
Einstein,ഐൻ‌സ്റ്റൈൻ
biwi,ഭാര്യ
wife,ഭാര്യ
brain,തലച്ചോറ്
stupid,മണ്ടൻ
big cars,വലിയ കാറുകൾ
lol,പൊട്ടിച്ചിരിക്കുക
poetry,കവിത
roshes poetry,കവിതകൾ റോസ് ചെയ്യുന്നു
gaadi,കാർ
dimag,തലച്ചോറ്
idiot,പോട്ടൻ
lame,മുടന്തൻ
lame poetry,മുടന്തൻ കവിത
wine,വൈൻ
whiskey,വിസ്കി
champagne,ഷാംപെയിൻ
drinks,പാനീയങ്ങൾ
drink,പാനീയം
offering drinks,പാനീയങ്ങൾ വാഗ്ദാനം ചെയ്യുന്നു
cheers,ചിയേഴ്സ്
alcohol,മദ്യം
sitcom,സിറ്റ്കോം
indian sitcom,ഇന്ത്യൻ സിറ്റ്കോം
middle class,മധ്യവർഗം
ls,ls
highclass,ഉയർന്ന നിലവാരം
maya,മായ
maya sarabhai,മായ സരഭായ്
mind,മനസ്സ്
making,നിർമ്മാണം
point,പോയിന്റ്
vs,vs.
sitcoms,സിറ്റ്കോംസ്
indian sitcoms,ഇന്ത്യൻ സിറ്റ്കോംസ്
argument,വാദം
arguing,വാദിക്കുന്നു
haunsla,ധൈര്യം
sweety,മധുരം
monisha,മനീഷ
hope,പ്രത്യാശ
dont lose,നഷ്ടപ്പെടരുത്
lose,നഷ്ടപ്പെടുക
proud,അഹങ്കാരം
monisha sarabhai,മോനിഷ സാരാഭായ്
poison,വിഷം
milk,പാൽ
acting,അഭിനയം
overacting,അമിതമായി പ്രവർത്തിക്കുന്നു
woman,സ്ത്രീ
indian woman,ഇന്ത്യൻ സ്ത്രീ
comedy shows,കോമഡി ഷോകൾ
comedy,കോമഡി
indian comedy shows,ഇന്ത്യൻ കോമഡി ഷോകൾ
doodh,doodh
swear,സത്യം ചെയ്യുക
indian comedy,ഇന്ത്യൻ കോമഡി
promise,വാഗ്ദാനം
jaljeera,ജല്ജെഎര
celebration,ആഘോഷം
housewife,വീട്ടമ്മ
aroma,സുഗന്ധം
rosesh sarabhai,റോസേഷ് സാരാഭായ്
happiness,സന്തോഷം
show,കാണിക്കുക
indian shows,ഇന്ത്യൻ ഷോകൾ
happy dance,സന്തോഷകരമായ നൃത്തം
mummy,അമ്മാ
purse,പേഴ്സ്
hospital,ആശുപത്രി
sweet,മധുരം
nurse,നഴ്സ്
flattering,മുഖസ്തുതി
impress,മതിപ്പുളവാക്കുക
patient,രോഗി
mom,അമ്മ
mother,അമ്മ
mommas boy,മമ്മസ് ബോയ്
lmao,lmao
jelly,ജെല്ലി
roseshs poetry,റോസസ് കവിത
son,മകൻ
doting,ഡോട്ടിംഗ്
dote,സ്തീധനം
pigeons,പ്രാവുകൾ
birds,പക്ഷികൾ
pigeon,പ്രാവ്
writings,രചനകൾ
writing,എഴുത്തു
so,അതിനാൽ
class,ക്ലാസ്
middle,മധ്യത്തിൽ
high class,ഉയർന്ന നിലവാരം
showoff,മറ്റുള്ളവരുടെ അഭിപ്രായം നേടാനുള്ള ശ്രമം
broke,തകർന്നു
money,പണം
rupees,രൂപ
cash,പണം
card,കാർഡ്
credit card,ക്രെഡിറ്റ് കാർഡ്
miser,മിസ്സർ
scrooge,സ്‌ക്രൂജ്
low on cash,പണത്തിൽ കുറവ്
wallet,വാലറ്റ്
no money,പണം ഇല്ല
no salary,ശമ്പളമില്ല
salary,ശമ്പളം
balance,ബാലൻസ്
low balance,കുറഞ്ഞ ബാലൻസ്
no cash,പണമില്ല
phone call,ഫോണ് വിളി
mobile phone,മൊബൈൽ ഫോൺ
forgot,മറന്നു
brothers,സഹോദരങ്ങൾ
dead,മരിച്ചു
bhai,ഭായ്
buddy,തോഴന്
bud,മൊട്ട്
bro,സഹോദരാ
t shirt,ടി ഷർട്ട്
shirt,ഷർട്ട്
tee,ടീ
t,ടി
brother,സഹോദരൻ
borrow,കടം വാങ്ങുക
loan,വായ്പ
owe,കടപ്പെട്ടിരിക്കുന്നു
bill,ബിൽ
check,ചെക്ക്
no balance,ബാലൻസ് ഇല്ല
pay,അടയ്ക്കുക
restaurant,റെസ്റ്റോറന്റ്
bro brother,സഹോദരാ
extra,അധിക
ask,ചോദിക്കുക
snack,ലഘുഭക്ഷണം
snacking,ലഘുഭക്ഷണം
bhel,ഭേൽ
more,കൂടുതൽ
munching,മഞ്ചിംഗ്
hogging,ഹോഗിംഗ്
snacks,ലഘുഭക്ഷണങ്ങൾ
note,കുറിപ്പ്
girls night,പെൺകുട്ടികളുടെ രാത്രി
girls night out,പെൺകുട്ടികൾ രാത്രി പുറത്ത്
ladies night,സ്ത്രീകളുടെ രാത്രി
broke girls,പെൺകുട്ടികളെ തകർത്തു
clubbing,ക്ലബ്ബിംഗ്
club,ക്ലബ്
tonight,ഇന്ന് രാത്രി
lets party,നമുക്ക് ആഘോഷിക്കാം
dancing,നൃത്തം
women,സ്ത്രീകൾ
thursday,വ്യാഴാഴ്ച
birthday,ജന്മദിനം
gift,സമ്മാനം
present,വർത്തമാന
birthday gift,പിറന്നാൾ സമ്മാനം
birthday party,പിറന്നാള് ആഘോഷം
kanjoos,സ്റ്റിംഗി
asking,ചോദിക്കുന്നു
birthday present,ജന്മദിന സമ്മാനം
shopping,ഷോപ്പിംഗ്
shop,ഷോപ്പ്
cell phone,സെൽ ഫോൺ
urgent call,അടിയന്തര കോൾ
no battery,ബാറ്ററിയൊന്നുമില്ല
dead phone,നിർജ്ജീവ ഫോൺ
make,ഉണ്ടാക്കുക
scoorge,സ്‌ക്രൂജ്
yaar,ആര്
bruh,ബ്രൂ
chai,വലിച്ചുകീറുക
tea,ചായ
masala tea,മസാല ടീ
kadak chai,കർശനമായ ചായ്
cutting chai,ചായ വിളവെടുക്കുക
treat,ചികിത്സിക്കുക
hangout,ഹാംഗ്ഔട്ട്
tea shop,ചായക്കട
tea stall,ചായക്കട
guys,സഞ്ചി
guy,guy
Demonetisation,ദെമൊനെതിസതിഒന്
car pool,കാർ പൂൾ
cab pool,ക്യാബ് പൂൾ
cab sharing,ക്യാബ് പങ്കിടൽ
auto,യാന്ത്രികം
delhi auto,ഡെൽഹി ഓട്ടോ
taxi sharing,ടാക്സി പങ്കിടൽ
travelling,യാത്ര ചെയ്യുക
travel,യാത്ര
traveling,യാത്ര ചെയ്യുക
friendship,സൗഹൃദം
change,മാറ്റം
big note,വലിയ കുറിപ്പ്
five hundred note,അഞ്ഞൂറ് കുറിപ്പ്
bill pay,ബിൽ പേ
no change,യാതൊരു ഭേദഗതിയും
currency,കറൻസി
metro,മെട്രോ
stuck,കുടുങ്ങി
got,ലഭിച്ചു
transport,ഗതാഗതം
bus,ബസ്
train,ട്രെയിൻ
metro train,മെട്രോ ട്രെയിൻ
delhi metro,ഡെൽഹി മെട്രോ
delhi metro train,ഡെൽഹി മെട്രോ ട്രെയിൻ
mumbai metro,മുംബൈ മെട്രോ
local transport,പ്രാദേശിക ഗതാഗതം
late,വൈകി
late to work,ജോലി ചെയ്യാൻ വൈകി
excuses,ഒഴികഴിവുകൾ
worker,തൊഴിലാളി
employee,ജീവനക്കാരൻ
office staff,ഓഫീസ് സ്റ്റാഫ്
manager,മാനേജർ
team,ടീം
suit,സ്യൂട്ട്
cab,വാടകവണ്ടി
cabbie,കാബി
cab guy,ക്യാബ് പയ്യൻ
driver,ഡ്രൈവർ
taxi driver,ടാക്സി ഡ്രൈവർ
taxi,ടാക്സി
auto driver,ഓട്ടോ ഡ്രൈവർ
route,റൂട്ട്
direction,സംവിധാനം
area,വിസ്തീർണ്ണം
took,എടുത്തു
delayed,വൈകി
latecomer,ലാറ്റെകോമർ
navigation,നാവിഗേഷൻ
way,വഴി
road,റോഡ്
street,തെരുവ്
procession,പ്രദക്ഷിണം
job,ജോലി
in laws,നിയമങ്ങളിൽ
mother in law,അമ്മായിയമ്മ
father in law,ഭാര്യാപിതാവ്
inlaws,നിയമവിരുദ്ധം
relatives,ബന്ധുക്കൾ
married,വിവാഹിതൻ
married employee,വിവാഹിതനായ ജീവനക്കാരൻ
bahane,ക്ഷമിയ്ക്കുക
kaam,ജോലി
office job,ഓഫീസ് ജോലി
office excuses,ഓഫീസ് ഒഴികഴിവുകൾ
loosemotions,അയഞ്ഞ ചലനങ്ങൾ
loose motions,അയഞ്ഞ ചലനങ്ങൾ
sick,രോഗികൾ
sickness,രോഗം
ill,അസുഖം
unwell,അസുഖം
late coming,വൈകി വരുന്നു
workexcuses,workexcuses
member,അംഗം
fake,വ്യാജ
faking illness,വ്യാജ രോഗം
bad stomach,മോശം വയറ്
stomach ache,വയറുവേദന
