Love isn't,സ്നേഹം അല്ല
will cut,മുറിക്കും
my nose,എന്റെ മൂക്ക്
one day,ഒരുദിവസം
insult,അപമാനം
badnami,അപവാദം
izzat gavana,ബഹുമാനിക്കുക
after getting elder,മൂപ്പനായ ശേഷം
will you,നീ ഇത് ചെയ്യുമോ
selll,selll
potatos?,ഉരുളക്കിഴങ്ങ്?
sweet potatos,മധുര കിഴങ്ങ്
alooffry,അലോഫ്രി
babuji,ബാബുജി
orange lungi,നീളമുള്ള ഓറഞ്ച്
u cant,നിങ്ങൾക്ക് കഴിയില്ല
do my son,എന്റെ മകനെ ചെയ്യൂ
my dear,എന്റെ പ്രിയപ്പെട്ട ‭
its not,അതല്ല
cup of,കപ്പ്
what will,എന്താകും
blue t shirt,നീല ടി ഷർട്ട്
frustated,നിരാശനായി
boring son,വിരസമായ മകൻ
dhoti wale papa,ധോട്ടി പപ്പാ
have you,നിങ്ങൾക്ക് ഉണ്ടോ?
understnad me,എന്നെ മനസിലാക്കൂ
as your servant,നിങ്ങളുടെ ദാസനെപ്പോലെ
wrong understanding,തെറ്റായ ധാരണ
misconception,തെറ്റിദ്ധാരണ
showting,കാണിക്കുന്നു
surprising,ആശ്ചര്യകരമാണ്
zeus,സ്യൂസ്
rap,റാപ്പ്
jaystar,ജെസ്റ്റർ
raftar,വേഗത
imran,ഇമ്രാൻ
bohemia,ബോഹെമിയ
badshah,രാജാവ്
searching,തിരയുന്നു
comparing,താരതമ്യം ചെയ്യുന്നു
cheating,വഞ്ചന
enjoying,ആസ്വദിക്കുന്നു
testing,പരിശോധന
dashboard,ഡാഷ്ബോർഡ്
monday,തിങ്കളാഴ്ച
resignation,രാജി
admin,അഡ്മിൻ
peon,പ്യൂൺ
cafetaria,കഫറ്റീരിയ
stayback,പിന്നോട്ട് നിൽക്കൂ
smoker,പുകവലിക്കാരൻ
sutta-break,ഇടവേള
yellow dress,മഞ്ഞ വസ്ത്രധാരണം
yellow top,മഞ്ഞ ടോപ്പ്
lets meet,നമുക്ക് കണ്ടുമുട്ടാം
swipe right material,ശരിയായ മെറ്റീരിയൽ സ്വൈപ്പുചെയ്യുക
pink sweater,പിങ്ക് സ്വെറ്റർ
polo t shirt,പോളോ ടി ഷർട്ട്
super like,സൂപ്പർ ലൈക്ക്
orange top,ഓറഞ്ച് ടോപ്പ്
coffee mug,കാപ്പി കോപ്പ
ask out,ചോദിക്കുക
blue cardigan,നീല കാർഡിഗൻ
heart it,ഹൃദയം
swipe right,വലത്തേക്ക് സ്വൈപ്പുചെയ്യുക
pink top,പിങ്ക് ടോപ്പ്
swipe left,ഇടത്തേക്ക് സ്വൈപ്പുചെയ്യുക
blue shirt,നീല ഷർട്ട്
green top,പച്ച ടോപ്പ്
mc donalds wrap,എംസി ഡൊണാൾഡ്സ് റാപ്
green shirt,പച്ച ഷർട്ട്
red t,ചുവപ്പ് ടി
red tshirt,ചുവന്ന ഷർട്ട്
blue jeans,നീല ജീൻസ്
big burger,വലിയ ബർഗർ
extra fries,അധിക ഫ്രൈസ്
tomato sauce,തക്കാളി സോസ്
indian suit,ഇന്ത്യൻ സ്യൂട്ട്
tights,ടൈറ്റ്സ്
leggings,ലെഗ്ഗിംഗ്സ്
sports wear,സ്പോർട്സ് വസ്ത്രങ്ങൾ
pink tp,പിങ്ക് ടിപി
easy shopping,എളുപ്പമുള്ള ഷോപ്പിംഗ്
flipkart delivery,ഫ്ലിപ്പ്കാർട്ട് ഡെലിവറി
delivery man,ഡെലിവറി മാൻ
courier,കൊറിയർ
online shopping,ഓൺലൈൻ ഷോപ്പിംഗ്
delivry,ഡെലിവറി
flipkart pe shopping,ഷോപ്പിംഗിലെ ഫ്ലിപ്പ്കാർട്ട്
shopping on flipkart,ഫ്ലിപ്പ്കാർട്ടിൽ ഷോപ്പിംഗ്
chill maar,ചില്ല്
credit card shopping,ക്രെഡിറ്റ് കാർഡ് ഷോപ്പിംഗ്
easy emi,ചെയ്യാൻ എളുപ്പമാണ്
debit card,ഡെബിറ്റ് കാർഡ്
delivery boy,ഡെലിവറി ബോയ്
red top,ചുവന്ന ടോപ്പ്
trusted app,വിശ്വസനീയമായ അപ്ലിക്കേഷൻ
led tv,നയിച്ച ടിവി
lcd tv,lcd ടിവി
buying,വാങ്ങൽ
flipkart,ഫ്ലിപ്പ്കാർട്ട്
new box,പുതിയ ബോക്സ്
new clothes,പുതിയ വസ്ത്രങ്ങള്
orange dress,ഓറഞ്ച് വസ്ത്രധാരണം
mac,മാക്
lenovo,ലെനോവോ
hp,എച്ച്പി
dell,ഡെൽ
mobile shopping,മൊബൈൽ ഷോപ്പിംഗ്
bedroom,കിടപ്പുമുറി
furniture,ഫർണിച്ചർ
coat,കോട്ട്
deals,ഡീലുകൾ
shopping on mobile,മൊബൈലിൽ ഷോപ്പിംഗ്
flipkart app,ഫ്ലിപ്പ്കാർട്ട് അപ്ലിക്കേഷൻ
mobil,കാർ
dreaming,സ്വപ്നം കാണുന്നു
flipkart shopping,ഫ്ലിപ്പ്കാർട്ട് ഷോപ്പിംഗ്
hottest destination,ഏറ്റവും മികച്ച ലക്ഷ്യസ്ഥാനം
shopping online,ഓൺലൈനിൽ ഷോപ്പിംഗ്
shop and save,ഷോപ്പുചെയ്‌ത് സംരക്ഷിക്കുക
offers,ഓഫറുകൾ
sales,വിൽപ്പന
save money,പണം ലാഭിക്കുക
red t shirt,ചുവന്ന ടി ഷർട്ട്
striped top,വരയുള്ള ടോപ്പ്
taste of life,ജീവിതത്തിന്റെ രുചി
girl holding bottle,പെൺകുട്ടി കുപ്പി പിടിക്കുന്നു
bottle of coke,കോക്ക് കുപ്പി
holding bottle,ഹോൾഡിംഗ് ബോട്ടിൽ
share happiness,സന്തോഷം പങ്കിടുക
softdrinks,സോഫ്റ്റ് ഡ്രിങ്കുകൾ
professional wear,പ്രൊഫഷണൽ വസ്ത്രം
wrist band,റിസ്റ്റ് ബാൻഡ്
shake up party,പാർട്ടി ഇളക്കുക
red dress,ചുവന്ന വസ്ത്രം
real thing,യഥാർത്ഥ കാര്യം
white pants,വെളുത്ത പാന്റ്സ്
lets have,നമുക്ക് ആവാം
crop top,ക്രോപ്പ് ടോപ്പ്
love coke,ലവ് കോക്ക്
track pants,പാന്റ് ട്രാക്ക് ചെയ്യുക
opener,ഓപ്പണർ
open happiness,തുറന്ന സന്തോഷം
want pizza,പിസ്സ വേണം
black jeans,കറുത്ത ജീൻസ്
grey jeans,ഗ്രേ ജീൻസ്
lets eat,നമുക്ക് തിന്നാം
food delivery,ഭക്ഷണ വിതരണം
bags of food,ഭക്ഷണ സഞ്ചികൾ
jeas,ജീസ്
lets meet up,കണ്ടുമുട്ടാൻ അനുവദിക്കുന്നു
meet up,കണ്ടുമുട്ടുക
hang out,ഹാംഗ്ഔട്ട്
dinning,ഡൈനിംഗ്
restaurant booking,റെസ്റ്റോറന്റ് ബുക്കിംഗ്
food joke,ഭക്ഷണ തമാശ
cooking tonight,ഇന്ന് രാത്രി പാചകം
flames,തീജ്വാലകൾ
like it hot,ചൂടുള്ളതുപോലെ
taco bell,ടാക്കോ മണി
mexican tacos,മെക്സിക്കൻ ടാക്കോസ്
food talks,ഭക്ഷണ ചർച്ചകൾ
midnight delivery,അർദ്ധരാത്രി ഡെലിവറി
midnight bites,അർദ്ധരാത്രി കടിച്ചു
mdnight food joints,അർദ്ധരാത്രി ഭക്ഷണ സന്ധികൾ
midnight food,അർദ്ധരാത്രി ഭക്ഷണം
midnight food joints,അർദ്ധരാത്രി ഭക്ഷണ സന്ധികൾ
late night order,രാത്രി വൈകിയുള്ള ഓർഡർ
plane,വിമാനം
lollypop,ലോലിപോപ്പ്
bhojpuri,ഭോജ്പുരി
lolas,ലോലാസ്
asd,അസ്ദ്
ddd,ddd
lahnga,പാവാട
uthadeb,ഉപേബ്
chokariya,ചോക്രിയ
golgappa,ഗോൽഗപ്പ
pardesh,സംസ്ഥാനം
lechala,പുൽത്തകിടി
lagalba,ലഗൽബ
betaji,മകൻ
patak,ക്രീക്ക്
marab,അറബി
jia,ചേർക്കുക
mehraru,മെഹുറോ
chahi,ആവശ്യം
hamka,ഹംക
lagal,നുണ പറഞ്ഞു
goriya,ത്യാഗം
curent,നിലവിലെ
Tamilgreetings,തമിഴ് ആശംസകൾ
bangla,ബംഗ്ല
regional,പ്രാദേശികം
newspaper,പത്രം
newday,പുതിയ ദിവസം
curd,തൈര്
dhoti,ധോതി
traditiona,പരമ്പരാഗതം
bangali,ബംഗാളി
roshogolla,റോഷോഗോള
indonesia,ഇന്തോനേഷ്യ
soekarno,soekarno
quote,ഉദ്ധരണി
kartini,കാർട്ടിനി
mothersday,മാതൃദിനം
words,വാക്കുകൾ
pancasila,പാൻകസില
muffin,കഷണം
widdow,വിധവ
marvel,അത്ഭുതം
gamora,ഗാമോറ
guardians,രക്ഷാധികാരികൾ
harley,ഹാർലി
quinn,ക്വിൻ
comics,കോമിക്സ്
supergirl,സൂപ്പർ ഗേൾ
laura,ലോറ
xmen,x പുരുഷന്മാർ
wanda,വണ്ട
avengers,പ്രതികാരം ചെയ്യുന്നവർ
kiara,കിയാര
ancient,പുരാതന
female hero,സ്ത്രീ നായകൻ
freedom fighter,സ്വാതന്ത്ര്യ സമര സേനാനി
freedom hero,സ്വാതന്ത്ര്യ നായകൻ
bluepant pinkshoes,നീല പാന്റ് പിങ്ക് ഷൂസ്
bharat mahaan,ഇന്ത്യ മികച്ചതാണ്
india is great,ഇന്ത്യ മികച്ചതാണ്
Darksheid,ഡാർക്ക്ഷെയ്ഡ്
Darkseid,ഡാർക്ക് സീഡ്
super man,വലിയ മനുഷ്യൻ
green lantern,പച്ച വിളക്ക്
Cyborg,സൈബർഗ്
aquaman,അക്വാമാൻ
salam,ആശംസകൾ
islami,ഇസ്ലാമിക്
muslim,മുസ്ലിം
islamic,ഇസ്ലാമിക്
seding,സാറ്റിൻ
astagfirullah,astagfirullah
inalillahi,ഇനലില്ലഹി
islam,ഇസ്ലാം
subhanallah,സുഭനല്ല
masyaallah,masyaallah
alhamdulillah,അൽഹമദുലില്ല
taaruf,taaruf
yarhamukallah,യർ‌ഹാമുകല്ല
wallahualam,walllahualam
jazakallah,ജസകല്ല
tabayyun,പിരിമുറുക്കം
DEVOTIONAL,വികാസം
dhinchak,ദിന്ചകെ
girly,girly
hip,ഹിപ്
GODESS,ദൈവം
LAKSHMI,ലക്ഷ്മി
SHIVA,ശിവ
puasa,ഉപവാസം
ramadhan,റമദാൻ
sahur,സഹുര്
tarawih,താരാവി
buka,അത് തുറക്കുക
berbuka,നോമ്പ് ലംഘിക്കുക
assalamualaikum,assalamualaikum
waalaikum,നിങ്ങൾക്ക് ഒരേ
jazakalla,നന്ദി
tabayun,തബയുന്
cow boy,പശു കുട്ടി
hippie,ഹിപ്പി
tattoo,പച്ചകുത്തൽ
electric guitar,ഇലക്ട്രിക് ഗിത്താർ
platform,പ്ലാറ്റ്ഫോം
hot pants,ചൂടുള്ള പാന്റുകൾ
cave,ഗുഹ
gramophone,ഗ്രാമഫോൺ
motorcycle,മോട്ടോർ സൈക്കിൾ
chakkhna,അഭിരുചികൾ
kholte,തുറക്കുക
kanchha,കാഞ്ച
setting,ക്രമീകരണം
karade,കാരണം
environment,പരിസ്ഥിതി
world environment day,ലോക പരിസ്ഥിതി ദിനം
yummyy,രുചികരമായ
brandi,ബ്രാണ്ടി
wishky,വിസ്കി
aeroplane,വിമാനം
flight,ഫ്ലൈറ്റ്
classy,ക്ലാസ്സി
signal,സിഗ്നൽ
connection,കണക്ഷൻ
strict,കണിശമായ
rude,അപമര്യാദയായ
chit  chat,ചിറ്റ് പൂച്ച
grapewine,മുന്തിരി
ciggarate,സിഗരറ്റ്
permanent,സ്ഥിരമായ
black money,കള്ളപ്പണം
wrench,റെഞ്ച്
wonder women,സ്ത്രീകളെ അത്ഭുതപ്പെടുത്തുക
no tension,പിരിമുറുക്കമില്ല
stress,സമ്മർദ്ദം
rishwat,കൈക്കൂലി
chains,ചങ്ങലകൾ
raula,റ ula ള
dishkau,ദിശ്കൌ
texting,ടെക്സ്റ്റിംഗ്
sucks,നുകരുന്നു
chatting,ചാറ്റിംഗ്
install,ഇൻസ്റ്റാൾ ചെയ്യുക
reality sucks,റിയാലിറ്റി വലിക്കുന്നു
life sucks,ജീവിതം നുകരുന്നു
sin,ഇല്ലാതെ
chaud,ചൂട്
beer wishky,ബിയർ വിസ്കി
boquet,പൂച്ചെണ്ട്
all the best,എല്ലാ ആശംസകളും
boque,ബോക്ക്
tkysm,ത്ക്യ്സ്മ്
tnx,tnx
musical notes,സംഗീത കുറിപ്പുകൾ
limelight,ലൈംലൈറ്റ്
love for song,പാട്ടിനോടുള്ള സ്നേഹം
ocean,സമുദ്രം
enjoyment,ആസ്വാദനം
