bobble,குமிழ்
the states,மாநிலங்கள்
politician,அரசியல்வாதி
american elections,அமெரிக்க தேர்தல்கள்
elections,தேர்தல்கள்
campaign,பிரச்சாரம்
american elections 2016,அமெரிக்க தேர்தல்கள் 2016
greatest,மிகப்பெரியது
orange,ஆரஞ்சு
trump,துருப்பு
US,எங்களுக்கு
campaigns,பிரச்சாரங்கள்
funny,வேடிக்கையானது
hair,முடி
yellow,மஞ்சள்
honest,நேர்மையான
honesty,நேர்மை
honest politicians,நேர்மையான அரசியல்வாதிகள்
america,அமெரிக்கா
leader,தலைவர்
people,மக்கள்
confident,நம்பிக்கையுடன்
support,ஆதரவு
political party,அரசியல் கட்சி
selfie,செல்ஃபி
trumpfie,ட்ரம்ப்ஃபி
picture,படம்
photo,புகைப்படம்
camera,புகைப்பட கருவி
donald trump hair,டொனால்ட் டிரம்ப் முடி
trump hair,துருப்பு முடி
silk,பட்டு
silky,மென்மையான
silky hair,மென்மையான முடி
dresser,டிரஸ்ஸர்
hair style,முடி பாணி
hair dresser,முடி அலங்கரிப்பவர்
super hero trump,சூப்பர் ஹீரோ டிரம்ப்
i am trump,நான் துருப்பு
i,நான்
am,நான்
american politics,அமெரிக்க அரசியல்
american election 2016,அமெரிக்கத் தேர்தல் 2016
rockstar,ராக்ஸ்டார்
americans,அமெரிக்கர்கள்
america elections 2016,அமெரிக்க தேர்தல்கள் 2016
tomorrow,நாளை
lazy,சோம்பேறி
tired,சோர்வாக
laidback,பின்னடைவு
laze,சோம்பேறி
procrastination,தள்ளிப்போடுதலுக்கான
procrastinate,ஒத்திவைக்கவும்
delay,தாமதம்
morning,காலை
work day,வேலை நாள்
weekend,வார இறுதி
off,ஆஃப்
weekends,வார இறுதி நாட்களில்
holidays,விடுமுறை
no,இல்லை
bath,குளியல்
sunday,ஞாயிற்றுக்கிழமை
weekend holiday,வார விடுமுறை
weekend off,வார விடுமுறை
weekend trip,வார பயணம்
wash,கழுவுதல்
home,வீடு
clothes,ஆடைகள்
pyjamas,பைஜாமாக்கள்
lazy sunday,சோம்பலான ஞாயிற்றுக்கிழமை
best,சிறந்தது
offs,ஆஃப்ஸ்
pyjama party,பைஜாமா விருந்து
unwind,அவிழ்த்து விடுங்கள்
relaxing,நிதானமாக
busy,பரபரப்பு
hibernation,உறக்கநிலை
sofa,சோபா
couch,படுக்கை
couch potato,சோம்பேறி
silence,ம .னம்
sleeping,தூங்குகிறது
lazing,சோம்பேறி
unwinding,அறியாத
today,இன்று
nothing,எதுவும் இல்லை
doing,செய்து
relax,ஓய்வெடுங்கள்
chilling,சிலிர்க்கும்
lazy ass,சோம்பேறி கழுதை
chill,குளிர்ச்சியுங்கள்
no work,வேலை இல்லை
holiday,விடுமுறை
sundays,ஞாயிற்றுக்கிழமை
vacation,விடுமுறை
lazy bum,சோம்பேறி பம்
eat,சாப்பிடுங்கள்
sleep,தூங்கு
repeat,மீண்டும்
resting,ஓய்வெடுக்கும்
glutton,பெருந்தீனி
eating,சாப்பிடுவது
hungry,பசி
foodie,உணவுப்பழக்கம்
good morning,காலை வணக்கம்
sunrise,சூரிய உதயம்
woke,விழித்தேன்
awake,விழித்திருங்கள்
up,மேலே
rise up,எழுந்திரு
day,நாள்
in bed,படுக்கையில்
bed,படுக்கை
sleepy,தூக்கம்
woke up,விழித்தேன்
useless,பயனற்றது
vacations,விடுமுறைகள்
saturday,சனிக்கிழமை
week off,வார விடுப்பு
idle,செயலற்றது
pizza,பீஸ்ஸா
pancakes,அப்பத்தை
food,உணவு
food items,உணவு பண்டங்கள்
indulgence,நுகர்வு
weekend indulgence,வார இறுதி மகிழ்ச்சி
rajnikanth,ரஜ்னிகாந்த்
rajnikant,ரஜினிகாந்த்
thalaiva,தலைவா
south indian cinema,தென்னிந்திய சினிமா
tamil actor,தமிழ் நடிகர்
tamil movies,தமிழ் திரைப்படங்கள்
movies,திரைப்படங்கள்
south indian,தென்னிந்திய
south indian actor,தென்னிந்திய நடிகர்
movie dialogues,திரைப்பட உரையாடல்கள்
understand,புரிந்து
better,சிறந்தது
style,நடை
cant,முடியாது
stop,நிறுத்து
stop me,என்னை நிறுத்து
south indian movies,தென்னிந்திய திரைப்படங்கள்
play,விளையாடு
ball,பந்து
action,நடவடிக்கை
drama,நாடகம்
kon,முடியும்
kaun,யார்
who,யார்
rok,ஆண்டு
aaram,மீதமுள்ளவை
time,நேரம்
rest,ஓய்வு
south indian dialogues,தென்னிந்திய உரையாடல்கள்
south india,தென்னிந்தியா
bullet,புல்லட்
goli,மாத்திரை
fast,வேகமாக
tez,கட்டுரைகள்
anna,அண்ணா
sotuh india,தென்னிந்தியா
fastest,வேகமாக
faster,வேகமாக
rajnikanth jokes,ரஜினிகாந்த் நகைச்சுவை
yanna rascala,yanna rascala
rascala,ராஸ்கலா
actor,நடிகர்
indian actor,இந்திய நடிகர்
lungi,நீண்டு
master,குரு
lungi master,லுங்கி மாஸ்டர்
rajni,அரசியல்வாதி
lungi dance,லுங்கி நடனம்
chalbaaz,ட்ரிக்ஸ்டர்
movie dialog,திரைப்பட உரையாடல்
liquor,மதுபானம்
booze,சாராயம்
drinking,குடிப்பது
drunk,குடித்துவிட்டு
indian movies,இந்திய திரைப்படங்கள்
rajnikanth dialogues,ரஜினிகாந்த் வசனங்கள்
dialogues,உரையாடல்கள்
chamak,பிரகாசிக்கவும்
shine,பிரகாசிக்கவும்
twenty twenty,இருபது இருபது
sachin,சச்சின்
batting,பேட்டிங்
bowling,பந்துவீச்சு
indian cricket team,இந்திய கிரிக்கெட் அணி
indian cricket,இந்திய கிரிக்கெட்
cricket world cup,கிரிக்கெட் உலகக் கோப்பை
cricketer,கிரிக்கெட் வீரர்
sports,விளையாட்டு
cricket fans,கிரிக்கெட் ரசிகர்கள்
fan,விசிறி
bat,மட்டை
bowl,கிண்ணம்
india,இந்தியா
you,நீங்கள்
balls,பந்துகள்
cricket,மட்டைப்பந்து
indian cricketers,இந்திய கிரிக்கெட் வீரர்கள்
batsman,பேட்ஸ்மேன்
bowler,பந்து வீச்சாளர்
injury,காயம்
bowled,பந்து வீசப்பட்டது
match,பொருத்துக
catch,பிடி
out,வெளியே
run out,ரன் அவுட்
cricket match,கிரிக்கெட் போட்டி
hit,வெற்றி
maar,ஆனால்
punch,பஞ்ச்
howzzat,howzzat
indian cricketer,இந்திய கிரிக்கெட் வீரர்
that,அந்த
six,ஆறு
sixer,சிக்ஸர்
shot,ஷாட்
clap,கைதட்டல்
what,என்ன
dont,dont
be,இரு
duck,வாத்து
bend,வளைவு
low,குறைந்த
sachin tendulkar,சச்சின் டெண்டுல்கர்
tendulkar,tendulkar
god,இறைவன்
god of cricket,கிரிக்கெட்டின் கடவுள்
indian cricket match,இந்திய கிரிக்கெட் போட்டி
century,நூற்றாண்டு
match night,போட்டி இரவு
sports injury,விளையாட்டு காயம்
cricket kit,கிரிக்கெட் கிட்
match score,போட்டி மதிப்பெண்
score,மதிப்பெண்
win,வெற்றி
lost,இழந்தது
victory,வெற்றி
bata,குழந்தை
video,வீடியோ
online,நிகழ்நிலை
cricket fan,கிரிக்கெட் ரசிகர்
player,ஆட்டக்காரர்
third,மூன்றாவது
3rd,காட்டு
umpire,நடுவர்
referee,நடுவர்
indian team,இந்திய அணி
indian player,இந்திய வீரர்
12th,12 வது
man,ஆண்
twelveth,பன்னிரண்டாவது
indian crickter,இந்திய கிரிக்கெட் வீரர்
saale,saale
smooth,மென்மையான
delivery,டெலிவரி
commentary,வர்ணனை
cricket commentary,கிரிக்கெட் வர்ணனை
strike,வேலைநிறுத்தம்
cheerleader,உற்சாக
cheer,உற்சாகம்
match fixing,பொருத்துதல் சரிசெய்தல்
fixing,சரிசெய்தல்
bik,பெக்
tu,நீங்கள்
cricket team,கிரிக்கெட் அணி
can,முடியும்
drive,இயக்கி
players,வீரர்கள்
full,முழு
toss,டாஸ்
full toss,முழு டாஸ்
pitch,சுருதி
bounce,பவுன்ஸ்
ek,ஒன்று
one,ஒன்று
bouncer,பவுன்சர்
do,செய்
not,இல்லை
afraid,பயம்
scared,பயமாக இருக்கிறது
hero,ஹீரோ
super hero,சூப்பர் ஹீரோ
powerpuff girls,பவர்பப் பெண்கள்
powerpuff,பவர்பப்
girls,பெண்கள்
power,சக்தி
daring,தைரியமான
strong,வலுவான
bold,தைரியமான
fighter woman,போர் பெண்
fighter,போராளி
here,இங்கே
I am,நான்
cartoon network,கார்ட்டூன் நெட்வொர்க்
cartoon,கார்ட்டூன்
professor,பேராசிரியர்
ehh,ehh
whats up,என்ன விஷயம்
sup,sup
doc,ஆவணம்
doctor,மருத்துவர்
bugs bunny,பிழைகள் பன்னி
rabbit,முயல்
carrot,கேரட்
annoying,எரிச்சலூட்டும்
cartoons,கார்ட்டூன்கள்
cartooon network,கார்ட்டூன் நெட்வொர்க்
bunny,முயல்
cute,அழகான
hey,ஏய்
hi,வணக்கம்
the,தி
is,இருக்கிறது
yours,உங்களுடையது
captain planet,கேப்டன் கிரகம்
planet,கிரகம்
captain,கேப்டன்
brave,தைரியமான
empowering,அதிகாரம்
will,விருப்பம்
hunt,வேட்டை
down,கீழ்
hunter,வேட்டைக்காரன்
road runner,சாலை ஓடுபவர்
The Road Runner,சாலை ரன்னர்
The Coyote,கொயோட்
looney toons,லூனி டூன்கள்
toons,டூன்கள்
animal instincts,விலங்கு உள்ளுணர்வு
beep beep,பீ பீப்
acme,acme
pretty,அழகான
are,உள்ளன
I m,நான் எம்
johnny,ஜானி
johnny bravo,ஜானி பிராவோ
bravo,பிராவோ
dude,கனா
sexy,கவர்ச்சியாக
mojo jojo,மோஜோ ஜோஜோ
villain,வில்லன்
evil,தீமை
wicked,பொல்லாத
bad,மோசமான
baddie,பேடி
cruel,கொடுமை
cruel intentions,கொடூரமான நோக்கங்கள்
bff,bff
forever,என்றென்றும்
life,வாழ்க்கை
ed edd and eddy,எட் எட் மற்றும் எடி
ed,எட்
edd,edd
eddy,எடி
bestie,மிருகங்கள்
log,பதிவு
imaginary,கற்பனை
imaginary friend,கற்பனை நண்பர்
plank,பிளாங்
aww,aww
moment,கணம்
great,நன்று
childhood,குழந்தை பருவம்
ruined,பாழாக்கி
cats,பூனைகள்
swat cats,swat kats
roll,ரோல்
bahadur bille,தைரியமான பூனைகள்
swat,swat
swat kats,swat kats
bade miyan,பெரிய மியான்
chote miyan,சிறிய மியான்
fighters,போராளிகள்
best friends,நெருங்கிய நண்பர்கள்
The Radical Squadron,தீவிர படை
BADE MEOW,பேட் மியாவ்
CHOTE,சிறியது
MEOW,மியாவ்
cartoon shows,கார்ட்டூன் நிகழ்ச்சிகள்
children,குழந்தைகள்
catch you,உங்களைப் பிடி
tom,டோம்
jerry,ஜெர்ரி
tom and jerry,டாம் மற்றும் ஜெர்ரி
cat,பூனை
mouse,சுட்டி
wanna,வேண்டும்
cartoon character,கார்ட்டூன் பாத்திரம்
the addams family,ஆடம்ஸ் குடும்பம்
wednesday,புதன்கிழமை
girl,பெண்
knock,தட்டுங்கள்
jetsons,ஜெட்சன்கள்
the jetsons,ஜெட்சன்கள்
jane,ஜேன்
george,ஜார்ஜ்
laugh,சிரிக்கவும்
haha,haha
dexter,டெக்ஸ்டர்
dexters laboratory,டெக்ஸ்டர்ஸ் ஆய்வகம்
network,வலைப்பின்னல்
deedee,deedee
scientist,விஞ்ஞானி
lab,ஆய்வகம்
mayor,மேயர்
secretary,செயலாளர்
sexy secretary,கவர்ச்சியான செயலாளர்
Ms Sara Bellum,திருமதி சாரா போர்
sara bellum,சாரா போர்
the powerpuff  girls,பவர்பப் பெண்கள்
Townsville,டவுன்ஸ்வில்லே
red hair,சிவப்பு முடி
dress,உடை
red,சிவப்பு
heels,குதிகால்
hot,சூடான
bear,தாங்க
smarter,சிறந்த
average,சராசரி
fat,கொழுப்பு
smart,புத்திசாலி
THE YOGI BEAR,யோகி கரடி
THE YOGI BEAR SHOW,யோகி பியர் ஷோ
wise,பாண்டித்தியம்
intelligent,புத்திசாலி
we,நாங்கள்
kid,குழந்தை
sharing,பகிர்வு
share,பகிர்
alvin and the chipmunks,ஆல்வின் மற்றும் சிப்மங்க்ஸ்
alvin,ஆல்வின்
chipmunks,சிப்மங்க்ஸ்
Simon,சைமன்
Theodore,தியோடர்
prize,பரிசு
yes,ஆம்
yeah,ஆம்
all right,எல்லாம் சரி
alright,சரி
boss,முதலாளி
sir,ஐயா
servant,வேலைக்காரன்
maid,பணிப்பெண்
richie rich,பணக்காரர் பணக்காரர்
Irona the Robot Maid,அரோனா ரோபோ பணிப்பெண்
robot,ரோபோ
irona,இரும்பு
Mrs Rich,திருமதி பணக்காரர்
ok,சரி
Sarabhai VS Sarabhai,சரபாய் வி.எஸ்.சரபாய்
rosesh,ரோஜா
sarabhai,sarabhai
moma,அம்மா
momma,அம்மா
mamas boy,மாமாஸ் பையன்
car,கார்
boy,சிறுவன்
Einstein,ஐன்ஸ்டீன்
biwi,மனைவி
wife,மனைவி
brain,மூளை
stupid,முட்டாள்
big cars,பெரிய கார்கள்
lol,lol
poetry,கவிதை
roshes poetry,ரோஷஸ் கவிதை
gaadi,கார்
dimag,மூளை
idiot,முட்டாள்
lame,நொண்டி
lame poetry,நொண்டி கவிதை
wine,மது
whiskey,விஸ்கி
champagne,ஷாம்பெயின்
drinks,பானங்கள்
drink,பானம்
offering drinks,பானங்கள் வழங்குதல்
cheers,சியர்ஸ்
alcohol,ஆல்கஹால்
sitcom,சிட்காம்
indian sitcom,இந்திய சிட்காம்
middle class,நடுத்தரம், நடுத்தரவர்க்கம்
ls,ls
highclass,உயர் வர்க்கம்
maya,மாயா
maya sarabhai,மாயா சரபாய்
mind,மனம்
making,தயாரித்தல்
point,புள்ளி
vs,எதிராக
sitcoms,சிட்காம்ஸ்
indian sitcoms,இந்திய சிட்காம்ஸ்
argument,வாதம்
arguing,வாதிட்டு
haunsla,தைரியம்
sweety,இனியவளே
monisha,மனிஷா
hope,நம்பிக்கை
dont lose,இழக்க வேண்டாம்
lose,இழக்க
proud,பெருமை
monisha sarabhai,மோனிஷா சரபாய்
poison,விஷம்
milk,பால்
acting,நடிப்பு
overacting,அதிகப்படியான
woman,பெண்
indian woman,இந்திய பெண்
comedy shows,நகைச்சுவை நிகழ்ச்சிகள்
comedy,நகைச்சுவை
indian comedy shows,இந்திய நகைச்சுவை நிகழ்ச்சிகள்
doodh,தூத்
swear,சத்தியம்
indian comedy,இந்திய நகைச்சுவை
promise,வாக்குறுதி
jaljeera,jaljeera
celebration,கொண்டாட்டம்
housewife,இல்லத்தரசி
aroma,நறுமணம்
rosesh sarabhai,ரோசேஷ் சரபாய்
happiness,மகிழ்ச்சி
show,காட்டு
indian shows,இந்திய நிகழ்ச்சிகள்
happy dance,மகிழ்ச்சியான நடனம்
mummy,மம்மி
purse,பர்ஸ்
hospital,மருத்துவமனை
sweet,இனிப்பு
nurse,செவிலியர்
flattering,முகஸ்துதி
impress,ஈர்க்க
patient,நோயாளி
mom,அம்மா
mother,அம்மா
mommas boy,அம்மா பையன்
lmao,lmao
jelly,ஜெல்லி
roseshs poetry,ரோஜாக்கள் கவிதை
son,மகன்
doting,புள்ளி
dote,வரதட்சினை
pigeons,புறாக்கள்
birds,பறவைகள்
pigeon,புறா
writings,எழுத்துக்கள்
writing,எழுதுதல்
so,அதனால்
class,வர்க்கம்
middle,நடுத்தர
high class,உயர் வர்க்கம்
showoff,showoff
broke,உடைந்தது
money,பணம்
rupees,ரூபாய்
cash,பணம்
card,அட்டை
credit card,கடன் அட்டை
miser,miser
scrooge,ஸ்க்ரூஜ்
low on cash,ரொக்கம் குறைவாக
wallet,பணப்பை
no money,பணம் இல்லை
no salary,சம்பளம் இல்லை
salary,சம்பளம்
balance,சமநிலை
low balance,குறைந்த சமநிலை
no cash,பணம் இல்லை
phone call,தொலைபேசி அழைப்பு
mobile phone,கைபேசி
forgot,மறந்துவிட்டேன்
brothers,சகோதரர்கள்
dead,இறந்தவர்
bhai,பாய்
buddy,நண்பா
bud,மொட்டு
bro,சகோ
t shirt,t சட்டை
shirt,சட்டை
tee,டீ
t,டி
brother,சகோதரன்
borrow,கடன் வாங்க
loan,கடன்
owe,கடன்பட்டிருக்கிறேன்
bill,ர சி து
check,காசோலை
no balance,இருப்பு இல்லை
pay,செலுத்த
restaurant,உணவகம்
bro brother,சக சகோதரர்
extra,கூடுதல்
ask,கேளுங்கள்
snack,சிற்றுண்டி
snacking,சிற்றுண்டி
bhel,BHEL
more,மேலும்
munching,முணுமுணுப்பு
hogging,ஹாகிங்
snacks,தின்பண்டங்கள்
note,குறிப்பு
girls night,பெண்களின் இரவு
girls night out,பெண்கள் இரவு வெளியே
ladies night,பெண்களின் இரவு
broke girls,உடைந்த பெண்கள்
clubbing,கிளப்பிங்
club,சங்கம்
tonight,இன்று இரவு
lets party,விருந்துக்கு உதவுகிறது
dancing,நடனம்
women,பெண்கள்
thursday,வியாழன்
birthday,பிறந்த நாள்
gift,பரிசு
present,தற்போது
birthday gift,பிறந்தநாள் பரிசு
birthday party,பிறந்தநாள் விழா
kanjoos,கசப்பான
asking,கேட்டுக்கொள்கிறோம்
birthday present,பிறந்தநாள் பரிசு
shopping,கடையில் பொருட்கள் வாங்குதல்
shop,கடை
cell phone,கைப்பேசி
urgent call,அவசர அழைப்பு
no battery,பேட்டரி இல்லை
dead phone,இறந்த தொலைபேசி
make,செய்ய
scoorge,ஸ்க்ரூஜ்
yaar,யார்
bruh,புரு
chai,கிழிக்கவும்
tea,தேநீர்
masala tea,மசாலா தேநீர்
kadak chai,கண்டிப்பான சாய்
cutting chai,அறுவடை தேநீர்
treat,உபசரிப்பு
hangout,Hangout
tea shop,தேநீர் கடை
tea stall,தேநீர் கடை
guys,தோழர்களே
guy,பையன்
Demonetisation,Demonetisation
car pool,கார் பூல்
cab pool,வண்டி பூல்
cab sharing,வண்டி பகிர்வு
auto,ஆட்டோ
delhi auto,டெல்ஹி ஆட்டோ
taxi sharing,டாக்ஸி பகிர்வு
travelling,பயணம்
travel,பயணம்
traveling,பயணம்
friendship,நட்பு
change,மாற்றம்
big note,பெரிய குறிப்பு
five hundred note,ஐநூறு குறிப்பு
bill pay,பில் ஊதியம்
no change,எந்த மாற்றமும் இல்லை
currency,நாணய
metro,மெட்ரோ
stuck,சிக்கிக்கொண்டது
got,கிடைத்தது
transport,போக்குவரத்து
bus,பேருந்து
train,தொடர்வண்டி
metro train,மெட்ரோ ரயில்
delhi metro,டெல்ஹி மெட்ரோ
delhi metro train,டெல்ஹி மெட்ரோ ரயில்
mumbai metro,மும்பை மெட்ரோ
local transport,உள்ளூர் போக்குவரத்து
late,தாமதமாக
late to work,வேலை தாமதமாக
excuses,சாக்கு
worker,தொழிலாளி
employee,ஊழியர்
office staff,அலுவலக ஊழியர்கள்
manager,மேலாளர்
team,அணி
suit,வழக்கு
cab,வண்டி
cabbie,கேபி
cab guy,வண்டி பையன்
driver,இயக்கி
taxi driver,டாக்ஸி டிரைவர்
taxi,டாக்ஸி
auto driver,ஆட்டோ டிரைவர்
route,பாதை
direction,திசையில்
area,பரப்பளவு
took,எடுத்தது
delayed,தாமதமாக
latecomer,latecomer
navigation,வழிசெலுத்தல்
way,வழி
road,சாலை
street,தெரு
procession,ஊர்வலம்
job,வேலை
in laws,சட்டங்களில்
mother in law,மாமியார்
father in law,மாமனார்
inlaws,inlaws
relatives,உறவினர்கள்
married,திருமணமானவர்
married employee,திருமணமான ஊழியர்
bahane,தவிர்க்கவும்
kaam,வேலை
office job,அலுவலக வேலை
office excuses,அலுவலக சாக்கு
loosemotions,தளர்வான இயக்கங்கள்
loose motions,தளர்வான இயக்கங்கள்
sick,நோய்வாய்ப்பட்டது
sickness,நோய்
ill,நோய்வாய்ப்பட்டது
unwell,உடல்நிலை சரியில்லை
late coming,தாமதமாக வருகிறது
workexcuses,workexcuses
member,உறுப்பினர்
fake,போலி
faking illness,போலி நோய்
bad stomach,கெட்ட வயிறு
stomach ache,வயிற்று வலி
potty,சாதாரணமான
dump,டம்ப்
poop,பூப்
parents,பெற்றோர்
station,நிலையம்
pick,தேர்ந்தெடு
railway station,தொடர்வண்டி நிலையம்
bus stand,பேருந்து நிலையம்
work excuses,வேலை சாக்கு
work place,வேலை இடம்
flat tyre,காற்றிழந்த சக்கரம்
puncture,பஞ்சர்
tyre,சக்கரம்
broke down,உடைந்தது
working,வேலை
sad employee,சோகமான ஊழியர்
on,ஆன்
skipped,தவிர்க்கப்பட்டது
bai,வெள்ளை
kaamwali,பணிப்பெண்
late today,இன்று தாமதமாக
theft,திருட்டு
robbery,கொள்ளை
heist,திருட்டு
building,கட்டிடம்
society,சமூகம்
crime scene,குற்றம் காட்சி
appartment,பெட்டகம்
work excuse,வேலை தவிர்க்கவும்
employer,முதலாளி
car broke down,கார் உடைந்தது
kharab,மோசமானது
gaadi band,கார் ஆஃப்
raining,மழை பெய்கிறது
monsoon,பருவமழை
location,இடம்
city,நகரம்
water clogging,நீர் அடைப்பு
paani,தண்ணீர்
coca cola,கோக்
thanda,குளிர்
coke,கோக்
yo,என்னை
beverage,பானம்
taste the feeling,உணர்வை சுவைக்கவும்
taste,சுவை
bottle,பாட்டில்
cola,கோலா
coca,கோகோ
coke bottle,கோக் பாட்டில்
jersey,ஜெர்சி
soft drink,குளிர்பானம்
1,1
coca cola,கோக்
meet,சந்திக்க
walking,நடைபயிற்சி
foodies,உணவு வகைகள்
khushiyaan,சிறப்பு
feeling,உணர்வு
meeting,சந்தித்தல்
towel,துண்டு
bathroom,குளியலறை
shower,மழை
girl in washroom,வாஷ்ரூமில் பெண்
washroom,கழிவறை
toilet,கழிப்பறை
girl in towel,துண்டு பெண்
no wash,கழுவும் இல்லை
clean,சுத்தமான
fresh,புதியது
freshen,புத்துணர்ச்சி
company,நிறுவனம்
dirty pack,அழுக்கு பொதி
pack,பேக்
dirty,அழுக்கு
cold,குளிர்
girl in bathrobe,குளியலறையில் பெண்
bathing,குளியல்
bathe,குளிக்கவும்
industry,தொழில்
clean up,சுத்தம் செய்
unhygienic,சுகாதாரமற்றது
hygiene,சுகாதாரம்
sanitary,சுகாதார
fever,காய்ச்சல்
ganda,இரட்டை
deodorant,டியோடரண்ட்
in,இல்
kal,நாளை
nahaya,குளியல்
ath,ath
athing,athing
wash wash up,கழுவ வேண்டும்
alibi,அலிபி
excuse,சாக்குப்போக்கு
nightsuit,நைட் சூட்
underwear,உள்ளாடை
kacche,மூல
dhule,துலே
washing,கழுவுதல்
dry,உலர்ந்த
dirty clothes,அழுக்கு துணிகள்
arriving late,தாமதமாக வந்து சேர்கிறது
ironing,சலவை
iron,இரும்பு
pants,பேன்ட்
trousers,கால்சட்டை
naked,நிர்வாணமாக
tie,கட்டு
no bath,குளியல் இல்லை
warm,சூடான
restroom,ஓய்வறை
woman in towel,துணியில் பெண்
pink,இளஞ்சிவப்பு
lady,பெண்
hot water bath,சுடு நீர் குளியல்
no shower,மழை இல்லை
holi,ஹோலி
wash up,கழுவவும்
pichkaari,அணுக்கருவி
gross,மொத்த
abey,abey
blue,நீலம்
naha,தோல்
winter,குளிர்காலம்
oye,oye
come,வாருங்கள்
thand,குளிர்
Daisy Duck,டெய்ஸி வாத்து
darling,அன்பே
good,நல்ல
luck,அதிர்ஷ்டம்
good luck,நல்ல அதிர்ஷ்டம்
memories,நினைவுகள்
bae,bae
girl friend,பெண் தோழி
school days,பள்ளி நாட்கள்
eighties,எண்பதுகள்
baby,குழந்தை
lovable,அன்பான
girl friends,பெண் நண்பர்கள்
post,அஞ்சல்
posted,இடுகையிடப்பட்டது
first,முதல்
before,முன்
update,புதுப்பிப்பு
social media,சமூக ஊடகங்கள்
donald duck,டொனால்ட் வாத்து
donald,டொனால்ட்
child,குழந்தை
hilarious,பெருங்களிப்புடைய
insane,பைத்தியம்
cuteness,வெட்டு
mental,மன
mentally,மனரீதியாக
oh,ஓ
boy oh boy,பையன் ஓ பையன்
mickey,மிக்கி
mickey mouse,மிக்கி மவுஸ்
response,பதில்
shocked,அதிர்ச்சி
some,சில
music,இசை
songs,பாடல்கள்
song,பாடல்
minnie,மின்னி
mini,மினி
minni,என்
minnie mouse,மின்னி எனும் எலி
melody,மெல்லிசை
need,தேவை
all,அனைத்தும்
romance,காதல்
romanctic,காதல்
conversations,உரையாடல்கள்
talks,பேச்சு
lover,காதலன்
guitar,கிட்டார்
instrument,கருவி
forbidden,தடைசெய்யப்பட்டுள்ளது
romantic,காதல்
heart ache,நெஞ்சுவலி
dill,வெந்தயம்
how,எப்படி
cteness,cteness
starts,தொடங்குகிறது
beginning,ஆரம்பம்
conversation,உரையாடல்
for,க்கு
group,குழு
happy birthday,பிறந்தநாள் வாழ்த்துக்கள்
to me,உடன்
my birthdy,எனது பிறந்த நாள்
my,என்
hello,வணக்கம்
starters,தொடக்க
begin,தொடங்கு
mouseketeers,mouseketeers
magic,மந்திரம்
jaafu,வதந்திகள்
jadu,மந்திரம்
cloak,ஆடை
me,என்னை
praise,புகழ்
in love,காதலில்
ishq,ishq
