bobble,Bobble
wig,విగ్
orange hair,నారింజ జుట్టు
yellow hair,పసుపు జుట్టు
usa,USA
u.s.a,U.S.A
politicians,రాజకీయ
politics,రాజకీయాలు
hair styles,జుట్టు శైలులు
hair drier,హెయిర్ డ్రైయర్
president,అధ్యక్షుడు
the states,రాష్ట్రాలు
politician,రాజకీయ
american elections,అమెరికన్ ఎన్నికలు
elections,ఎన్నికలు
campaign,ప్రచారంలో
american elections 2016,అమెరికన్ ఎన్నికలు 2016
greatest,గొప్ప
orange,నారింజ
trump,ట్రంప్
US,సంయుక్త
campaigns,ప్రచారాలు
funny,ఫన్నీ
hair,జుట్టు
yellow,పసుపు
honest,నిజాయితీ
honesty,నిజాయితీ
honest politicians,నిజాయితీగల రాజకీయ నాయకులు
america,అమెరికా
leader,నాయకుడు
people,ప్రజలు
confident,నమ్మకంగా
support,మద్దతు
political party,రాజకీయ పార్టీ
selfie,స్వీయ చిత్ర
trumpfie,trumpfie
picture,చిత్రాన్ని
photo,ఫోటో
camera,కెమెరా
donald trump hair,డోనాల్డ్ ట్రంప్ జుట్టు
trump hair,ట్రంప్ జుట్టు
silk,పట్టు
silky,సిల్కీ
silky hair,సిల్కీ జుట్టు
dresser,చక్కపెట్టేవాడు
hair style,జుట్టు శైలి
hair dresser,హెయిర్ డ్రస్సర్
super hero trump,సూపర్ హీరో ట్రంప్
i am trump,నేను ట్రంప్
i,నేను
am,AM
american politics,అమెరికన్ రాజకీయాలు
american election 2016,అమెరికన్ ఎన్నికలు 2016
rockstar,సంగీత తార
americans,అమెరికన్లు
america elections 2016,అమెరికా ఎన్నికలు 2016
tomorrow,రేపు
lazy,సోమరి
tired,అలసిన
laidback,laidback
laze,laze
procrastination,procrastination
procrastinate,procrastinate
delay,ఆలస్యం
morning,ఉదయం
work day,పని రోజు
weekend,వారాంతంలో
off,ఆఫ్
weekends,వారాంతాల్లో
holidays,సెలవులు
no,ఏ
bath,స్నాన
sunday,ఆదివారం
weekend holiday,వారాంతపు సెలవు
weekend off,వారాంతపు సెలవు
weekend trip,వారాంతపు యాత్ర
wash,వాష్
home,హోమ్
clothes,బట్టలు
pyjamas,పైజామా
lazy sunday,సోమరితనం ఆదివారం
best,ఉత్తమ
offs,ఆఫ్స్
pyjama party,పైజామా పార్టీ
unwind,నిలిపివేయవచ్చు
relaxing,సడలించడం
busy,బిజీగా
hibernation,నిద్రాణస్థితికి
sofa,సోఫా
couch,సోఫా
couch potato,మంచం బంగాళాదుంప
silence,నిశ్శబ్దం
sleeping,నిద్ర
lazing,lazing
unwinding,వేరు
today,నేడు
nothing,ఏమిలేదు
doing,చేయడం
relax,విశ్రాంతి
chilling,chilling
lazy ass,సోమరితనం గాడిద
chill,చల్ల
no work,పని లేదు
holiday,సెలవు
sundays,ఆదివారాలు
vacation,సెలవు
lazy bum,సోమరితనం బం
eat,తినడానికి
sleep,నిద్ర
repeat,రిపీట్
resting,విశ్రాంతి
glutton,తిండిపోతు
eating,ఆహారపు
hungry,ఆకలితో
foodie,దూరం
good morning,శుభోదయం
sunrise,సూర్యోదయం
woke,మేల్కొన్నాను
awake,మేలుకొని
up,అప్
rise up,లెగువు
day,రోజు
in bed,మంచంలో
bed,మం చం
sleepy,నిద్రిస్తున్న
woke up,మేల్కొన్నాను
useless,పనికిరాని
vacations,సెలవుల్లో
saturday,శనివారం
week off,వారాంతపు సెలవు
idle,పనిలేకుండా
pizza,పిజ్జా
pancakes,పాన్కేక్లు
food,ఆహార
food items,ఆహార వస్తువులు
indulgence,ఆనందం
weekend indulgence,వారాంతపు ఆనందం
rajnikanth,బయెషా
rajnikant,రజనీకాంత్
thalaiva,మండపం
south indian cinema,దక్షిణ భారత సినిమా
tamil actor,తమిళ నటుడు
tamil movies,తమిళ సినిమాలు
movies,సినిమాలు
south indian,దక్షిణ భారత
south indian actor,దక్షిణ భారత నటుడు
movie dialogues,సినిమా డైలాగులు
understand,అర్థం
better,మంచి
style,శైలి
cant,పరి
stop,స్టాప్
stop me,నన్ను ఆపండి
south indian movies,దక్షిణ భారత సినిమాలు
play,నాటకం
ball,బంతిని
action,చర్య
drama,డ్రామా
kon,చేయగలిగి
kaun,ఎవరు
who,ఎవరు
rok,సంవత్సరం
aaram,మిగిలినవి
time,సమయం
rest,విశ్రాంతి
south indian dialogues,దక్షిణ భారత సంభాషణలు
south india,దక్షిణ భారతదేశం
bullet,బుల్లెట్
goli,పిల్
fast,ఫాస్ట్
tez,థీసిస్
anna,అన్నా
sotuh india,దక్షిణ భారతదేశం
fastest,వేగంగా
faster,వేగంగా
rajnikanth jokes,రజనీకాంత్ జోకులు
yanna rascala,yanna rascala
rascala,rascala
actor,నటుడు
indian actor,భారతీయ నటుడు
lungi,పొడిగించుకునేందుకు
master,మాస్టర్
lungi master,లుంగీ మాస్టర్
rajni,రాజకీయ నాయకుడు
lungi dance,లుంగీ డాన్స్
chalbaaz,మోసగాడు
movie dialog,సినిమా డైలాగ్
liquor,మద్యం
booze,బూజ్
drinking,తాగు
drunk,తాగిన
indian movies,భారతీయ సినిమాలు
rajnikanth dialogues,రజనీకాంత్ డైలాగులు
dialogues,డైలాగ్స్
chamak,వెలిగేలా
shine,షైన్
twenty twenty,ఇరవై ఇరవై
sachin,sachin
batting,బ్యాటింగ్
bowling,బౌలింగ్
indian cricket team,భారత క్రికెట్ జట్టు
indian cricket,భారత క్రికెట్
cricket world cup,క్రికెట్ ప్రపంచ కప్
cricketer,క్రికెటర్
sports,క్రీడలు
cricket fans,క్రికెట్ అభిమానులు
fan,అభిమాని
bat,బ్యాట్
bowl,గిన్నె
india,భారతదేశం
you,మీరు
balls,బంతుల్లో
cricket,క్రికెట్
indian cricketers,భారత క్రికెటర్లు
batsman,బ్యాట్స్మన్
bowler,బౌలర్
injury,గాయం
bowled,బౌల్డ్
match,మ్యాచ్
catch,క్యాచ్
out,బయటకు
run out,రనౌట్
cricket match,క్రికెట్ మ్యాచ్
hit,కొట్టుట
maar,కానీ
punch,పంచ్
howzzat,howzzat
indian cricketer,భారత క్రికెటర్
that,ఆ
six,ఆరు
sixer,సిక్స్లో
shot,షాట్
clap,క్లాప్
what,ఏమి
dont,డోంట్స్
be,ఉంటుంది
duck,డక్
bend,బెండ్
low,తక్కువ
sachin tendulkar,సచిన్ టెండూల్కర్
tendulkar,టెండూల్కర్
god,దేవుడు
god of cricket,క్రికెట్ దేవుడు
indian cricket match,భారత క్రికెట్ మ్యాచ్
century,శతాబ్దం
match night,మ్యాచ్ రాత్రి
sports injury,క్రీడా గాయం
cricket kit,క్రికెట్ కిట్
match score,మ్యాచ్ స్కోరు
score,స్కోరు
win,గెలుపు
lost,కోల్పోయిన
victory,విజయం
bata,యువ
video,వీడియో
online,ఆన్లైన్
cricket fan,క్రికెట్ అభిమాని
player,క్రీడాకారుడు
third,మూడో
3rd,ప్రదర్శించు
umpire,అంపైర్
referee,రిఫరీ
indian team,భారత జట్టు
indian player,ఇండియన్ ప్లేయర్
12th,12 వ
man,మనిషి
twelveth,twelveth
indian crickter,భారత క్రికెటర్
saale,సాలె
smooth,సున్నితంగా
delivery,డెలివరీ
commentary,వ్యాఖ్యానం
cricket commentary,క్రికెట్ వ్యాఖ్యానం
strike,సమ్మె
cheerleader,చీర్లీడర్
cheer,ఉల్లాసమైన
match fixing,మ్యాచ్ ఫిక్సింగ్
fixing,ఫిక్సింగ్
bik,బెక్
tu,మీ
cricket team,క్రికెట్ జట్టు
can,చెయ్యవచ్చు
drive,డ్రైవ్
players,క్రీడాకారులు
full,పూర్తి
toss,టాస్
full toss,పూర్తి టాస్
pitch,పిచ్
bounce,బౌన్స్
ek,ఒక
one,ఒకటి
bouncer,బౌన్సర్
do,అలా
not,కాదు
afraid,భయపడటం
scared,భయపడ్డాను
hero,హీరో
super hero,సూపర్ హీరో
powerpuff girls,శక్తివంతమైన బాలికలు
powerpuff,Powerpuff
girls,అమ్మాయిలు
power,శక్తి
daring,ధైర్యంగా
strong,బలమైన
bold,బోల్డ్
fighter woman,యుద్ధ మహిళ
fighter,యుద్ధ
here,ఇక్కడ
I am,నేను
cartoon network,కార్టూన్ నెట్వర్క్
cartoon,కార్టూన్
professor,ప్రొఫెసర్
ehh,ehh
whats up,ఏమిటి సంగతులు
sup,sup
doc,డిఓసి
doctor,వైద్యుడు
bugs bunny,బగ్స్ బన్నీ
rabbit,కుందేలు
carrot,కారెట్
annoying,కోపం తెప్పించేది
cartoons,కార్టూన్లు
cartooon network,కార్టూన్ నెట్వర్క్
bunny,బన్నీ
cute,అందమైన
hey,హే
hi,hi
the,ది
is,ఉంది
yours,మీదే
captain planet,కెప్టెన్ గ్రహం
planet,గ్రహం
captain,కెప్టెన్
brave,ధైర్య
empowering,సాధికారిక
will,రెడీ
hunt,వేట
down,డౌన్
hunter,వేటగాడు
road runner,రోడ్ రన్నర్
The Road Runner,రోడ్ రన్నర్
The Coyote,కొయెట్
looney toons,లూనీ టూన్లు
toons,Toons
animal instincts,జంతు ప్రవృత్తులు
beep beep,బీప్ బీప్
acme,Acme
pretty,చక్కని
are,ఉన్నాయి
I m,నేను మ
johnny,జానీ
johnny bravo,జానీ బ్రావో
bravo,బ్రావో
dude,డ్యూడ్
sexy,సెక్సీ
mojo jojo,మోజో జోజో
villain,విలన్
evil,చెడు
wicked,చెడ్డ
bad,చెడు
baddie,దుర్మార్గుడు
cruel,క్రూరమైన
cruel intentions,క్రూరమైన ఉద్దేశాలు
bff,BFF
forever,ఎప్పటికీ
life,జీవితం
ed edd and eddy,ed edd మరియు eddy
ed,ed
edd,edd
eddy,ఎడ్డీ
bestie,జంతువులు
log,లాగ్
imaginary,ఊహాత్మక
imaginary friend,inary హాత్మక స్నేహితుడు
plank,ప్లాంక్
aww,హు
moment,క్షణం
great,గొప్ప
childhood,చిన్ననాటి
ruined,వ్యర్థమైంది
cats,పిల్లులు
swat cats,swat kats
roll,రోల్
bahadur bille,ధైర్య పిల్లులు
swat,స్వాత్
swat kats,swat kats
bade miyan,బిగ్ మియాన్
chote miyan,లిటిల్ మియాన్
fighters,యోధులు
best friends,గాఢ స్నేహితులు
The Radical Squadron,రాడికల్ స్క్వాడ్రన్
BADE MEOW,BADE MEOW
CHOTE,చిన్న
MEOW,మిఅవ్
cartoon shows,కార్టూన్ ప్రదర్శనలు
children,పిల్లలు
catch you,కలుస్తాను
tom,టామ్
jerry,జెర్రీ
tom and jerry,టామ్ మరియు జెర్రీ
cat,పిల్లి
mouse,మౌస్
wanna,వన్నా
cartoon character,కార్టూన్ పాత్ర
the addams family,ఆడమ్స్ కుటుంబం
wednesday,బుధవారం
girl,అమ్మాయి
knock,తన్నాడు
jetsons,Jetsons
the jetsons,జెట్సన్స్
jane,జేన్
george,george
laugh,నవ్వుల
haha,హా హా
dexter,Dexter
dexters laboratory,డెక్స్టర్ యొక్క ప్రయోగశాల
network,నెట్వర్క్
deedee,Deedee
scientist,శాస్త్రవేత్త
lab,ల్యాబ్
mayor,మేయర్
secretary,కార్యదర్శి
sexy secretary,సెక్సీ సెక్రటరీ
Ms Sara Bellum,Ms సారా WAR
sara bellum,sara యుద్ధం
the powerpuff  girls,పవర్‌పఫ్ అమ్మాయిలు
Townsville,టోవ్న్స్వీల్ళే
red hair,ఎరుపు జుట్టు
dress,దుస్తులు
red,ఎరుపు
heels,heels
hot,వేడి
bear,ఎలుగుబంటి
smarter,తెలివిగా
average,సగటు
fat,కొవ్వు
smart,స్మార్ట్
THE YOGI BEAR,యోగి బేర్
THE YOGI BEAR SHOW,యోగి బేర్ షో
wise,తెలివైన
intelligent,తెలివైన
we,మేము
kid,పిల్లవాడిని
sharing,భాగస్వామ్య
share,వాటా
alvin and the chipmunks,ఆల్విన్ మరియు చిప్‌మంక్‌లు
alvin,ఆల్విన్
chipmunks,చిప్మున్క్స్
Simon,సైమన్
Theodore,థియోడర్
prize,బహుమతి
yes,అవును
yeah,అవును
all right,అయితే సరే
alright,ఆల్రైట్
boss,బాస్
sir,సర్
servant,సేవకుడు
maid,మెయిడ్
richie rich,రిచీ రిచ్
Irona the Robot Maid,ఐరోనా ది రోబోట్ మెయిడ్
robot,రోబోట్
irona,Irona
Mrs Rich,మిసెస్ రిచ్
ok,అలాగే
Sarabhai VS Sarabhai,సారాభాయ్ వి.ఎస్. సారాభాయ్
rosesh,rosesh
sarabhai,సారాభాయ్
moma,moma
momma,మమ్మా వాస్
mamas boy,మామాస్ బాయ్
car,కారు
boy,బాయ్
Einstein,ఐన్స్టీన్
biwi,భార్య
wife,భార్య
brain,మె ద డు
stupid,స్టుపిడ్
big cars,పెద్ద కార్లు
lol,LOL
poetry,కవిత్వం
roshes poetry,రోషెస్ కవిత్వం
gaadi,రైలు
dimag,మెదడు
idiot,వెధవ
lame,మందకొడిగా
lame poetry,కుంటి కవిత్వం
wine,వైన్
whiskey,విస్కీ
champagne,షాంపైన్
drinks,పానీయాలు
drink,పానీయం
offering drinks,పానీయాలు అందిస్తోంది
cheers,చీర్స్
alcohol,మద్యం
sitcom,సిట్కాం
indian sitcom,ఇండియన్ సిట్కామ్
middle class,మధ్య తరగతి
ls,ls
highclass,highclass
maya,మయ
maya sarabhai,మయ శరభాయ్
mind,మనసు
making,మేకింగ్
point,పాయింట్
vs,vs
sitcoms,హాస్య ధారావాహికలు
indian sitcoms,ఇండియన్ సిట్‌కామ్‌లు
argument,వాదన
arguing,వాదించడం
haunsla,అల్లం
sweety,స్వీటీ
monisha,మనీషా
hope,ఆశిస్తున్నాము
dont lose,కోల్పోకండి
lose,కోల్పోతారు
proud,గర్వంగా
monisha sarabhai,మోనిషా సారాభాయ్
poison,పాయిజన్
milk,పాల
acting,నటన
overacting,overacting
woman,మహిళ
indian woman,భారతీయ మహిళ
comedy shows,కామెడీ షోలు
comedy,కామెడీ
indian comedy shows,ఇండియన్ కామెడీ షోలు
doodh,దూద్
swear,ప్రమాణ
indian comedy,ఇండియన్ కామెడీ
promise,వాగ్దానం
jaljeera,jaljeera
celebration,వేడుక
housewife,గృహిణి
aroma,వాసన
rosesh sarabhai,రోసేష్ సారాభాయ్
happiness,ఆనందం
show,షో
indian shows,భారతీయ ప్రదర్శనలు
happy dance,హ్యాపీ డ్యాన్స్
mummy,మమ్మీ
purse,పర్స్
hospital,ఆసుపత్రి
sweet,తీపి
nurse,నర్సు
flattering,పొగిడే
impress,ఇంప్రెస్
patient,రోగి
mom,అమ్మ
mother,తల్లి
mommas boy,మమ్మాస్ బాయ్
lmao,lmao
jelly,జెల్లీ
roseshs poetry,రోజెస్ కవిత్వం
son,కుమారుడు
doting,మూర్ఖపు
dote,వరకట్న
pigeons,పావురాలు
birds,పక్షులు
pigeon,పావురం
writings,రచనలు
writing,రచన
so,కాబట్టి
class,తరగతి
middle,మధ్య
high class,ఉన్నత తరగతి
showoff,showoff
broke,విరిగింది
money,డబ్బు
rupees,రూపాయలు
cash,నగదు
card,కార్డ్
credit card,క్రెడిట్ కార్డు
miser,లోభి
scrooge,స్కూర్జ్
low on cash,నగదు తక్కువ
wallet,జేబు
no money,డబ్బులు లేవు
no salary,జీతం లేదు
salary,జీతం
balance,సంతులనం
low balance,తక్కువ బ్యాలెన్స్
no cash,నగదు లేదు
phone call,ఫోన్ కాల్
mobile phone,చరవాణి
forgot,మర్చిపోయాను
brothers,సోదరులు
dead,డెడ్
bhai,భాయి
buddy,స్నేహితుని
bud,మొగ్గ
bro,బ్రో
t shirt,t చొక్కా
shirt,చొక్కా
tee,టీ
t,t
brother,సోదరుడు
borrow,ఋణం
loan,ఋణం
owe,రుణపడి
bill,బిల్లు
check,తనిఖీ
no balance,బ్యాలెన్స్ లేదు
pay,పే
restaurant,రెస్టారెంట్
bro brother,బ్రో సోదరుడు
extra,అదనపు
ask,అడగండి
snack,అల్పాహారం
snacking,అల్పాహారం
bhel,భెల్
more,మరింత
munching,munching
hogging,hogging
snacks,స్నాక్స్
note,గమనిక
girls night,అమ్మాయిలు రాత్రి
girls night out,బాలికల జాగారం
ladies night,లేడీస్ నైట్
broke girls,విరిగిన అమ్మాయిలు
clubbing,క్లబ్బులు
club,క్లబ్
tonight,ఈరాత్రి
lets party,విందు చేసుకుందాము
dancing,డ్యాన్స్
women,మహిళలు
thursday,గురువారం
birthday,పుట్టినరోజు
gift,గిఫ్ట్
present,ప్రస్తుతం
birthday gift,జన్మదిన కానుక
birthday party,జన్మదిన వేడుక
kanjoos,ఔదార్యం
asking,అడుగుతూ
birthday present,పుట్టినరోజు కానుకగా
shopping,షాపింగ్
shop,అంగడి
cell phone,సెల్ ఫోన్
urgent call,అత్యవసర కాల్
no battery,బ్యాటరీ లేదు
dead phone,చనిపోయిన ఫోన్
make,తయారు
scoorge,స్కూర్జ్
yaar,ఎవరు
bruh,bruh
chai,కూల్చివేయి
tea,తేనీరు
masala tea,మసాలా టీ
kadak chai,కఠినమైన చాయ్
cutting chai,హార్వెస్ట్ టీ
treat,ట్రీట్
hangout,తరచుగా సందర్శించే స్థలం
tea shop,టీ షాప్
tea stall,టీ స్టాల్
guys,అబ్బాయిలు
guy,వ్యక్తి
Demonetisation,Demonetisation
car pool,కార్ పూల్
cab pool,క్యాబ్ పూల్
cab sharing,క్యాబ్ షేరింగ్
auto,దానంతట అదే
delhi auto,డెల్హి ఆటో
taxi sharing,టాక్సీ షేరింగ్
travelling,ప్రయాణించే
travel,ప్రయాణ
traveling,ప్రయాణించే
friendship,స్నేహం
change,మార్పు
big note,పెద్ద గమనిక
five hundred note,ఐదు వందల నోటు
bill pay,బిల్లు చెల్లింపు
no change,మార్పు లేదు
currency,కరెన్సీ
metro,మెట్రో
stuck,కష్టం
got,వచ్చింది
transport,రవాణా
bus,బస్సు
train,రైలు
metro train,మెట్రో రైలు
delhi metro,డెల్హి మెట్రో
delhi metro train,డెల్హి మెట్రో రైలు
mumbai metro,ముంబై మెట్రో
local transport,స్థానిక రవాణా
late,ఆలస్యం
late to work,పని ఆలస్యం
excuses,సాకులు
worker,కార్మికుడు
employee,ఉద్యోగి
office staff,కార్యాలయ సిబ్బంది
manager,నిర్వాహకుడు
team,జట్టు
suit,దావా
cab,టాక్సీ
cabbie,cabbie
cab guy,క్యాబ్ వ్యక్తి
driver,డ్రైవర్
taxi driver,టాక్సీ డ్రైవర్
taxi,టాక్సీ
auto driver,ఆటో డ్రైవర్
route,మార్గం
direction,దిశ
area,ప్రాంతం
took,పట్టింది
delayed,ఆలస్యం
latecomer,latecomer
navigation,పేజీకి సంబంధించిన లింకులు
way,మార్గం
road,త్రోవ
street,వీధి
procession,ఊరేగింపు
job,ఉద్యోగం
in laws,చట్టాలలో
mother in law,అత్తయ్య
father in law,మామయ్యా
inlaws,inlaws
relatives,బంధువులు
married,వివాహం
married employee,వివాహితుడు
bahane,అవసరం లేదు
kaam,పని
office job,కార్యాలయ ఉద్యోగం
office excuses,కార్యాలయ సాకులు
loosemotions,loosemotions
loose motions,వదులుగా కదలికలు
sick,అనారోగ్యం
sickness,అనారోగ్యం
ill,అనారోగ్యంతో
unwell,అనారోగ్య
late coming,ఆలస్యంగా వస్తోంది
workexcuses,workexcuses
member,సభ్యుడు
fake,నకిలీ
faking illness,నకిలీ అనారోగ్యం
bad stomach,చెడు కడుపు
stomach ache,కడుపు నొప్పి
potty,తెలివి తక్కువానిగా భావించాము
dump,డంప్
poop,poop
parents,తల్లిదండ్రులు
station,స్టేషన్
pick,ఎంచుకోండి
railway station,రైలు నిలయం
bus stand,బస్ స్టాండ్
work excuses,పని సాకులు
work place,పని ప్రదేశం
flat tyre,ఫ్లాట్ టైర్
puncture,పంక్చర్
tyre,టైర్
broke down,కుప్పకూలిపోయింది
working,పని
sad employee,విచారకరమైన ఉద్యోగి
on,పై
skipped,దాటవేయబడింది
bai,వైట్
kaamwali,పని మనిషి
late today,ఈ రోజు చివరిలో
theft,దొంగతనం
robbery,దోపిడీ
heist,దోపిడీ
building,కట్టడం
society,సమాజం
crime scene,నేర దృశ్యం
appartment,appartment
work excuse,పని అవసరం లేదు
employer,యజమాని
car broke down,కారు విరిగింది
kharab,బలహీనపరచడం
gaadi band,కారు ఆఫ్
raining,వర్షం పడుతోంది
monsoon,రుతుపవనాలు
location,స్థానం
city,నగరం
water clogging,నీరు అడ్డుపడటం
paani,నీరు
coca cola,కోక్
thanda,కోల్డ్
coke,కోక్
yo,నేను
beverage,పానీయం
taste the feeling,భావన రుచి
taste,రుచి
bottle,సీసా
cola,కోల
coca,కోకా
coke bottle,కోక్ బాటిల్
jersey,జెర్సీ
soft drink,సాఫ్ట్ డ్రింక్
1,1
coca cola,కోక్
meet,కలుసుకోవడం
walking,వాకింగ్
foodies,foodies
khushiyaan,Khushiyaan
feeling,భావన
meeting,సమావేశం
towel,టవల్
bathroom,బాత్రూమ్
shower,షవర్
girl in washroom,వాష్‌రూమ్‌లో అమ్మాయి
washroom,washroom
toilet,ముఖము కడుగుకొని, తలదువ్వుకొని, దుస్తులు ధరించు పద్ధతి
girl in towel,టవల్ లో అమ్మాయి
no wash,వాష్ లేదు
clean,శుభ్రంగా
fresh,తాజా
freshen,freshen
company,కంపెనీ
dirty pack,మురికి ప్యాక్
pack,ప్యాక్
dirty,మురికి
cold,చల్లని
girl in bathrobe,బాత్రోబ్లో అమ్మాయి
bathing,స్నానం
bathe,స్నానం
industry,పరిశ్రమ
clean up,శుబ్రం చేయి
unhygienic,అనారోగ్యమైన
hygiene,పరిశుభ్రత
sanitary,సానిటరీ
fever,జ్వరం
ganda,అందం
deodorant,దుర్గంధనాశని
in,లో
kal,రేపు
nahaya,స్నానం
ath,ATH
athing,athing
wash wash up,వాష్ వాష్ అప్
alibi,సకార్యం
excuse,అవసరం లేదు
nightsuit,రాత్రి దుస్తులు
underwear,లోదుస్తుల
kacche,రా
dhule,ధూలే
washing,వాషింగ్
dry,పొడి
dirty clothes,మురికి బట్టలు
arriving late,ఆలస్యంగా చేరుకోవడం
ironing,ఇస్త్రీ
iron,ఇనుము
pants,ప్యాంటు
trousers,ప్యాంటు
naked,నగ్న
tie,టై
no bath,స్నానం లేదు
warm,వెచ్చని
restroom,రెస్ట్రూమ్
woman in towel,టవల్ లో స్త్రీ
pink,గులాబీ
lady,లేడీ
hot water bath,వేడి నీటి స్నానం
no shower,షవర్ లేదు
holi,హోలీ
wash up,కడుగు
pichkaari,నీరు గన్
gross,స్థూల
abey,abey
blue,నీలం
naha,చర్మం
winter,శీతాకాలంలో
oye,ఓయ్
come,రండి
thand,కోల్డ్
Daisy Duck,డైసీ డక్
darling,డార్లింగ్
good,మంచిది
luck,అదృష్టం
good luck,అదృష్టం
memories,జ్ఞాపకాలను
bae,BAE
girl friend,గర్ల్ ఫ్రెండ్
school days,బడి రోజులు
eighties,ఎనభైల
baby,బేబీ
lovable,lovable
girl friends,అమ్మాయి స్నేహితులు
post,పోస్ట్
posted,పోస్ట్
first,ప్రధమ
before,ముందు
update,నవీకరణ
social media,సోషల్ మీడియా
donald duck,డోనాల్డ్ డక్
donald,డోనాల్డ్
child,పిల్లల
hilarious,ఉల్లాసంగా
insane,పిచ్చి
cuteness,రక్తి
mental,మానసిక
mentally,మానసికంగా
oh,ఓహ్
boy oh boy,అబ్బాయి ఓహ్ బాయ్
mickey,మిక్కీ
mickey mouse,మిక్కీ మౌస్
response,స్పందన
shocked,నిర్ఘాంతపోయాడు
some,కొన్ని
music,సంగీతం
songs,పాటలు
song,పాట
minnie,మిన్నీ
mini,మినీ
minni,నా
minnie mouse,మిన్నీ మౌస్
melody,శ్రావ్యత
need,అవసరం
all,అన్ని
romance,శృంగారం
romanctic,శృంగార
conversations,సంభాషణలు
talks,చర్చలు
lover,ప్రేమికుడు
guitar,గిటార్
instrument,వాయిద్యం
forbidden,నిషేధించబడింది
romantic,శృంగార
heart ache,గుండె నొప్పి
dill,డిల్
how,ఎలా
cteness,cteness
starts,ప్రారంభమవడం
beginning,ప్రారంభంలో
conversation,సంభాషణ
for,కోసం
group,సమూహం
happy birthday,పుట్టినరోజు శుభాకాంక్షలు
to me,తో
my birthdy,నా పుట్టిన రోజు
my,నా
hello,హలో
starters,స్టార్టర్స్
begin,ప్రారంభం
mouseketeers,మౌస్కెటీర్స్
magic,మేజిక్
jaafu,jaafu
jadu,మేజిక్
cloak,వర్ణ వేషం
me,నాకు
praise,ప్రశంసలు
in love,ప్రేమలో
ishq,ఇష్క్
flirt,పరిహసముచేయు
flirtatious,సరసమైన
filmy,సినిమాలు
bollywood,బాలీవుడ్
cinema,సినిమా
hindi,హిందీ
relationships,సంబంధాలు
pyar,ప్రేమ
dl,dl
zindagi,జిందగీ
hai,ఉంది
dialogue,సంభాషణ
dialog,డైలాగ్
mohabbat,మోహబ్బత్
lovesick,lovesick
chance,క్రీడల్లో అవకాశాలు
stake,వాటాను
risk,ప్రమాదం
kuch,కొన్ని
by,ద్వారా
mera,మేరా
limit,పరిమితి
main,ప్రధాన
hearts,హృదయాలను
rule,పాలన
pyaar ke rules,ప్రేమ నియమాలు
friendzone,స్నేహితుడు జోన్
friendzoned,friendzoned
diwana,Loopy
mad,పిచ్చి
ole,కాదు
bole,సేస్
saif,సైఫ్
saif ali khan,సైఫ్ అలీ ఖాన్
tera,టెరా
jab bhi,ఎప్పుడు
see,చూడండి
dekhu,Dekhu
ladka,అబ్బాయి
bike,బైక్
