ribbions,റാബിയോൺസ്
beer ki glass,ബിയർ കി ഗ്ലാസ്
pole,പോൾ
khamba,ധ്രുവം
nailpolish,നഖം
ear ring,ചെവി മോതിരം
shuit,ഷൂട്ട്
chapple,ചാപ്പിൾ
kalai band,റിസ്റ്റ് ബാൻഡ്
jali wali pant,വ്യാജ പാന്റ്
black shirt,കറുത്ത ഷർട്ട്
kali shirt,കാളി ഷർട്ട്
sare,സാരെ
cocacola,സാധാ
baas,ബോസ്
cigrate,സിഗരറ്റ്
doar,മാത്രം
masal,കഥ
blowz,blow ത
police dress,പോലീസ് വസ്ത്രധാരണം
thal,താൽ
latai,മുകളിലേക്ക് വലിക്കുക
beer bottle,ബിയർ കുപ്പി
table lamp,മേശ വിളക്ക്
chari,നന്ദി
mic stand,മൈക്ക് സ്റ്റാൻഡ്
mic ka stand,മൈക്ക് നിൽക്കാൻ കഴിയും
darwaja,വാതിൽ
doorbin,ഡോർബിൻ
dhokla,ധോക്ല
cheer girl,സന്തോഷവതിയായ പെൺകുട്ടി
cheer wali ladki,സന്തോഷവതിയായ പെൺകുട്ടി
table-lamp,മേശ വിളക്ക്
taree,taree
metro station,മെട്രോ സ്റ്റേഷൻ
chudiye,മന്ത്രവാദികൾ
metro city,മെട്രോ സിറ്റി
indian stamp,ഇന്ത്യൻ സ്റ്റാമ്പ്
laguage,ലഗേജ്
suit case,സ്യൂട്ട് കേസ്
gaajar,കാരറ്റ്
batua,ഐക്യപ്പെട്ടു
Golf stick,ഗോൾഫ് സ്റ്റിക്ക്
Golf Ball Fitting,ഗോൾഫ് ബോൾ ഫിറ്റിംഗ്
sandwitch,സാൻഡ്‌വിച്ച്
atm card,atm കാർഡ്
whiskey glass,വിസ്കി ഗ്ലാസ്
coke glass,കോക്ക് ഗ്ലാസ്
rack,റാക്ക്
note pad,നോട്ട് പാഡ്
breif case,ബ്രീഫ്കേസ്
paper's,പേപ്പറിന്റെ
door mat,വാതിൽ പായ
gift box,സമ്മാന പെട്ടി
slipper's,സ്ലിപ്പേഴ്സ്
slotched,സ്ലോട്ട്
achambhit,ആശ്ചര്യപ്പെട്ടു
chuudi,ഗജെത്തെഎര്
baloon,ബലൂൺ
gubaare,ബലൂണുകൾ
baraf ka aadmi,സ്നോ മാൻ
tool,ഉപകരണം
chize,കാര്യങ്ങൾ
unth,ന്യൂജെറ്റ്
khusuh,പ്രത്യേക The
bichchu,തേൾ
flinstone,ഫ്ലിൻസ്റ്റോൺ
ndian suit,ndian സ്യൂട്ട്
airplane,വിമാനം
earrings,കമ്മലുകൾ
mens ethnic wear,പുരുഷ വംശീയ വസ്ത്രം
ehtnic wear,വംശീയ വസ്ത്രം
coconut trees,തെങ്ങിൻ മരങ്ങൾ
snow balls,സ്നോ ബോളുകൾ
baraf ka putla,മരവിപ്പിക്കുക
baraf ki gend,ഐസ് ബോൾ
chitrakala,പെയിന്റിംഗ്
water container,വാട്ടർ കണ്ടെയ്നർ
water dispencer,ജല വിതരണ സംവിധാനം
pani ka container,വാട്ടർ കണ്ടെയ്നർ
branch,ശാഖ
sanp,മാജിക്ക്
tehni,തെഹ്‌നി
yoga ke kapde,യോഗ വസ്ത്രങ്ങൾ
lipstick ke nishan,ലിപ്സ്റ്റിക്ക് അടയാളങ്ങൾ
degee,ഡെഗി
report card,റിപ്പോർട്ട് കാർഡ്
foot ball,കാൽ പന്ത്
parachute,പാരച്യൂട്ട്
pana,അപ്പ്
scoks,സോക്സ്
seductive,മോഹിപ്പിക്കുന്ന
tractor,ട്രാക്ടർ
inaam,ഇനമ്
chopsticks,ചോപ്സ്റ്റിക്കുകൾ
kators,കട്ടറുകൾ
knitting needles,തുന്നല് സൂചി
silaiyaan,പ്രതിമകൾ
oon,അത്
black board,കറുത്ത ബോർഡ്
kaksha,ക്ലാസ് റൂം
pathshala,സ്കൂൾ
podha,പ്ലാന്റ്
udass,സങ്കടം
raakhi,രാഖി
kaalin,റോൾ
poushak,പോഷ്കെ
maz,കുറച്ച്
shorta,ഷോർട്ട
mataki,ഘട്ടം
nehau jacket,നെഹ്രു ജാക്കറ്റ്
saikal,മോട്ടോർസൈക്കിൾ
taash ke patte,കാർഡുകൾ കളിക്കുന്നു
tea pot,ചായ കഴിയും
chai ka bartan,ടീ പോട്ട്
sheeghrata,വേഗപ്പെടുത്തുക
cristol ball,ക്രിസ്റ്റൽ ബോൾ
jaduyi gola,ജാദുയി ഗോൾ
payzama,പയ്ജ് ഗെയിം
dirty cloths,വൃത്തികെട്ട വസ്ത്രങ്ങൾ
ganda kapda,വൃത്തികെട്ട വസ്ത്രങ്ങൾ
kolkatta night riders dress,കൊൽക്കത്ത നൈറ്റ് റൈഡേഴ്സ് വസ്ത്രധാരണം
kolkatta night riders kapde,കൊൽക്കത്ത നൈറ്റ് റൈഡേഴ്സ്
paper fold,പേപ്പർ മടക്ക്
kagaj ka fold,പേപ്പർ മടക്കിക്കളയുക
kalai wali band,കൈത്തണ്ട അടയ്ക്കൽ
banddon,ബാൻഡൺ
ghadee,നിർമ്മിക്കുക
striker,സ്‌ട്രൈക്കർ
upahaar,സമ്മാനങ്ങൾ
slank,സ്ലിം
dimensions,അളവുകൾ
foodlove,ഫുഡ്‌ലോവ്
pahlawan,ഒരു നായകൻ
kekuatansuper,സൂപ്പർ പവർ
gatotkaca,gatotkaca
PutriBintang,പുത്രി ബിന്താങ്
pahlawansuper,സൂപ്പർ ഹീറോ
Caroq,ചരൊക്
celurit,അരിവാൾ
Gina,ഗിന
SriAsih,ശ്രീഅസിഹ്
Merpati,പ്രാവ്
Terbang,പറക്കുക
Gundala,ഗുണ്ടാല
Putra Petir,മിന്നലിന്റെ മകൻ
Panji Manusia Millenium,മില്ലേനിയം മനുഷ്യ പതാക
Panji,ഫ്ലാഗ് ചെയ്യുക
Millenium,മില്ലേനിയം
Wiro Sableng,വൈറോ സാബ്ലെംഗ്
Si Buta Dari Gua Hantu,ഗോസ്റ്റ് ഗുഹയിൽ നിന്നുള്ള അന്ധൻ
Kliwon,ക്ലിവോൺ
Saras 008,സരസ് 008
Saras,സാറ
nayak,നായക്
chuuha,ചുഹ
thulla,ദിൻ
kotwal,കോട്‌വാൾ
sipahi,പട്ടാളക്കാരൻ
x men,x പുരുഷന്മാർ
bus stop,ബസ് സ്റ്റോപ്പ്
santra,മന്ത്രം
loongi,ലുങ്കി
buscuit,അന്വേഷിച്ചു
jug,ജഗ്
ghadha,എന്നിട്ടും
pyaasa,ദാഹം
talwaar,വാൾ
rupaye,പണം
lawers coat,അഭിഭാഷകരുടെ അങ്കി
nashta,പ്രഭാതഭക്ഷണം
water dropes,വെള്ളം തുള്ളി
coffee ke glass,കോഫി കെ ഗ്ലാസ്
bottlle,കുപ്പി
chimkadar,ചിമ്പദാർ
ethnic punjabii dress,വംശീയ പഞ്ചാബി വസ്ത്രധാരണം
report,റിപ്പോർട്ട്
lotus throne,താമര സിംഹാസനം
dastnae,ശരി
titlee,ശീർഷകം
kepde,കെപ്ഡെ
swords,വാളുകൾ
hothoda,hothoda
gormint aunty,gormint aunty
buddiya,മനസ്സ്
fur coat,രോമക്കുപ്പായം
earring,കമ്മൽ
vidyalaya,സ്കൂൾ
urjayukt,എനർജി
pallete,പാലറ്റ്
joker costume,ജോക്കർ വേഷം
jocker ki poshakh,ജോക്കർ പോസ് ചെയ്യുന്നു
shark costume,സ്രാവ് വേഷം
collar,കുപ്പായക്കഴുത്ത്
coffee mchine,കാപ്പി നിർമിക്കുന്ന ഉപകരണം
water drops,വെള്ളം തുള്ളി
maharashtra map,മഹാരാഷ്ട്ര മാപ്പ്
strawberries,സ്ട്രോബെറി
janamdin ka cake,ജന്മദിന കേക്ക്
bhaloo wala toy,bhaloo wala കളിപ്പാട്ടം
magga,മഗ്ഗി
titliyan,ചിത്രശലഭങ്ങൾ
platter,തളിക
utencils,പാത്രങ്ങൾ
pizza box,പിസ്സ ബോക്സ്
ghantiyan,മണിനാദം
hathodha,ചുറ്റിക
pom pom,pom pom
cheer leader dress,ചിയർ ലീഡർ വസ്ത്രധാരണം
calculater,കാൽക്കുലേറ്റർ
skirts,പാവാട
lal patti,ചുവന്ന ബാർ
shyampat,ബ്ലാക്ക്ബോർഡ്
ganesha's idol,ഗണേശന്റെ വിഗ്രഹം
ganesha ki murti,ഗണപതിയുടെ എന്തൊരു വിഗ്രഹം
gym ball,ജിം ബോൾ
cappal,സ്ലിപ്പറുകൾ
surpised,ആശ്ചര്യപ്പെട്ടു
lagan,വെളിച്ചം
lightsaber,ലൈറ്റ്‌സെബർ
pant shoes,പാന്റ് ഷൂസ്
uunth,ആദ്യം
maxi,മാക്സി
egg,മുട്ട
randeer,റാൻഡീർ
hiran,റെയിൻഡിയർ
piggy bank,പിഗ്ഗി ബാങ്ക്
leghnaga,ഞാൻ കിടന്നു
paper boat,കടലാസു വഞ്ചി
graffiti,ഗ്രാഫിറ്റി
hedilarts,തലയിൽ
i card,i കാർഡ്
tota,എല്ലാം
ghaagra,ഘാഗ്ര
jacketl pants,ജാക്കറ്റ് പാന്റ്സ്
vinti,വോൺ
mud,ചെളി
paudha,പ്ലാന്റ്
chachi,ടീസ്പൂൺ
gadhi,കട്ടിയുള്ളത്
barbell,ബാർബെൽ
bhookhi,വിശക്കുന്നു
pakshi,പക്ഷി
one piece suit,ഒരു കഷണം സ്യൂട്ട്
sakwar,സക്വാർ
kaanch ka gola,ഗ്ലാസ് അല്ലെങ്കിൽ വൃത്താകൃതി
dungri,ഡുംഗ്രി
needles,സൂചികൾ
uun,വെറുതെ
momos,മോമോസ്
tiara,ടിയാര
mukut,കിരീടം
wallnut,വാൽനട്ട്
wallnut cracker,വാൽനട്ട് പടക്കം
akhrot,വാൽനട്ട്
acharya,ആചാര്യ
drappery,അലസമായ
jocker,ജോക്കർ
aqurious,അക്വേറിയസ്
kumbh,അക്വേറിയസ്
yshirt,ടി ഷർട്ട്
jaam,സ്റ്റേഷൻ
wonder woman dress,അത്ഭുതകരമായ സ്ത്രീ വസ്ത്രധാരണം
hathouda,ഭാഗ്യം
sugercane,കരിമ്പ്
boundary,അതിർത്തി
jali,വ്യാജം
tohfe,സമ്മാനങ്ങൾ
udaan,ഫ്ലൈറ്റ്
nunchucks,nunchucks
naaraz,ദേഷ്യം
long shoes,നീളമുള്ള ഷൂസ്
tombstone,കല്ലറ
qabr,qabr
fok,ഡിഗ്രി
dangari,ദുൻഗാരി
kaoade,ആശ്രയിക്കാവുന്ന
pecock,പെക്കോക്ക്
anggry,ദേഷ്യം
patoon,പതൊഒന്
siut,സിഉത്
ranbir sing,രൺ‌വീർ സിംഗ്
bless,അനുഗ്രഹിക്കണമേ
leafs,ഇലകൾ
chhichhora,ആഴം
chitra,ചിത്രം
aaspatal,ആശുപത്രി
choori,മോഷണം
cheer leader kapde,ചിയർ ലീഡർ വസ്ത്രങ്ങൾ
triagle,ത്രികോണം
trikone,ത്രികോണാകൃതി
lense,ലെൻസ്
dukandari,കടയുടമ
dancing ring,നൃത്ത മോതിരം
nachne wala chala,ഞങ്ങൾ സമാരംഭിക്കുന്നത് എളുപ്പമല്ല
uthshuk,ഉത്സുക്
chakna,ചക്ന
wiskey,വിസ്കി
chakhna,രുചിക്കൽ
rupya,രൂപ
jaar,വർഷങ്ങൾ
marble,മാർബിൾ
kancha,സർവേ
magdy logo,മാഗി ലോഗോ
magdy ka logo,magdy ka ലോഗോ
bikel,ഉച്ചകഴിഞ്ഞ്
ghara,ghara
petrol pump,പെട്രോൾ പമ്പ്
stop sign,അടയാളം നിർത്തുക
rukne ka sign,സിഗ്നൽ നിർത്തുക
kachuwa,പുളിപ്പിച്ച
andhra pradesh,ആന്ധ്രപ്രദേശ്
kamia,ഒന്നുമില്ല
Golf Ball,ഗോൾഫ് പന്ത്
mc donalds sandwich,mcdonalds സാൻഡ്വിച്ച്
fastfood,ഫാസ്റ്റ് ഫുഡ്
lather,പല്ല്
samaaan,സമം
couch dress,കിടക്ക വസ്ത്രധാരണം
dressing gown,ഡ്രസ്സിംഗ് ഗ own ൺ
bahar ka khana,സ്പ്രിംഗ് ഭക്ഷണം
master card,മാസ്റ്റർ കാർഡ്
joote joota,ഷൂസ് ഷൂസ്
sitare,നക്ഷത്രങ്ങൾ
sitaare,നക്ഷത്രങ്ങൾ
chai ka cup,ചായ് കാ കപ്പ്
jeanie,ജീനി
jin,സ്വർണം
deepak,deepak
sweatshirts,വിയർപ്പ് ഷർട്ടുകൾ
pehchaan patra,തിരിച്ചറിയൽ കാർഡ്
hankie,ഹാൻകി
burqa,ബുർഖ
gesture,ആംഗ്യം
ishara,ചിഹ്നം
shoawl,ഷോൾ
march,മാർച്ച്
morcha,ഫ്രണ്ട്
dinning table,ഊണുമേശ
bar stools,ബാർ സ്റ്റൂളുകൾ
ungliyaan,വിരലുകൾ
pears,പിയേഴ്സ്
guava,പേരക്ക
amrood,പേര
giant wheel,ഭീമൻ ചക്രം
jahaaj,കപ്പൽ
bhawan,ഭവൻ
zoota,സൂട്ട
stove,സ്റ്റ ove
been bag,ബാഗ് ആയിരുന്നു
book's,പുസ്തകത്തിന്റെ
dvd player,ഡിവിഡി പ്ലയർ
pumps,പമ്പുകൾ
cigarette buds,സിഗരറ്റ് മുകുളങ്ങൾ
kanta,ഗാനം
lip stick,ലിപ്സ്റ്റിക്ക്
aaeena,മിറർ
soft drink bottle,ശീതളപാനീയ കുപ്പി
finger gesture,വിരൽ ആംഗ്യം
traditional rajastan dress,പരമ്പരാഗത രാജസ്ഥാനി വസ്ത്രധാരണം
ghaghra choli,ഘാഗ്ര ചോളി
rajastani dress,രാജസ്ഥാനി വസ്ത്രധാരണം
oont,ഒട്ടകം
registaan,രെഗിസ്തഅന്
chashme,കണ്ണട
payment counter,പേയ്‌മെന്റ് ക .ണ്ടർ
grocery store,പലചരക്ക് കട
botttle,കുപ്പി
billing counter,ബില്ലിംഗ് ക .ണ്ടർ
navigtion,വഴികാട്ടി
pollows,തലയിണകൾ
wadapav,വടപവ്
winter dress,ശീതകാല വസ്ത്രധാരണം
junk food,ജങ്ക് ഫുഡ്
ziddi,നേരെ വിപരീതം
trouser,ട്ര ous സർ
budhdha,ബുദ്ധൻ
pitaji,അച്ഛൻ
black suit,കറുത്ത സ്യൂട്ട്
luggae,ലെഗ്
boxes,ബോക്സുകൾ
bakse,ബോക്സുകൾ
trusers,നീണ്ടകാല്ച്ചട്ട
little finger,ചെറു വിരല്
dialog box,ഡയലോഗ് ബോക്സ്
choti ungli,ചെറിയ വിരൽ
chuchi ungli,ടിറ്റ് ഫിംഗർ
tea garden,തേയിലത്തോട്ടം
tea estate,ടീ എസ്റ്റേറ്റ്
desi burger,ദേശി ബർഗർ
population,ജനസംഖ്യ
sawan,sawan
ostrich,ഒട്ടകപ്പക്ഷി
patha,വായിക്കുക
raft,റാഫ്റ്റ്
jasoos,ഡിറ്റക്ടീവ്
anil,അനിൽ
23erfg,23erfg
123ergb,123ergb
23ergbn,23ergbn
23erfgb,23erfgb
2w3ertghj,വിറയൽ
wertgyhj,വെർട്ട്ഗിജ്
slankers,slankers
slanker,മെലിഞ്ഞ
asf,asf
asfawf,വരികൾ
wfw,wfw
frg,ഫറാജ്
exiited,എക്സീതെദ്
alram,റാം
swetar,സ്വെറ്റർ
parakhnali,ടെസ്റ്റ് ട്യൂബ്
achool dress,സ്കൂൾ വസ്ത്രധാരണം
batti,പിതാമഹി
stereo,സ്റ്റീരിയോ
kamez,കമ്ജ
daungry,ശല്യം
sea horse,കടൽ കുതിര
samudri ghoda,കടൽ കുതിര
chasme,കണ്ണട
washing machine,അലക്കു യന്ത്രം
earing,സമ്പാദിക്കുന്നു
nail paint,നഖം പെയിന്റ്
chimini,ഇഡിയറ്റ്
gehene,പോയി
virgin mojito,കന്യക മോജിതോ
lemon,ചെറുനാരങ്ങ
nimbu,നാരങ്ങ
jhande,പതാക
Thor costume,തോർ വസ്ത്രധാരണം
thor ki paushak,തോറിന്റെ വസ്ത്രധാരണം
gale ka vastra,കഴുത്ത് വസ്ത്രം
khatre ka nishan,അപകട അടയാളം
khopdi,തലയോട്ടി
comic blast bubble,കോമിക്ക് സ്ഫോടന ബബിൾ
beer ka glass,ബിയർ കാ ഗ്ലാസ്
imaraten,കെട്ടിടങ്ങൾ
angy,angy
chunkna,തിരഞ്ഞെടുക്കാൻ
gold coins,സ്വർണ്ണ നാണയങ്ങൾ
sone ke sikke,സ്വർണ്ണ നാണയങ്ങൾ
nikaar,നിക്കാർ
goliyan,ബുള്ളറ്റുകൾ
kamar band,ബാൻഡ് റൂം
iron man costume,അയൺ മാൻ വസ്ത്രധാരണം
iron man ki poshak,അയൺ മാൻ വസ്ത്രധാരണം
book shelf,പുസ്തക ഷെൽഫ്
hawaijahaz,അവർ വരുന്നില്ല
watering can,നനവ് കഴിയും
landmark sign,ലാൻഡ്മാർക്ക് ചിഹ്നം
khaddiyon ka dhancha,മലയിടുക്ക് ഘടന
gajra,ഗജ്ര
agni,അഗ്നി
mendhak,കയറുക
saffron clothes,കുങ്കുമ വസ്ത്രങ്ങൾ
narangi kapde,ഓറഞ്ച് വസ്ത്രങ്ങൾ
almirah,അൽമിറ
almari,ക്ലോസറ്റ്
borad,ബോറാഡ്
nariyal,തേങ്ങ
chinti,ഉറുമ്പ്
saanp,പാമ്പ്
vegetable,പച്ചക്കറി
chemicals,രാസവസ്തുക്കൾ
bee,തേനീച്ച
makhi,മഖി
dungre,ദുന്ഗ്രെ
rupae,രൂപ
earthern pot,മൺപാത്രം
sugery dress,ശസ്ത്രക്രിയ വസ്ത്രധാരണം
dawakhana,ദവഖാന
haspatal,ആശുപത്രി
doctor dress,ഡോക്ടർ വസ്ത്രധാരണം
dawakana,കുതിരകൾ
hoodiee,തലമറ
inners,അകത്തെ
kurtha pijama,കുർത്ത പൈജാമ
mitai,ലൈക്ക്
cat woman,ക്യാറ്റ് വുമൺ
underware,അണ്ടർവെയർ
hoota,പുഷ്പം
hand shower,ഹാൻഡ് ഷവർ
jhootha,നുണയൻ
toopaki,കാൽവിരൽ നഖം
jootha red,ചൂടുള്ള ചുവപ്പ്
