bobble,ବବଲ୍ |
best friend,ସବୁଠାରୁ ଭଲ ବନ୍ଧୁ
rain,ବର୍ଷା
barish,ବର୍ଷା
wet,ଓଦା
skate board,ସ୍କେଟ୍ ବୋର୍ଡ |
kite,କିଟ୍
patang,କିଟ୍
playing,ଖେଳିବା
maza,କଣ
jump,ଡେଇଁପଡ |
khel,ଖେଳ
hurray,ହୁରେ
wow,ବାହା
OMG,ହେ ପ୍ରଭୁ
school,ବିଦ୍ୟାଳୟ
uniform,ୟୁନିଫର୍ମ
bag,ବ୍ୟାଗ୍
study,ଅଧ୍ୟୟନ |
student,ଛାତ୍ର
padhai,ଅଧ୍ୟୟନ |
party,ପାର୍ଟୀ
beach,ବେଳାଭୂମି
cool,ଥଣ୍ଡା
swim,ପହଁରିବା
pool,ପୁଲ୍
float,ଭାସମାନ |
swimming,ପହଁରିବା |
ride,ରଥଯାତ୍ରା |
race,ଜାତି
hurry,ଜଲ୍ଦି
coming,ଆସୁଛି
scooter,ସ୍କୁଟର
wait,ଅପେକ୍ଷା କର |
umbrella,ଛତା
rainy day,ବର୍ଷା ଦିନ
reading,ପ reading ିବା
books,ପୁସ୍ତକ
book,ପୁସ୍ତକ
read,ପ read ଼ନ୍ତୁ |
enjoy,ଉପଭୋଗ କର |
paper,କାଗଜ
boat,ଡଙ୍ଗା
office,କାର୍ଯ୍ୟାଳୟ
super trump,ସୁପର ଟ୍ରମ୍ପ
donald trump,ଡୋନାଲ୍ଡ ଟ୍ରମ୍ପ |
wig,ୱିଗ୍
orange hair,କମଳା କେଶ |
yellow hair,ହଳଦିଆ କେଶ
usa,usa
u.s.a,u.s.a
politicians,ରାଜନେତା
politics,ରାଜନୀତି
hair styles,କେଶ ଶ yles ଳୀ
hair drier,ହେୟାର ଡ୍ରାୟର୍ |
president,ରାଷ୍ଟ୍ରପତି
the states,ରାଜ୍ୟଗୁଡିକ |
politician,ରାଜନେତା
american elections,ଆମେରିକୀୟ ନିର୍ବାଚନ |
elections,ନିର୍ବାଚନ
campaign,ଅଭିଯାନ |
american elections 2016,ଆମେରିକୀୟ ନିର୍ବାଚନ 2016
greatest,ସର୍ବଶ୍ରେଷ୍ଠ
orange,କମଳା |
trump,ତୂରୀ
US,US
campaigns,ଅଭିଯାନଗୁଡିକ |
funny,ମଜାଳିଆ
hair,କେଶ
yellow,ହଳଦିଆ
honest,ସଚ୍ଚୋଟ
honesty,ସଚ୍ଚୋଟତା
honest politicians,ସଚ୍ଚୋଟ ରାଜନେତା |
america,ଆମେରିକୀୟ
leader,ନେତା
people,ଲୋକମାନେ
confident,ଆତ୍ମବିଶ୍ୱାସୀ |
support,ସମର୍ଥନ
political party,ରାଜନୈତିକ ଦଳ
selfie,ସେଲଫି
trumpfie,ତୂରୀ
picture,ଛବି
photo,ଫଟୋ
camera,କ୍ୟାମେରା
donald trump hair,ଡୋନାଲ୍ଡ ଟ୍ରମ୍ପ କେଶ |
trump hair,ଟ୍ରମ୍ପ କେଶ
silk,ରେଶମ
silky,ରେଶମୀ
silky hair,ରେଶମୀ କେଶ
dresser,ଡ୍ରେସର
hair style,କେଶ ଶ style ଳୀ
hair dresser,ହେୟାର ଡ୍ରେସର
super hero trump,ସୁପର ହିରୋ ଟ୍ରମ୍ପ |
i am trump,ମୁଁ ତୂରୀ
i,i
am,ମୁଁ
american politics,ଆମେରିକୀୟ ରାଜନୀତି
american election 2016,ଆମେରିକୀୟ ନିର୍ବାଚନ 2016
rockstar,ରକଷ୍ଟାର୍ |
americans,ଆମେରିକୀୟମାନେ
america elections 2016,ଆମେରିକୀୟ ନିର୍ବାଚନ 2016
tomorrow,ଆସନ୍ତାକାଲି
lazy,ଅଳସୁଆ
tired,କ୍ଳାନ୍ତ
laidback,ପଡି ରହିବା କିମ୍ବା ସାନ୍ତ
laze,ଅଳସୁଆ |
procrastination,ବିଳମ୍ବ
procrastinate,ବିଳମ୍ବ
delay,ବିଳମ୍ବ
morning,ସକାଳ
work day,କାର୍ଯ୍ୟ ଦିବସ |
weekend,ସପ୍ତାହାନ୍ତ
off,ବନ୍ଦ
weekends,ସପ୍ତାହ ଶେଷ
holidays,ଛୁଟିଦିନ
no,ନା
bath,ସ୍ନାନ
sunday,ରବିବାର
weekend holiday,ସପ୍ତାହ ଶେଷ ଛୁଟି |
weekend off,ସପ୍ତାହ ଶେଷ
weekend trip,ସପ୍ତାହ ଶେଷ ଯାତ୍ରା
wash,ଧୋଇ ଦିଅ |
home,ଘର
clothes,ପୋଷାକ
pyjamas,ପାଇଜାମା
lazy sunday,ଅଳସୁଆ ରବିବାର |
best,ସର୍ବୋତ୍ତମ
offs,ଅଫ୍
pyjama party,ପାଇଜାମା ପାର୍ଟି
unwind,ଖୋଲନ୍ତୁ |
relaxing,ଆରାମଦାୟକ
busy,ବ୍ୟସ୍ତ
hibernation,ହାଇବରନେସନ୍ |
sofa,ସୋଫା
couch,ବିଛଣା
couch potato,ଅଳସୁଆ
silence,ନୀରବତା |
sleeping,ଶୋଇବା
lazing,ଅଳସୁଆ |
unwinding,ଅନାବଶ୍ୟକ |
today,ଆଜି
nothing,କିଛି ନୁହେଁ
doing,କରିବା
relax,ଆରାମ କର
chilling,ଥଣ୍ଡା
lazy ass,ଅଳସୁଆ ଗଧ |
chill,ଥଣ୍ଡା
no work,କ work ଣସି କାମ ନାହିଁ
holiday,ଛୁଟିଦିନ |
sundays,ରବିବାର
vacation,ଛୁଟି
lazy bum,ଅଳସୁଆ
eat,ଖାଅ
sleep,ଶୋଇବା
repeat,ପୁନରାବୃତ୍ତି କର |
resting,ବିଶ୍ରାମ
glutton,ଗ୍ଲୁଟନ୍ |
eating,ଖାଇବା
hungry,ଭୋକିଲା
foodie,ଖାଦ୍ୟ
good morning,ଶୁଭ ସକାଳ
sunrise,ସୂର୍ଯ୍ୟୋଦୟ
woke,ଜାଗ୍ରତ
awake,ଜାଗ୍ରତ
up,ଅପ୍
rise up,ଉଠ
day,ଦିନ
in bed,ଶଯ୍ୟାରେ
bed,ଶଯ୍ୟା
sleepy,ନିଦ୍ରା
woke up,ଜାଗ୍ରତ ହେଲି
useless,ଅଦରକାରୀ |
vacations,ଛୁଟି
saturday,ଶନିବାର
week off,ସପ୍ତାହ ଛୁଟି
idle,ନିଷ୍କ୍ରିୟ
pizza,ପିଜା
pancakes,ପାନକେକ୍ |
food,ଖାଦ୍ୟ
food items,ଖାଦ୍ୟ ସାମଗ୍ରୀ
indulgence,ଭୋକ
weekend indulgence,ସପ୍ତାହ ଶେଷ
rajnikanth,ରଜନୀକାନ୍ତ |
rajnikant,ରଜନୀକାନ୍ତ
thalaiva,Portico
south indian cinema,ଦକ୍ଷିଣ ଭାରତୀୟ ସିନେମା |
tamil actor,tamil ଅଭିନେତା |
tamil movies,tamil ଚଳଚ୍ଚିତ୍ର |
movies,ଚଳଚ୍ଚିତ୍ର
south indian,ଦକ୍ଷିଣ ଭାରତୀୟ
south indian actor,ଦକ୍ଷିଣ ଭାରତୀୟ ଅଭିନେତା |
movie dialogues,ଚଳଚ୍ଚିତ୍ର ସଂଳାପ
understand,ବୁ understand
better,ଭଲ
style,ଶ style ଳୀ
cant,କ୍ୟାଣ୍ଟ
stop,ବନ୍ଦ କର |
stop me,ମୋତେ ବନ୍ଦ କର
south indian movies,ଦକ୍ଷିଣ ଭାରତୀୟ ଚଳଚ୍ଚିତ୍ର |
play,ଖେଳ
ball,ବଲ୍
action,କାର୍ଯ୍ୟ
drama,ନାଟକ
kon,କରିପାରନ୍ତି |
kaun,କିଏ
who,କିଏ
rok,ବର୍ଷ
aaram,ବାକିଗୁଡିକ
time,ସମୟ
rest,ବିଶ୍ରାମ
south indian dialogues,ଦକ୍ଷିଣ ଭାରତୀୟ ସଂଳାପ |
south india,ଦକ୍ଷିଣ ଭାରତ
bullet,ବୁଲେଟ୍
goli,ବଟିକା
fast,ଦ୍ରୁତ
tez,theses
anna,ଆନ୍ନା |
sotuh india,ଦକ୍ଷିଣ ଭାରତ
fastest,ଦ୍ରୁତତମ
faster,ଶୀଘ୍ର
rajnikanth jokes,ରଜନୀକାନ୍ତ ଥଟ୍ଟା |
yanna rascala,yanna rascala
rascala,rascala
actor,ଅଭିନେତା
indian actor,ଭାରତୀୟ ଅଭିନେତା
lungi,ଲମ୍ବାକରିବା
master,ଗୁରୁ
lungi master,ଲୁଙ୍ଗି ମାଷ୍ଟର |
rajni,ରାଜନେତା
lungi dance,ଲୁଙ୍ଗି ନୃତ୍ୟ |
chalbaaz,କ ick ଶଳ |
movie dialog,ଚଳଚ୍ଚିତ୍ର ସଂଳାପ
liquor,ମଦ
booze,ବୁଜ୍
drinking,ପିଇବା
drunk,ମଦ୍ୟପ
indian movies,ଭାରତୀୟ ଚଳଚ୍ଚିତ୍ର
rajnikanth dialogues,ରଜନୀକାନ୍ତ ସଂଳାପ |
dialogues,ସଂଳାପ
chamak,ଜ୍ୟୋତି |
shine,ଉଜ୍ଜ୍ୱଳ
twenty twenty,କୋଡ଼ିଏ କୋଡ଼ିଏ
sachin,ସାଚିନ୍ |
batting,ବ୍ୟାଟିଂ
bowling,ବୋଲିଂ
indian cricket team,ଭାରତୀୟ କ୍ରିକେଟ୍ ଦଳ |
indian cricket,ଭାରତୀୟ କ୍ରିକେଟ୍
cricket world cup,କ୍ରିକେଟ୍ ବିଶ୍ୱକପ୍ |
cricketer,କ୍ରିକେଟର
sports,କ୍ରୀଡା
cricket fans,କ୍ରିକେଟ୍ ପ୍ରଶଂସକ |
fan,ପ୍ରଶଂସକ |
bat,ବ୍ୟାଟ୍
bowl,ପାତ୍ର
india,ଭାରତ
you,ତୁମେ
balls,ବଲ୍
cricket,କ୍ରିକେଟ୍
indian cricketers,ଭାରତୀୟ କ୍ରିକେଟର
batsman,ବ୍ୟାଟ୍ସମ୍ୟାନ୍
bowler,ବୋଲର
injury,କ୍ଷତ
bowled,ବୋଲିଂ
match,ମ୍ୟାଚ୍
catch,ଧର
out,ବାହାରେ
run out,ସରିଯିବା
cricket match,କ୍ରିକେଟ୍ ମ୍ୟାଚ୍
hit,ହିଟ୍
maar,କିନ୍ତୁ
punch,ପିଚ୍ |
howzzat,howzzat
indian cricketer,ଭାରତୀୟ କ୍ରିକେଟର
that,ତାହା
six,ଛଅ
sixer,Sixes
shot,ଗୁଳି
clap,କରତାଳି ଦିଅ
what,କଣ
dont,କରନ୍ତୁ ନାହିଁ
be,ହୁଅ
duck,ବତକ
bend,ବଙ୍କା
low,ନିମ୍ନ
sachin tendulkar,ସାଚିନ୍ ଟେଣ୍ଡୁଲକର |
tendulkar,tendulkar
god,ଭଗବାନ
god of cricket,କ୍ରିକେଟ୍ ର ଦେବତା |
indian cricket match,ଭାରତୀୟ କ୍ରିକେଟ୍ ମ୍ୟାଚ୍ |
century,ଶତାବ୍ଦୀ
match night,ମ୍ୟାଚ୍ ରାତି
sports injury,କ୍ରୀଡା ଆଘାତ |
cricket kit,କ୍ରିକେଟ୍ କିଟ୍
match score,ମ୍ୟାଚ୍ ସ୍କୋର |
score,ସ୍କୋର
win,ଜିତନ୍ତୁ |
lost,ହଜିଯାଇଛି |
victory,ବିଜୟ
bata,ପିଲା
video,ଭିଡିଓ
online,ଅନଲାଇନ୍ |
cricket fan,କ୍ରିକେଟ୍ ପ୍ରଶଂସକ |
player,ପ୍ଲେୟାର
third,ତୃତୀୟ
3rd,ଦେଖାନ୍ତୁ |
umpire,ଅମ୍ପାୟାର
referee,ରେଫରି
indian team,ଭାରତୀୟ ଦଳ
indian player,ଭାରତୀୟ ଖେଳାଳି |
12th,ଦ୍ୱାଦଶ
man,ମଣିଷ
twelveth,ଦ୍ୱାଦଶ
indian crickter,ଭାରତୀୟ କ୍ରିକେଟର
saale,ସାଲେ
smooth,ଚିକ୍କଣ |
delivery,ବିତରଣ
commentary,ମନ୍ତବ୍ୟ
cricket commentary,କ୍ରିକେଟ୍ ମନ୍ତବ୍ୟ
strike,ଧର୍ମଘଟ
cheerleader,ଖୁସି
cheer,ଖୁସି କର |
match fixing,ମ୍ୟାଚ୍ ଫିକ୍ସିଂ |
fixing,ଫିକ୍ସିଂ
bik,ବେକ୍ |
tu,ତୁମେ
cricket team,କ୍ରିକେଟ୍ ଦଳ
can,କରିପାରିବେ |
drive,ଡ୍ରାଇଭ୍
players,ଖେଳାଳି
full,ପୂର୍ଣ୍ଣ
toss,ଟସ୍
full toss,ପୁରା ଟସ୍ |
pitch,ପିଚ୍
bounce,ବାଉନ୍ସ
ek,ଗୋଟିଏ |
one,ଗୋଟିଏ |
bouncer,ବାଉନ୍ସର୍
do,କର
not,ନୁହେଁ
afraid,ଭୟ
scared,ଭୟଭିତ
hero,ହିରୋ
super hero,ସୁପର ହିରୋ |
powerpuff girls,ପାୱାରପଫ୍ girls ିଅମାନେ |
powerpuff,ପାୱାରପଫ୍ |
girls,girls ିଅମାନେ
power,ଶକ୍ତି
daring,ସାହସ
strong,ଶକ୍ତିଶାଳୀ
bold,ବୋଲ୍ଡ
fighter woman,ଯୁଦ୍ଧ ମହିଳା
fighter,ଯୁଦ୍ଧବିମାନ |
here,ଏଠାରେ |
I am,ମୁଁ ଅଟେ
cartoon network,କାର୍ଟୁନ୍ ନେଟୱାର୍କ |
cartoon,କାର୍ଟୁନ୍
professor,ପ୍ରଫେସର
ehh,ଏହ
whats up,କଣ ଚାଲିଛି
sup,sup
doc,ଡକ
doctor,ଡାକ୍ତର
bugs bunny,ବଗ୍ ବନି |
rabbit,ଠେକୁଆ
carrot,ଗାଜର
annoying,ବିରକ୍ତିକର
cartoons,କାର୍ଟୁନ୍
cartooon network,କାର୍ଟୁନ୍ ନେଟୱାର୍କ |
bunny,ବନି
cute,ସୁନ୍ଦର
hey,ହେ
hi,ନମସ୍କାର
the,େଯମାେନ
is,ହେଉଛି
yours,ତୁମର
captain planet,ଅଧିନାୟକ ଗ୍ରହ |
planet,ଗ୍ରହ
captain,ଅଧିନାୟକ
brave,ସାହାସୀ
empowering,ସଶକ୍ତିକରଣ
will,ଇଚ୍ଛା
hunt,ଶିକାର
down,ତଳକୁ
hunter,ଶିକାରୀ
road runner,ରାସ୍ତା ରନର୍
The Road Runner,ରୋଡ୍ ରନର୍ |
The Coyote,କୋୟୋଟ୍
looney toons,ଲୁନି ଟୁନ୍ |
toons,ଟୁନ୍
animal instincts,ପଶୁ ପ୍ରବୃତ୍ତି |
beep beep,ବିପ୍ ବିପ୍ |
acme,acme
pretty,ସୁନ୍ଦର
are,ହେଉଛି |
I m,ମୁଁ ମି
johnny,johnny
johnny bravo,ଜୋନି ବ୍ରାଭୋ |
bravo,bravo
dude,ଖୁଡୀ |
sexy,ସେକ୍ସି |
mojo jojo,mojo jojo
villain,ଭିଲେନ୍
evil,ମନ୍ଦ
wicked,ଦୁଷ୍ଟ
bad,ଖରାପ
baddie,ବାଡି
cruel,ନିଷ୍ଠୁର
cruel intentions,ନିଷ୍ଠୁର ଉଦ୍ଦେଶ୍ୟ |
bff,bff
forever,ସବୁଦିନ ପାଇଁ
life,ଜୀବନ
ed edd and eddy,ed edd ଏବଂ eddy
ed,ed
edd,edd
eddy,ଏଡି
bestie,ପଶୁ
log,ଲଗ୍
imaginary,କଳ୍ପନା
imaginary friend,କଳ୍ପିତ ବନ୍ଧୁ |
plank,ପଟା
aww,aww
moment,ମୁହୂର୍ତ୍ତ
great,ବହୁତ ଭଲ
childhood,ପିଲାଦିନ
ruined,ନଷ୍ଟ
cats,ବିଲେଇମାନେ
swat cats,swat kats
roll,ଗାଡ଼ି
bahadur bille,ସାହସୀ ବିଲେଇମାନେ
swat,ସ୍ at ାଟ
swat kats,swat kats
bade miyan,ବଡ ମିଆନ୍ |
chote miyan,ଛୋଟ ମିଆନ୍
fighters,ଯୁଦ୍ଧବିମାନ |
best friends,ସବୁଠୁ ଭଲ ସାଙ୍ଗ
The Radical Squadron,ରେଡିକାଲ୍ ସ୍କ୍ ron ାଡ୍ରନ୍ |
BADE MEOW,BADE MEOW |
CHOTE,ଛୋଟ
MEOW,ମିଆଉଁ
cartoon shows,କାର୍ଟୁନ୍ ଶୋ |
children,ପିଲାମାନେ
catch you,ତୁମକୁ ଧର
tom,ଟମ୍
jerry,ଜେରୀ
tom and jerry,ଟମ୍ ଏବଂ ଜେରୀ |
cat,ବିଲେଇ
mouse,ମାଉସ୍
wanna,ଚାହେଁ
cartoon character,କାର୍ଟୁନ୍ ଚରିତ୍ର |
the addams family,ଆଡମସ୍ ପରିବାର |
wednesday,ବୁଧବାର
girl,girl ିଅ
knock,ନକ୍
jetsons,ଜେଟସନ୍ |
the jetsons,ଜେଟସନ୍ |
jane,ଜାନେ |
george,ଜର୍ଜ
laugh,ହସିବା
haha,ହାହା
dexter,ଡେକ୍ସଟର୍ |
dexters laboratory,ଡେକ୍ସଟର୍ସ ଲାବୋରେଟୋରୀ |
network,ନେଟୱର୍କ
deedee,ଦେଡି
scientist,ବୈଜ୍ଞାନିକ
lab,ଲ୍ୟାବ
mayor,ମେୟର
secretary,ସଚିବ
sexy secretary,ସେକ୍ସି ସେକ୍ରେଟାରୀ
Ms Sara Bellum,Ms ସାରା ଯୁଦ୍ଧ
sara bellum,Sara ଯୁଦ୍ଧ
the powerpuff  girls,ପାୱାରପଫ୍ girls ିଅମାନେ |
Townsville,ଟାଉନ୍ସଭିଲ୍ |
red hair,ନାଲି କେଶ |
dress,ପୋଷାକ
red,ନାଲି
heels,ହିଲ୍
hot,ଗରମ
bear,ଭାଲୁ
smarter,ଚତୁର
average,ହାରାହାରି
fat,ଚର୍ବି |
smart,ସ୍ମାର୍ଟ
THE YOGI BEAR,ଯୋଗୀ ଭାଲୁ |
THE YOGI BEAR SHOW,ଯୋଗୀ ଶୋ ’|
wise,ଜ୍ଞାନୀ
intelligent,ବୁଦ୍ଧିମାନ
we,ଆମେ
kid,ପିଲା
sharing,ଅଂଶୀଦାର
share,ଅଂଶୀଦାର
alvin and the chipmunks,ଆଲଭିନ୍ ଏବଂ ଚିପମୁଙ୍କ୍ |
alvin,ଆଲଭିନ୍
chipmunks,ଚିପମୁଙ୍କ
Simon,ସାଇମନ୍ |
Theodore,ଥିଓଡୋର |
prize,ପୁରସ୍କାର
yes,ହଁ
yeah,ହଁ
all right,ଠିକ୍ ଅଛି
alright,ଠିକ ଅଛି
boss,ମାଲିକ
sir,ସାର୍
servant,ଚାକର
maid,ଚାକରାଣୀ
richie rich,ଧନୀ ଧନୀ
Irona the Robot Maid,ଇରୋନା ରୋବଟ୍ ଚାକରାଣୀ |
robot,ରୋବଟ୍ |
irona,ଇରୋନା |
Mrs Rich,ଶ୍ରୀମତୀ ଧନୀ
ok,ଠିକ୍ ଅଛି
Sarabhai VS Sarabhai,ସାରଭାଇ ଭି.ଏସ୍ ସାରଭାଇ |
rosesh,ରୋଜେଶ
sarabhai,ସାରଭାଇ |
moma,ମୋମା
momma,ମାମା
mamas boy,ମାମା ବାଳକ
car,କାର
boy,ପୁଅ
Einstein,ଆଇନଷ୍ଟାଇନ
biwi,ପତ୍ନୀ
wife,ପତ୍ନୀ
brain,ମସ୍ତିଷ୍କ
stupid,ବୋକା
big cars,ବଡ କାର୍ |
lol,lol
poetry,କବିତା
roshes poetry,କବିତା
gaadi,କାର୍
dimag,ମସ୍ତିଷ୍କ
idiot,ମୂର୍ଖ
lame,ଛୋଟା
lame poetry,ଛୋଟା କବିତା
wine,ମଦ
whiskey,ଭିସ୍କି
champagne,ଚାମ୍ପେନ୍
drinks,ପାନୀୟ
drink,ପିଅ
offering drinks,ପାନୀୟ ପ୍ରଦାନ
cheers,ଖୁସି
alcohol,ମଦ୍ୟପାନ
sitcom,sitcom
indian sitcom,ଇଣ୍ଡିଆନ୍ ସାଇଟ୍କମ୍ |
middle class,ମଧ୍ୟବିତ୍ତ
ls,ls
highclass,ହାଇକ୍ଲାସ୍ |
maya,ମାୟା
maya sarabhai,ମାୟା ସାରାବାଇ |
mind,ମନ
making,ତିଆରି କରିବା |
point,ବିନ୍ଦୁ
vs,ବନାମ
sitcoms,ସାଇଟ୍କମ୍ |
indian sitcoms,ଇଣ୍ଡିଆନ୍ ସାଇଟ୍କମ୍ |
argument,ଯୁକ୍ତି
arguing,ଯୁକ୍ତିତର୍କ
haunsla,ସାହସ
sweety,ମିଠା
monisha,ମନୀଷା
hope,ଆଶା
dont lose,ହରାନ୍ତୁ ନାହିଁ
lose,ହାରିଯାଅ |
proud,ଗର୍ବିତ
monisha sarabhai,ମୋନିଶା ସରଭାଇ |
poison,ବିଷ
milk,କ୍ଷୀର
acting,ଅଭିନୟ
overacting,ଅତ୍ୟଧିକ କାର୍ଯ୍ୟ
woman,ମହିଳା
indian woman,ଭାରତୀୟ ମହିଳା
comedy shows,କମେଡି ଶୋ |
comedy,କମେଡି
indian comedy shows,ଇଣ୍ଡିଆନ୍ କମେଡି ଶୋ |
doodh,doodh
swear,ଶପଥ କର
indian comedy,ଇଣ୍ଡିଆନ୍ କମେଡି
promise,ପ୍ରତିଜ୍ଞା
jaljeera,jaljeera
celebration,ଉତ୍ସବ
housewife,ଗୃହିଣୀ
aroma,ସୁଗନ୍ଧ
rosesh sarabhai,ରୋଜେଶ ସରଭାଇ |
happiness,ଖୁସି
show,ଦେଖାନ୍ତୁ |
indian shows,ଇଣ୍ଡିଆନ୍ ସୋ
happy dance,ଖୁସି ନୃତ୍ୟ
mummy,ମମି
purse,ପର୍ସ
hospital,ଡାକ୍ତରଖାନା
sweet,ମିଠା
nurse,ସେବିକା
flattering,ଚାଟୁକାର
impress,ଇମ୍ପ୍ରେସ୍
patient,ରୋଗୀ
mom,ମା
mother,ମା
mommas boy,ମାମା ବାଳକ
lmao,lmao
jelly,ଜେଲି
roseshs poetry,ରୋଜେସ୍ କବିତା |
son,ପୁଅ
doting,ଡଟିଂ
dote,େଯୗତୁକ
pigeons,କପୋତ
birds,ପକ୍ଷୀମାନେ
pigeon,କପୋତ
writings,ଲେଖା
writing,ଲେଖିବା
so,ତେଣୁ
class,ଶ୍ରେଣୀ
middle,ମଧ୍ୟମ
high class,ଉଚ୍ଚ ଶ୍ରେଣୀ
showoff,ଦେଖେଇ ହବା
broke,ଭାଙ୍ଗିଗଲା |
money,ଟଙ୍କା
rupees,ଟଙ୍କା
cash,ନଗଦ
card,କାର୍ଡ
credit card,କ୍ରେଡିଟ୍ କାର୍ଡ଼
miser,ଦୁ iser ଖ
scrooge,scrooge
low on cash,ନଗଦ ଉପରେ କମ୍ |
wallet,ୱାଲେଟ୍
no money,ପଇସା ନାହିଁ
no salary,ଦରମା ନାହିଁ
salary,ଦରମା
balance,ସନ୍ତୁଳନ
low balance,କମ୍ ସନ୍ତୁଳନ
no cash,ନଗଦ ନାହିଁ
phone call,ଫୋନ୍ କଲ
mobile phone,ମୋବାଇଲ ଫୋନ
forgot,ଭୁଲିଗଲେ
brothers,ଭାଇମାନେ
dead,ମୃତ
bhai,ଭୋଇ |
buddy,ସାଙ୍ଗ
bud,ଗୁଣ୍ଡ
bro,ଭାଇ
t shirt,ଟି ସାର୍ଟ |
shirt,ସାର୍ଟ
tee,ଟି
t,t
brother,ଭାଇ
borrow,orrow ଣ
loan,ଋଣ
owe,we ଣୀ
bill,ବିଲ୍
check,ଯାଞ୍ଚ କରନ୍ତୁ |
no balance,କ balance ଣସି ସନ୍ତୁଳନ ନାହିଁ |
pay,ଦେୟ
restaurant,ରେଷ୍ଟୁରାଣ୍ଟ |
bro brother,ଭାଇ ଭାଇ
extra,ଅତିରିକ୍ତ
ask,ପଚାର |
snack,ସ୍ନାକ୍ସ
snacking,ସ୍ନାକିଂ
bhel,BHEL
more,ଅଧିକ
munching,ମୁଞ୍ଚିଂ
hogging,ଆଲିଙ୍ଗନ
snacks,ସ୍ନାକ୍ସ
note,ଧ୍ୟାନ ଦିଅନ୍ତୁ
girls night,girls ିଅମାନେ ରାତି
girls night out,girls ିଅମାନେ ରାତି ବାହାରେ |
ladies night,ମହିଳାମାନେ ରାତି
broke girls,girls ିଅମାନଙ୍କୁ ଭାଙ୍ଗିଦେଲା |
clubbing,କ୍ଲବ୍ କରିବା |
club,କ୍ଲବ୍
tonight,ଆଜି ରାତି
lets party,ପାର୍ଟୀ କରିବାକୁ ଦିଅ |
dancing,ନାଚ
women,ମହିଳାମାନେ
thursday,ଗୁରୁବାର
birthday,ଜନ୍ମଦିନ
gift,ଉପହାର
present,ଉପସ୍ଥିତ
birthday gift,ଜନ୍ମଦିନ ଉପହାର
birthday party,ଜନ୍ମ ଦିନ ଭୋଜି
kanjoos,କଳଙ୍କିତ |
asking,ପଚାରୁଛି
birthday present,ଜନ୍ମଦିନ ଉପହାର
shopping,ସପିଂ
shop,ଦୋକାନ
cell phone,ମୋବାଇଲ୍ ଫୋନ୍
urgent call,ଜରୁରୀ କଲ୍
no battery,କ battery ଣସି ବ୍ୟାଟେରୀ ନାହିଁ |
dead phone,ମୃତ ଫୋନ୍ |
make,ତିଆରି କର |
scoorge,scrooge
yaar,କିଏ
bruh,bruh
chai,ଛିଣ୍ଡାଇ ଦିଅ |
tea,ଚା
masala tea,ମସାଲା ଚା
kadak chai,କଠୋର ଚା
cutting chai,ଚା ଅମଳ କରନ୍ତୁ |
treat,ଚିକିତ୍ସା କର |
hangout,ସମୟ ବିତାଇବା
tea shop,ଚା ଦୋକାନ
tea stall,ଚା ଷ୍ଟଲ୍ |
guys,ପିଲାମାନେ
guy,ଲୋକ
Demonetisation,Demonetisation
car pool,କାର୍ ପୁଲ୍
cab pool,କ୍ୟାବ ପୁଲ୍
