bobble,ધક્કો મારવો
catch you,તમે પકડી
tom,ટોમ
jerry,જેરી
tom and jerry,ટોમ અને જેરી
cat,બિલાડી
mouse,માઉસ
wanna,જોઈએ છે
cartoon character,કાર્ટૂન પાત્ર
the addams family,એડમ્સ કુટુંબ
wednesday,બુધવાર
girl,છોકરી
knock,કઠણ
jetsons,જેટટ્સન
the jetsons,જેટ્સન
jane,જેન
george,જ્યોર્જ
laugh,હસવું
haha,હાહા
dexter,ડેક્સટર
dexters laboratory,ડેક્સ્ટર્સ લેબોરેટરી
network,નેટવર્ક
deedee,ડીડી
scientist,વૈજ્ઞાનિક
lab,લેબ
mayor,મેયર
secretary,સેક્રેટરી
sexy secretary,સેક્સી સેક્રેટરી
Ms Sara Bellum,Ms સારાહ WAR
sara bellum,સારા યુદ્ધ
the powerpuff  girls,પાવરપફ છોકરીઓ
Townsville,ટાઉન્સવિલે
red hair,લાલ વાળ
dress,ડ્રેસ
red,લાલ
heels,રાહ
hot,ગરમ
bear,રીંછ
smarter,સ્માર્ટ
average,સરેરાશ
fat,ચરબી
smart,સ્માર્ટ
THE YOGI BEAR,યોગી રીંછ
THE YOGI BEAR SHOW,યોગી રીંછ બતાવો
wise,મુજબની
intelligent,બુદ્ધિશાળી
we,અમે
kid,બાળક
sharing,શેરિંગ
share,શેર કરો
alvin and the chipmunks,એલ્વિન અને ચિપમંક્સ
alvin,એલ્વિન
chipmunks,ચિપમન્ક્સ
Simon,સિમોન
Theodore,થિયોડોર
prize,ઇનામ
yes,હા
yeah,હા
all right,બરાબર
alright,ઠીક છે
boss,બોસ
sir,સર
servant,નોકર
maid,નોકરડી
richie rich,શ્રીમંત શ્રીમંત
Irona the Robot Maid,આયરોના રોબોટ મેઇડ
robot,રોબોટ
irona,લોખંડ
Mrs Rich,શ્રીમતી શ્રીમંત
ok,બરાબર
Sarabhai VS Sarabhai,સારાભાઇ વી.એસ. સારાભાઇ
rosesh,ગુલાબ
sarabhai,સારાભાઈ
moma,મોમા
momma,મમ્મી
mamas boy,મામા છોકરો
car,કાર
boy,છોકરો
Einstein,આઈન્સ્ટાઈન
biwi,પત્ની
wife,પત્ની
brain,મગજ
stupid,મૂર્ખ
big cars,મોટી કાર
lol,હા હા હા
poetry,કવિતા
roshes poetry,roshes કવિતા
gaadi,કાર
dimag,મગજ
idiot,મૂર્ખ
lame,લંગડા
lame poetry,લંગડા કવિતા
wine,વાઇન
whiskey,વ્હિસ્કી
champagne,શેમ્પેન
drinks,પીણાં
drink,પીવું
offering drinks,પીણાં ઓફર
cheers,ચીર્સ
alcohol,દારૂ
sitcom,સિટકોમ
indian sitcom,ભારતીય સિટકોમ
middle class,મધ્યમ વર્ગ
ls,એલએસ
highclass,ઉચ્ચ વર્ગ
maya,માયા
maya sarabhai,માયા સરભાઇ
mind,મન
making,બનાવે છે
point,બિંદુ
vs,વિ
sitcoms,સિટકોમ્સ
indian sitcoms,ભારતીય સિટકોમ્સ
argument,દલીલ
arguing,દલીલ
haunsla,હિંમત
sweety,સ્વીટી
monisha,મનીષા
hope,આશા
dont lose,ગુમાવશો નહીં
lose,ગુમાવો
proud,ગર્વ
monisha sarabhai,મોનીષા સારાભાઇ
poison,ઝેર
milk,દૂધ
acting,અભિનય
overacting,અતિરેક
woman,સ્ત્રી
indian woman,ભારતીય સ્ત્રી
comedy shows,ક comeમેડી શો
comedy,ક comeમેડી
indian comedy shows,ભારતીય કdyમેડી શો
doodh,ડૂધ
swear,શપથ લેવો
indian comedy,ભારતીય કdyમેડી
promise,વચન
jaljeera,jaljeera
celebration,ઉજવણી
housewife,ગૃહિણી
aroma,સુગંધ
rosesh sarabhai,રોજેશ સારાભાઇ
happiness,સુખ
show,બતાવો
indian shows,ભારતીય શો
happy dance,ખુશ નૃત્ય
mummy,મમી
purse,પર્સ
hospital,હોસ્પિટલ
sweet,મીઠી
nurse,નર્સ
flattering,ખુશામત
impress,પ્રભાવિત કરો
patient,દર્દી
mom,મમ્મી
mother,માતા
mommas boy,Mommas છોકરો
lmao,lmao
jelly,જેલી
roseshs poetry,ગુલાબ કવિતા
son,પુત્ર
doting,ડોટિંગ
dote,દહેજ
pigeons,કબૂતર
birds,પક્ષીઓ
pigeon,કબૂતર
writings,લખાણો
writing,લેખન
so,તેથી
class,વર્ગ
middle,મધ્ય
high class,ઉચ્ચ વર્ગ
showoff,દેખાડો
broke,તૂટી
money,પૈસા
rupees,રૂપિયા
cash,રોકડ
card,કાર્ડ
credit card,ક્રેડીટ કાર્ડ
miser,કમનસીબ
scrooge,સ્ક્રૂજ
low on cash,રોકડ પર નીચા
wallet,વૉલેટ
no money,પેસા નથી
no salary,પગાર નથી
salary,પગાર
balance,સંતુલન
low balance,નીચા સંતુલન
no cash,કોઈ રોકડ નથી
phone call,ફોન કૉલ
mobile phone,મોબાઇલ ફોન
forgot,ભૂલી ગયા
brothers,ભાઈઓ
dead,મૃત
bhai,ભાઈ
buddy,સાથી
bud,કળી
bro,ભાઈ
t shirt,ટી શર્ટ
shirt,શર્ટ
tee,ટી
t,ટી
brother,ભાઈ
borrow,ઉધાર
loan,લોન
owe,owણી
bill,બિલ
check,તપાસો
no balance,કોઈ સંતુલન નહીં
pay,ચૂકવણી
restaurant,રેસ્ટોરન્ટ
bro brother,ભાઈ ભાઈ
extra,વધારાની
ask,પુછવું
snack,નાસ્તો
snacking,નાસ્તો
bhel,ભેલ
more,વધુ
munching,મંચિંગ
hogging,હોગિંગ
snacks,નાસ્તો
note,નૉૅધ
girls night,છોકરીઓ રાત
girls night out,છોકરીઓ રાત્રે બહાર
ladies night,સ્ત્રીઓની રાત્રી
broke girls,છોકરીઓ તૂટી
clubbing,ક્લબિંગ
club,ક્લબ
tonight,આજની રાત
lets party,ચાલો પાર્ટી કરીએ
dancing,નૃત્ય
women,સ્ત્રીઓ
thursday,ગુરુવાર
birthday,જન્મદિવસ
gift,ભેટ
present,હાજર
birthday gift,જન્મદિવસની ભેટ
birthday party,જન્મદિવસની પાર્ટી
kanjoos,કંજુસ
asking,પૂછવું
birthday present,જન્મદિવસની ભેટ
shopping,ખરીદી
shop,દુકાન
cell phone,સેલ ફોન
urgent call,તાત્કાલિક ક callલ
no battery,બેટરી નથી
dead phone,ડેડ ફોન
make,બનાવો
scoorge,સ્ક્રૂજ
yaar,કોણ
bruh,બ્રુહ
chai,ફાટવું
tea,ચા
masala tea,મસાલા ચા
kadak chai,કડક ચાઇ
cutting chai,લણણી ચા
treat,સારવાર
hangout,હેંગઆઉટ
tea shop,ચાની દુકાન
tea stall,ચાનો સ્ટોલ
guys,ગાય્ઝ
guy,વ્યક્તિ
Demonetisation,ચલણ-બહાર કરવું
car pool,કાર પૂલ
cab pool,કેબ પૂલ
cab sharing,કેબ શેરિંગ
auto,ઓટો
delhi auto,દિલ્હી .ટો
taxi sharing,ટેક્સી વહેંચણી
travelling,મુસાફરી
travel,પ્રવાસ
traveling,મુસાફરી
friendship,મિત્રતા
change,બદલો
big note,મોટી નોંધ
five hundred note,પાંચસોની નોંધ
bill pay,બિલ પે
no change,કઈ બદલાવ નહિ
currency,ચલણ
metro,મેટ્રો
stuck,અટવાઇ
got,મળી
transport,પરિવહન
bus,બસ
train,ટ્રેન
metro train,મેટ્રો ટ્રેન
delhi metro,દિલ્હી મેટ્રો
delhi metro train,દિલ્હી મેટ્રો ટ્રેન
mumbai metro,મુંબઇ મેટ્રો
local transport,સ્થાનિક પરિવહન
late,અંતમાં
late to work,કામ કરવામાં મોડું
excuses,બહાનું
worker,કામદાર
employee,કર્મચારી
office staff,કાર્યસ્થળ કર્મચારીઓ
manager,મેનેજર
team,ટીમ
suit,દાવો
cab,કેબ
cabbie,કોબી
cab guy,કેબ ગાય
driver,ડ્રાઈવર
taxi driver,ટેક્સી ડ્રાઈવર
taxi,ટેક્સી
auto driver,ઓટો ડ્રાઈવર
route,માર્ગ
direction,દિશા
area,વિસ્તાર
took,લીધો
delayed,વિલંબ
latecomer,અંતમાં આવનાર
navigation,સંશોધક
way,માર્ગ
road,માર્ગ
street,શેરી
procession,શોભાયાત્રા
job,નોકરી
in laws,કાયદામાં
mother in law,સાસુ
father in law,સસરા
inlaws,inlaws
relatives,સંબંધીઓ
married,પરણિત
married employee,પરિણીત કર્મચારી
bahane,બહાનું
kaam,કામ
office job,ઓફિસ નોકરી
office excuses,ઓફિસ બહાનું
loosemotions,છૂટછાટ
loose motions,છૂટક ગતિ
sick,બીમાર
sickness,માંદગી
ill,બીમાર
unwell,અસ્વસ્થ
late coming,અંતમાં આવતા
workexcuses,વર્કક્સક્યુસ
member,સભ્ય
fake,બનાવટી
faking illness,faking માંદગી
bad stomach,ખરાબ પેટ
stomach ache,પેટ દુખાવો
potty,પોટી
dump,ડમ્પ
poop,પપ
parents,મા - બાપ
station,સ્ટેશન
pick,ચૂંટો
railway station,રેલવે સ્ટેશન
bus stand,બસ સ્ટેન્ડ
work excuses,કામ બહાનું
work place,કાર્ય સ્થળ
flat tyre,સપાટ પૈડું
puncture,પંચર
tyre,ટાયર
broke down,તૂટી પડી
working,કામ કરે છે
sad employee,ઉદાસી કર્મચારી
on,પર
skipped,છોડ્યું
bai,સફેદ
kaamwali,નોકરડી
late today,આજે મોડું
theft,ચોરી
robbery,લૂંટ
heist,heist
building,મકાન
society,સમાજ
crime scene,ગુનો દ્રશ્ય
appartment,એપાર્ટમેન્ટ
work excuse,કામ બહાનું
employer,એમ્પ્લોયર
car broke down,કાર તૂટી
kharab,ખરાબ
gaadi band,કાર બંધ
raining,વરસાદ
monsoon,ચોમાસુ
location,સ્થાન
city,શહેર
water clogging,પાણી ભરાવું
paani,પાણી
coca cola,કોક
thanda,ઠંડી
coke,કોક
yo,મને
beverage,પીણું
taste the feeling,લાગણી સ્વાદ
taste,સ્વાદ
bottle,બોટલ
cola,કોલા
coca,કોકા
coke bottle,કોક બોટલ
jersey,જર્સી
soft drink,હળવું પીણું
1,.
coca cola,કોક
meet,મળવું
walking,વ walkingકિંગ
foodies,ખોરાક
khushiyaan,વિશેષતા
feeling,લાગણી
meeting,સભા
towel,ટુવાલ
bathroom,બાથરૂમ
shower,શાવર
girl in washroom,વ washશરૂમમાં છોકરી
washroom,વ washશરૂમ
toilet,શૌચાલય
girl in towel,ટુવાલ માં છોકરી
no wash,કોઈ ધોવા
clean,ચોખ્ખો
fresh,તાજી
freshen,તાજું
company,કંપની
dirty pack,ગંદા પેક
pack,પેક
dirty,ગંદા
cold,ઠંડા
girl in bathrobe,બાથરૂબ છોકરી
bathing,સ્નાન
bathe,નવડાવવું
industry,ઉદ્યોગ
clean up,સાફ કરો
unhygienic,અસ્વસ્થ
hygiene,સ્વચ્છતા
sanitary,સેનિટરી
fever,તાવ
ganda,ડબલ
deodorant,ગંધનાશક
in,માં
kal,કાલે
nahaya,સ્નાન કર્યું
ath,રમતવીર
athing,કંઈક
wash wash up,ધોવા ધોવા
alibi,અલીબી
excuse,બહાનું
nightsuit,નાઇટસૂટ
underwear,અન્ડરવેર
kacche,કાચો
dhule,ધૂલે
washing,ધોવા
dry,શુષ્ક
dirty clothes,ગંદા કપડાં
arriving late,અંતમાં પહોંચ્યા
ironing,ઇસ્ત્રી
iron,લોખંડ
pants,પેન્ટ
trousers,ટ્રાઉઝર
naked,નગ્ન
tie,ટાઇ
no bath,નાહવું
warm,ગરમ
restroom,ઓરડો
woman in towel,ટુવાલ સ્ત્રી
pink,ગુલાબી
lady,સ્ત્રી
hot water bath,ગરમ પાણી સ્નાન
no shower,ના ફુવારો
holi,હોળી
wash up,ધોવા
pichkaari,પરમાણુ
gross,કુલ
abey,અબે
blue,વાદળી
naha,ત્વચા
winter,શિયાળો
oye,ઓયે
come,આવો
thand,ઠંડી
Daisy Duck,ડેઇઝી ડક
darling,પ્રિયતમ
good,સારું
luck,નસીબ
good luck,સારા નસીબ
memories,યાદો
bae,બા
girl friend,છોકરી મિત્ર
school days,શાળાના દિવસો
eighties,એંસી
baby,બાળક
lovable,પ્રેમાળ
girl friends,છોકરી મિત્રો
post,પોસ્ટ
posted,પોસ્ટ કર્યું
first,પ્રથમ
before,પહેલાં
update,સુધારો
social media,સોશિયલ મીડિયા
donald duck,ડોનાલ્ડ ડક
donald,ડોનાલ્ડ
child,બાળક
hilarious,આનંદી
insane,પાગલ
cuteness,ક્યુટનેસ
mental,માનસિક
mentally,માનસિક રીતે
oh,ઓહ
boy oh boy,છોકરો ઓહ છોકરો
mickey,મિકી
mickey mouse,મિકી માઉસ
response,પ્રતિભાવ
shocked,આઘાત લાગ્યો
some,કેટલાક
music,સંગીત
songs,ગીતો
song,ગીત
minnie,મીની
mini,મીની
minni,મારા
minnie mouse,મીની માઉસ
melody,મેલોડી
need,જરૂર છે
all,બધા
romance,રોમાંસ
romanctic,રોમેન્ટિક
conversations,વાતચીત
talks,વાતો
lover,પ્રેમી
guitar,ગિટાર
instrument,સાધન
forbidden,પ્રતિબંધિત
romantic,રોમેન્ટિક
heart ache,હૃદય પીડા
dill,સુવાદાણા
how,કેવી રીતે
cteness,ચતુરતા
starts,શરૂ થાય છે
beginning,શરૂઆત
conversation,વાતચીત
for,માટે
group,જૂથ
happy birthday,જન્મદિવસ ની શુભકામના
to me,સાથે
my birthdy,મારા જન્મદિવસ
my,મારા
hello,નમસ્તે
starters,શરૂઆત
begin,શરૂઆત
mouseketeers,માઉસકિટર્સ
magic,મેજિક
jaafu,ગપસપ
jadu,જાદુ
cloak,ડગલો
me,મને
praise,વખાણ
in love,પ્રેમમાં
ishq,ઇશક
flirt,ચેનચાળા
flirtatious,નખરાં
filmy,ચલચિત્રો
bollywood,બોલીવુડ
cinema,સિનેમા
hindi,હિન્દી
relationships,સંબંધો
pyar,પ્રેમ
dl,dl
zindagi,જિંદગી
hai,છે
dialogue,સંવાદ
dialog,સંવાદ
mohabbat,મોહબ્બત
lovesick,લવસ્કિક
chance,તક
stake,હિસ્સો
risk,જોખમ
kuch,કેટલાક
by,દ્વારા
mera,મેરા
limit,મર્યાદા
main,મુખ્ય
hearts,હૃદય
rule,નિયમ
pyaar ke rules,પ્રેમના નિયમો
friendzone,મિત્ર ઝોન
friendzoned,ફ્રેન્ડઝોન
diwana,ક્રેઝી
mad,પાગલ
ole,નથી
bole,કહે છે
saif,સૈફ
saif ali khan,સૈફ અલી ખાન
tera,તેરા
jab bhi,જ્યારે પણ
see,જુઓ
dekhu,જુઓ
ladka,છોકરો
bike,બાઇક
hitting,હિટ
hitting on,પર હિટ
aur,સોનું
dono,જે
thai ishqiya,થાઇ ઇશ્કિયા
baccha,બેબી
hai jee,હૈ
empty,ખાલી
pockets,ખિસ્સા
paisa,પૈસા
cashless,કેશલેસ
staff,સ્ટાફ
later,પછીથી
diwali,દિવાળી
professional,વ્યાવસાયિક
prediwali,prediwali
diwali party,દિવાળી પાર્ટી
card party,કાર્ડ પાર્ટી
ethnic wear,વંશીય વસ્ત્રો
traditional wear,પરંપરાગત વસ્ત્રો
