bobble,ڪوبہ
yellow hair,ڳاڙهو وار
usa,آمريڪا
u.s.a,توهان پاران
politicians,سياستدان
politics,سياست
hair styles,وارن جو انداز
hair drier,وارن جي سنڀاليندڙ
president,صدر
the states,رياستون
politician,سياستدان
american elections,آمريڪي چونڊون
elections,چونڊون
campaign,مهم
american elections 2016,آمريڪي چونڊون 2016
greatest,تمام وڏو
orange,نارنگي
trump,ٽڪر
US,يو ايس
campaigns,مهمات
funny,ڪشش
hair,وارن
yellow,پيلو
honest,ايماندار
honest politicians,ايماندار سياستدان
america,آمريڪي
leader,aggwan
people,ماڻهو
confident,يقين رکو
support,حمايت
political party,سياسي جماعت
selfie,نفس
trumpfie,ٽرمپ
picture,تصوير
photo,تصوير
camera,ڪئميرا
donald trump hair,ڊونلڊ ٽرمپ وار
trump hair,ٽڙڪا وار
silk,ريشم
silky,ريشمي
silky hair,ريشمي وار
dresser,ڊريسر
hair style,وارن جو انداز
hair dresser,وارن جو لباس
super hero trump,سپر هيروڪ ٽراپ
i am trump,مان ٽنگ آهيان
i,مان
am,آهيان
american politics,آمريڪي سياست
american election 2016,آمريڪي چونڊن 2016
rockstar,ريارو اسٽار
americans,آمريڪن
america elections 2016,آمريڪا چونڊون 2016
tomorrow,سڀاڻي
lazy,سست
tired,ٿڪل
laidback,آرام ڪرڻ
laze,قطار
procrastination,ترسيل
procrastinate,تاخير ڪرڻ
delay,دير سان
morning,صبح
work day,ڪم جو ڏينهن
weekend,هفتي جي آخر ۾
off,بند
weekends,موڪلن جو ڏينهن
holidays,موڪلون
no,نه
bath,غسل
sunday,آچر
weekend holiday,هفتي جي موڪل جو ڏينهن
weekend off,هفتي جو بند
weekend trip,هفتي جي سفر
wash,ڌوئڻ
home,گهر
clothes,ڪپڙا
pyjamas,پاجاما
lazy sunday,سست آچر
best,بهترين
offs,بند
pyjama party,پاجاما پارٽي
unwind,ناهن
relaxing,آرام ڪرڻ
busy,مصروف
hibernation,ڪٽيل
sofa,صوفا
couch,سوچي
couch potato,ڪوچ آلو
silence,خاموشي
sleeping,سمهڻ
lazing,لڪلنگ
unwinding,اڻڄاڻ
today,اڄ
nothing,ڪجھ به نه
doing,ڪري رهيو آهي
relax,آرام ڪر
chilling,وڌائڻ
lazy ass,سستي گدا
chill,چپ
no work,ڪو ڪم ناهي
holiday,موڪل
sundays,سھڻن
vacation,موڪلون
lazy bum,سست ماڻهو
eat,کاڌو
sleep,ننڊ ۾
repeat,ورجائي
resting,آرام
glutton,utوٽ
eating,کائڻ
hungry,بکايل
foodie,کاڌو
good morning,صبح جو سلام
sunrise,سج اڀرڻ
woke,وهن
awake,ستل آهي
up,مٿي
rise up,اٿي ويهي رهيو
day,ڏينهن
in bed,بستري ۾
bed,بستري
sleepy,سمهڻ
woke up,سڄاگ ٿيو
useless,بي عيب آهي
vacations,موڪل
saturday,ڇنڇر
week off,هفتي بند
idle,بيڪار
pizza,پيزا
pancakes,پينڪڪس
food,کاڌو
food items,کاڌو شيون
indulgence,ٽپيل
weekend indulgence,هفتي جي آخر ۾
rajnikanth,راجنهنٿ
rajnikant,راجينڪنٿ
thalaiva,Portico
south indian cinema,ڏکڻ انڊين سينيما
tamil actor,ٽيليل اداڪار
tamil movies,ٽيلم فلمون
movies,فلمون
south indian,ڏکڻ هندستان
south indian actor,ڏکڻ انڊين اداڪار
movie dialogues,مووي ريڪارڊ
understand,سمجھيو
better,بهتر
style,انداز
cant,کاڌو
stop,اسٽاپ
stop me,مون کي روڪيو
south indian movies,ڏکڻ هندستاني فلمون
play,کيڏڻ
ball,بال
action,ڪاروائي
drama,ڊراما
kon,ٿي سگهي ٿو
kaun,ڪير آهي
who,ڪير آهي
rok,سال
aaram,باقي
time,وقت
rest,آرام
south indian dialogues,ڏکڻ هندستان جي ڳالهين ۾
south india,ڏکڻ هندستان
bullet,گولي
goli,باهه
fast,تڪڙو
tez,مقالا
anna,anna
sotuh india,ڏکڻ هندستان
fastest,تيز ترين
faster,تيز
rajnikanth jokes,ساجد
yanna rascala,يوهن راسالا
rascala,راسالاالا
actor,اداڪار
indian actor,هندستاني اداڪار
lungi,lengthen
master,ماسٽر
lungi master,لنگ ماسٽر
rajni,سياڻو
lungi dance,lungi ناچ
chalbaaz,ٽرڪٽر
movie dialog,فلم ڊيلڪشن
liquor,شراب
booze,شراب
drinking,پيئڻ
drunk,مست آهي
indian movies,هندستاني فلمون
rajnikanth dialogues,ريگينڪنٿ ڊڪشنريون
dialogues,ڳالهين
chamak,چمڪيو
shine,چمڪيو
twenty twenty,ويهنهن
sachin,ٺهيل
batting,ڪمن ۾
bowling,بالنگ
indian cricket team,ڀارتي ڪرڪيٽ ٽيم
indian cricket,انڊين ڪرڪيٽ
cricket world cup,ڪرڪيٽ ورلڊ ڪپ
cricketer,ڪرڪيٽر
sports,راندين
cricket fans,ڪرڪيٽ جا مداح
fan,مداح
bat,جيٽ
bowl,گدائي
india,انڊيا
you,توهان
balls,گیندون
cricket,ڪرڪيٽ
indian cricketers,انڊين ڪرڪيٽ
batsman,ٻٽي
bowler,بالر
injury,زخم
bowled,ٻڪو
match,ڀيٽيو
catch,پڪڙيو
out,ٻاهر
run out,ڀڄي وڃو
cricket match,ڪرڪيٽ ميچ
hit,ماريو
maar,پر
punch,عذاب
howzzat,ڪئين
indian cricketer,انڊين ڪرڪيٽر
that,اهو
six,ڇهه
sixer,ڇڪن
shot,شاٽ
clap,ڪلپ
what,ڇا آهي
dont,نه ٿيو
be,ٿيءُ
duck,بتڪ
bend,رکو
low,گهٽ
sachin tendulkar,سوچين ٽينڊولڪر
tendulkar,ماڻهون
god,خدا
god of cricket,خدا جي ڪرڪيٽ جو
indian cricket match,ڀارتي ڪرڪيٽ ميچ
century,صديء
match night,شاديء رات
sports injury,راندين جي زخمي
cricket kit,ڪرڪيٽ کٽ
match score,ميچ جو نمبر
score,نمبر
win,جيت
lost,ڪٽيو
victory,فتح
bata,همت
video,وڊيو
online,آن لائن
cricket fan,ڪرڪيٽ فين
player,رانديگر
third,ٽيون
3rd,ڏيکاريو
umpire,امپائر
referee,ريفريٽ
indian team,ڀارتي ٽيم
indian player,انڊين پليئر
12th,12
man,ماڻهو
twelveth,ڪوريڪ
indian crickter,انڊين ڪرڪيٽر
saale,شيل
smooth,سڌو سنئون
delivery,ترسيل
commentary,تبصرو
cricket commentary,ڪرڪيٽ جو تبصرو
strike,هڙتال
cheerleader,خوش مزاج
cheer,خوشي
match fixing,ميچ فڪسنگ
fixing,ٺهيل
bik,هلو
tu,تون
cricket team,ڪرڪيٽ ٽيم
can,ڪري سگهي ٿو
drive,ڊرائيو
players,رانديون
full,ڀريل
toss,ٽپال
full toss,مڪمل ٽاس
pitch,پچڻ
bounce,اچ وڃ
ek,هڪ
one,هڪ
bouncer,بيچينر
do,ڪندا
not,نه
afraid,ڊپ
scared,ڊڄي ويو
hero,هيرو
super hero,سپر هيرو
powerpuff girls,طاقتور ڇوڪريون
powerpuff,توانائي
girls,ڇوڪريون
power,طاقت
daring,ھمت ڪرڻ
strong,مضبوط
bold,ذلت
fighter woman,جنگجو عورت
fighter,فائدي
here,هتي
I am,آئون آهيان
cartoon network,ڪارٽون نيٽورڪ
cartoon,ڪارٽون
professor,پروفيسر
ehh,هه
whats up,ڇا ٿي رهيو آ
sup,sup
doc,دستاويز
doctor,ڊاڪٽر
bugs bunny,بيڪري خرابي
rabbit,خرابي
carrot,گاڏيو
annoying,اجايو
cartoons,ڪارٽون
cartooon network,ڪارٽون نيٽورڪ
bunny,خرابي
cute,پيارو
hey,اينڊر
hi,سلام
the,جي
is,آهي
yours,توھان جو
captain planet,ڪپڙو سيارو
planet,سيارو
captain,هدايتڪار
brave,بهادر
empowering,طاقتور
will,ٿيندو
hunt,شڪار
down,هيٺ
hunter,شينھن
road runner,روڊ رينجر
The Road Runner,روڊ رنر
The Coyote,ڪوياٽ
looney toons,لون ڌڪ
toons,ڪوڙا
animal instincts,جانورن جي ترقيء
beep beep,ٻني ٻني
acme,ايليم
pretty,پيارو
are,آهن
I m,مان م
johnny,جاني
johnny bravo,جاني براوو
bravo,برايو
dude,يارهن
sexy,سينگار
mojo jojo,mojo jojo
villain,ننڍا
evil,بڇڙو
wicked,بڇڙا
bad,خراب
baddie,بدي
cruel,ظلم
cruel intentions,ظالم ارادا
bff,بيف
forever,هميشه لاء
life,زندگي
ed edd and eddy,دڙو ۽ ادودي
ed,اي
edd,اڀري
eddy,اٽل
bestie,ڍور
log,لاگ ان
imaginary,مثالي
imaginary friend,مثالي دوست
plank,تختو
aww,aww
moment,گھڙي
great,زبردست
childhood,ننڍپڻ
ruined,برباد ٿي ويو
cats,ٻليون
swat cats,سوات کٽ
roll,رول
bahadur bille,بهادر ٻڪريون
swat,سوات
swat kats,سوات کٽ
bade miyan,وڏو مائي
chote miyan,ٿورڙي مائي
fighters,ويڙهاڪ
best friends,بهترين دوست
The Radical Squadron,ريڊوليٽو سکواڊرن
BADE MEOW,BADE MEOW
CHOTE,ننڍڙو
MEOW,مان
cartoon shows,ڪارٽون ڏيکارڻ
children,ٻار
catch you,توکي پڪڙيو
tom,ٽام
jerry,جيري
tom and jerry,ٽام ۽ جيري
cat,ٻلي
mouse,ڪوئو
wanna,چاهيو
cartoon character,ڪارٽون ڪردار
the addams family,ايڊامس خاندان
wednesday,اربع
girl,ڇوڪري
knock,کڙڪائڻ
jetsons,Jetsons
the jetsons,جتن
jane,جاني
george,جورج
laugh,کلڻ
haha,هاه
dexter,ماھر
dexters laboratory,ڊيڪسرس ليبارٽري
network,نيٽورڪ
deedee,منڊي
scientist,سائنسدان
lab,ليبارٽري
mayor,ميئر
secretary,سيڪريٽري
sexy secretary,سکيا سيڪريٽري
Ms Sara Bellum,ذيشان ساراهه جنگ
sara bellum,sara جنگ
the powerpuff  girls,طاقتور ڇوڪريون
Townsville,ٽائونسل
red hair,ڳاڙھا وار
dress,لباس
red,ڳاڙهو
heels,رڱيل
hot,گرم
bear,کڻندو
smarter,زبردست
average,سراسري طور
fat,چرٻي
smart,سمورو
THE YOGI BEAR,يوگئي بار
THE YOGI BEAR SHOW,جوگ ي شو ڪيو
wise,وار
intelligent,ذھني
we,اسين
kid,ٻار
sharing,حصيداري
share,حصيداري ڪريو
alvin and the chipmunks,ايونز ۽ شاگردن
alvin,ايونز
chipmunks,شاگردن
Simon,سائمن
Theodore,تھورور
prize,انعام
yes,ها
yeah,ها
all right,بالڪل ٺيڪ
alright,ٺيڪ آهي
boss,باس
sir,صاحب
servant,خادم
maid,نوڪري
richie rich,امير امير
Irona the Robot Maid,لوهٽ جو روبو نوڪري
robot,روبو
irona,ايونا
Mrs Rich,مسز رچ
ok,ٺيڪ آهي
Sarabhai VS Sarabhai,سارابائي ايس ايس سرابهه
rosesh,رسش
sarabhai,سرابائي
moma,مووما
momma,ماامي
mamas boy,mamas ڇوڪرو
car,ڪار
boy,ڇوڪرو
Einstein,آئي اسٽينڊ
biwi,زال
wife,زال
brain,دماغ
stupid,بيوقوف
big cars,وڏيون ڪارٽون
lol,ايل او ايل
poetry,شاعري
roshes poetry,ڪنڊن شاعري
gaadi,ڪار
dimag,دماغ
idiot,بيوقوف
lame,ڪريم
lame poetry,لامري شاعري
wine,شراب
whiskey,وسوسي
champagne,شيمپين
drinks,پيئندو
drink,پيئندو
offering drinks,پيشو پيو ڪري
cheers,خوش رهو
alcohol,شراب
sitcom,sitcom
indian sitcom,انڊين sitcom
middle class,وچولو طبقو
ls,ايل ايس
highclass,اعليٰ ڪلاس
maya,هيا
maya sarabhai,مايا سرابئي
mind,ذهن
making,ٺاهڻ
point,نڪتو
vs,مدرسه
sitcoms,سٿامس
indian sitcoms,انڊين سامونڊي
argument,دليل
arguing,بحث ڪيو
haunsla,عدالت
sweety,مٺي
monisha,منيش
hope,اميد آهي
dont lose,ن ڇڏايو
lose,وڃايو
proud,فخر آهي
monisha sarabhai,منيشا سرابائي
poison,زهر آهي
milk,کير
acting,عمل
overacting,وڌيڪ ڏسڻ
woman,عورت
indian woman,انڊين عورت
comedy shows,مزاحيه ڏيکاري ٿو
comedy,مزاحيه
indian comedy shows,هندستاني مزاحيه نمائش ڏيکاري ٿو
doodh,ڊڊاه
swear,کڻندو
indian comedy,انڊين مزاحيه
promise,واعدو ڪيو
jaljeera,jaljeera
celebration,جشن
housewife,گهريلو
aroma,خوشبو
rosesh sarabhai,Rosesh Sarabhai
happiness,خوشي
show,ڏيکاريو
indian shows,هندستاني شو
happy dance,نچڻ ناهن
mummy,ماء
purse,پرس
hospital,اسپتال
sweet,مٺي
nurse,نرس
flattering,خوشامد
impress,متاثر ٿيو
patient,مريض
mom,ماء
mother,ماء
mommas boy,مومل ڇوڪرو
lmao,lmao
jelly,جلي
roseshs poetry,روشس شاعري
son,پٽ
doting,نقشه ڏيڻ
dote,ڏاج
pigeons,ڪبوتر
birds,پکي
pigeon,ڪبوتر
writings,لکڻيون
writing,لکڻ
so,ائين
class,ڪلاس
middle,وچ
high class,وڏا طبقو
showoff,ڏيکاريو
broke,ڀڄي ويو
money,پئسو
rupees,روپيا
cash,نقد
card,ڪارڊ
credit card,ڪريڊٽ ڪارڊ
miser,بدبخت
scrooge,اسڪالج
low on cash,گھٽ قيمت تي
wallet,واھٽل
no money,پئسا ناهن
no salary,تنخواه ناهي
salary,تنخواه
balance,توازن
low balance,گهٽ توازن
no cash,ڪاش ناهي
phone call,فون ڪال
mobile phone,موبائيل فون
forgot,وساري ڇڏيو
brothers,ڀائر
dead,مئل
bhai,اڳتي هلي
buddy,دوست
bud,ڪل
bro,ڊاڪٽر
t shirt,ٽي شرٽ
shirt,شرٽ
tee,توهان جو
t,t
brother,ڀاء
borrow,قرض کڻي
loan,قرض
owe,اوهين
bill,بل
check,چيڪ
no balance,ڪا به توازن ناهي
pay,ادا
restaurant,ريسٽورنٽ
bro brother,ڀاء جو ڀاء
extra,اضافي
ask,پڇو
snack,نانء
snacking,ڇڪڻ
bhel,بيڇيل
more,وڌيڪ
munching,ڪچهري
hogging,هاگنگ
snacks,نانء
note,نوٽ
girls night,ڇوڪريون رات
girls night out,ڇوڪريون رات ٻاهر
ladies night,عورتن جي رات
broke girls,ڀڃڻ جون ڇوڪريون
clubbing,ڪلب
club,ڪلب
tonight,اڄوڪي
lets party,اچو ته دعوت ڪيون
dancing,ناچ
women,عورتن
thursday,خميس
birthday,سالگراه
gift,تحفا
present,موجود آهي
birthday gift,سالگره جو تحفو
birthday party,جنم ڏڻ گڏجاڻي
kanjoos,بخل ڪندڙ
asking,پڇڻ
birthday present,سالگره جو تحفو
shopping,خريداري
shop,دڪان
cell phone,سيل فون
urgent call,تڪڙو ڪال
no battery,بيٽري آهي
dead phone,مئل فون
make,ٺاهڻ
scoorge,اسڪالج
yaar,ڪير
bruh,bruh
chai,ڳاڙهو ڪريو
tea,چانهن
masala tea,ماسالا چانهه
kadak chai,سخت چپ
cutting chai,چانهن کي فصل
treat,علاج ڪريو
hangout,گهمڻ وڃو
tea shop,چانهن جو دڪان
tea stall,چانهن جو دڪان
guys,ڇوڪرا
guy,ماڻهون
Demonetisation,Demonetisation
car pool,ڪار جي تلاء
cab pool,ڪيب پول
cab sharing,ڪٻڙ شيئرنگ
auto,خودڪار
delhi auto,ڊهي آٽو
taxi sharing,ٽيڪسي شيئرنگ
travelling,سفر
travel,سفر
traveling,سفر
friendship,دوستي
change,تبديل ڪريو
big note,وڏو نوٽ
five hundred note,پنج سئو نوٽ
bill pay,بل ادا
no change,ڪا تبديلي نه آهي
currency,ڪرنسي
metro,ميٽرو
stuck,پڪاريو
got,حاصل ڪيو
transport,ٽرانسپورٽ
bus,بس
train,سکيا
metro train,ميٽرو ٽرين
delhi metro,ديشي ميرو
delhi metro train,ديشي ميٽرڪ ٽريننگ
mumbai metro,ممبئي ميٽررو
local transport,لوڪل ٽرانسپورٽ
late,دير سان
late to work,دير سان ڪم ڪرڻ
excuses,عذر ڪري ٿو
worker,ڪم ڪندڙ
employee,ملازم
office staff,دفتري عملو
manager,مينيجر
team,ٽيم
suit,سوٽ
cab,ڪاب
cabbie,ڪاببي
cab guy,ڪيئي گلي
driver,ڊرائيور
taxi driver,ٽيڪسي ڊرائيور
taxi,ٽيڪسي
auto driver,خودڪار ڊرائيور
route,رستو
direction,هدايت
area,ايريا
took,ٿي گذريو
delayed,دير ٿي رهيو آهي
latecomer,دير سان
navigation,وڪيپيڊيا
way,رستو
road,روڊ
street,گھٽي
procession,جلوس
job,نوڪري
in laws,قانونن ۾
mother in law,سس
father in law,قانون ۾ پيء
inlaws,ٻيڙن
relatives,مائٽن
married,شادي ٿيل
married employee,شادي جي ملازم
bahane,عذر
kaam,ڪم
office job,آفيس نوڪري
office excuses,آفيس عذر
loosemotions,ڦوڪيون
loose motions,ننڍڙي موٽن
sick,بيمار
sickness,بيمار
ill,بيمار
unwell,بيڪار
late coming,دير سان اچڻ
workexcuses,ڪم ايڪسچيڪس
member,ڪارڪن
fake,جعلي
faking illness,جعلي بيماري
bad stomach,خراب پيٽ
stomach ache,معدي جو سور
potty,پوٽي
dump,ڊمپ
poop,پوپ
parents,والدين
station,اسٽيشن
pick,چونڊيو
railway station,ريلوي اسٽيشن
bus stand,بس بيهڻ
work excuses,ڪم جا عذر
work place,ڪم جي جڳهه
flat tyre,ڦاٽل ٽائر
puncture,عذاب
tyre,ٽائر
broke down,ٽٽي ويو
working,ڪم ڪري رهيو آهي
sad employee,اداس ملازمت
on,تي
skipped,ڇڏايو
bai,اڇي
kaamwali,نوڪرياڻي
late today,اڄ شهيد
theft,چوري
robbery,ڦرلٽ
heist,ڌاڙهو
building,عمارت
society,سماج
crime scene,ڏوهاري منظر
appartment,اپارٽمنٽ
work excuse,عذر آڻيو
employer,نوڪري
car broke down,ڪار ڀڄي وئي
kharab,خراب
gaadi band,ڪار بند
raining,برسات
monsoon,چوماسي
location,جڳھ
city,شهر
water clogging,پاڻي صاف ڪرڻ
paani,پاڻي
coca cola,ڪري ڇڏيو
thanda,ٿڌو
coke,ڪوڪ
yo,مان
beverage,مشروبات
taste the feeling,محسوس ڪر
taste,مزو
bottle,بوتل
cola,ڪاليج
coca,ڪوڪو
coke bottle,ڪچي جي بوتل
jersey,جرسي
soft drink,نرم پيئڻ
1,1
coca cola,ڪري ڇڏيو
meet,ملڻ
walking,پنڌ
foodies,کاڌو
khushiyaan,خاصيت
feeling,محسوس ڪر
meeting,ملڻ
towel,ٽولي
bathroom,باتھ روم
shower,شاھن
girl in washroom,واش روم ۾
washroom,ڌوئڻ جو ڪمرو
toilet,هوٽل
girl in towel,ڇوڪريء جي تيل ۾
no wash,ڌوئڻ ڪونج
clean,صاف
fresh,تازو
freshen,تازيون
company,ڪمپني
dirty pack,گندي ڀريل
pack,سٿ
dirty,گندو
cold,ڀڌ
girl in bathrobe,غسل آباد ۾ ڇوڪري
bathing,غسل
bathe,غسل
industry,صنعت
clean up,صاف ڪريو
unhygienic,اڻڄاڻين
hygiene,صفائي
sanitary,صفائي
fever,بخار
ganda,ٻٽي
deodorant,ڊيوڊورٽ
in,۾
kal,سڀاڻي
nahaya,ٻڌل
ath,اَي
athing,ڪمزور ٿيڻ
wash wash up,ڌوئڻ ڌوئڻ
alibi,البي
excuse,عذر
nightsuit,رات جو ٺٽو
underwear,انڊروير
kacche,راول
dhule,ڪچرو
washing,ڌوئڻ
dry,سڪي ويو
dirty clothes,گندو ڪپڙا
arriving late,دير سان اچي رهيو آهي
ironing,استقبال
iron,لوهه
pants,پتلون
trousers,پتلون
naked,نوڪري
tie,ٽائي
no bath,نه غسل
warm,گرم
restroom,آرامرو
woman in towel,عورت تاروين ۾
pink,گلابي
lady,ليڊي
hot water bath,گرم پاڻي غسل
no shower,نه شاهن
holi,هولي
wash up,ڌوئي وٺ
pichkaari,Atomizer
gross,مجموعي
abey,ابي
blue,نيرو
naha,جلد
winter,سيارو
oye,اوئي
come,اچو
thand,ٿڌو
Daisy Duck,دلي بتڪ
darling,ٿي سگهي ٿو
good,سٺو
luck,قسمت
good luck,سدا خوشقسمت رهو
memories,يادون
bae,نواب
girl friend,ڇوڪري دوست
school days,اسڪول جو ڏينهن
eighties,اٺين
baby,ٻار
lovable,پيارو
girl friends,ڇوڪري دوستو
post,پوسٽ
posted,پوسٹ ٿيل
first,پهريون
before,کان اڳ
update,تازه ڪاري
social media,سماجي ميڊيا
donald duck,ڊونلڊ بدڪ
donald,ڊونڊڊ
child,ٻار
hilarious,مزاحمت
insane,چريو
cuteness,وحدت
mental,ذهني
mentally,ذهني طور تي
oh,او
boy oh boy,ڇوڪرو ڇوڪرو ڇوڪرو
mickey,مکي
mickey mouse,مکي ماؤس
response,جواب
shocked,شديد
some,ڪجهه
music,ميوزڪ
songs,گيت
song,گيت
minnie,مثني
mini,مني
minni,منهنجي
minnie mouse,ميني ماؤس
melody,سريلو
need,جي ضرورت آهي
all,سڀ
romance,رومانس
romanctic,رومانويٽڪ
conversations,ڪچهري
talks,ڳالهين
lover,عاشق
guitar,گٽار
instrument,اوزار
forbidden,منع ٿيل
romantic,رومانويٽڪ
heart ache,دل جي ڪري
dill,ڊيل
how,ڪيئن
cteness,نسيم
starts,شروع ٿئي ٿو
beginning,شروعات
conversation,گفتگو
for,لاء
group,گروپ
happy birthday,سالگراه مبارڪ
to me,سان گڏ
my birthdy,منهنجو جنم ڏينهن
my,منهنجو
hello,سلام
starters,شروعات
begin,شروع ٿيو
mouseketeers,mouseketeers
magic,جادو
jaafu,ڀڄڻ
jadu,جادو
cloak,سليڪ
me,مان
praise,حمد
in love,پيار ۾
ishq,ishq
flirt,ٽٽل
flirtatious,دلڪش
filmy,فلمون
bollywood,ڪٽيو
cinema,سينيما
hindi,هندي
relationships,رشتي
pyar,پيار
dl,ڊي ايل
zindagi,زندهگي
hai,آهي
dialogue,ڪچهري
dialog,ڪچهري
mohabbat,mohabbat
lovesick,پيارڻ وارو
chance,موقعو
stake,کاٻي
risk,خطري
kuch,ڪجهه
by,طرفان
mera,ميرا
limit,حد تائين
main,مکيه
hearts,دلين
rule,ضابطو
pyaar ke rules,محبت جون قاعدا
friendzone,دوست زون
friendzoned,دوستو
diwana,پاگل
mad,چريو
ole,نه
bole,چوندو آهي
saif,صائف
saif ali khan,سيف علي خان
tera,ٽا
jab bhi,جڏهن به
see,ڏسو
dekhu,ڏسو
ladka,ڇوڪرو
bike,سائيڪل
hitting,ڇڪڻ
hitting on,پڪڙڻ
aur,هونء به
dono,ڪھڙي
thai ishqiya,ٿائي Ishqiya
baccha,ننڍو
hai jee,آئي
empty,خالي
pockets,جیب
paisa,پئسا
cashless,بيشمار
staff,اسٽاف
later,بعد ۾
diwali,ديوالي
professional,ڪاروبار
prediwali,prediwali
diwali party,ديوالي جماعت
card party,ڪارڊ پارٽي
ethnic wear,نسلي لباس
traditional wear,روايتي لباس
traditional,روايتي
festive,ذليل
festive wear,مٺو لباس
daru,هڪ تحفو
sharab,شراب
alocohol,شراب
kurta pyjama,پٽٽا پاجاما
where,ڪٿي
cardparty,ڪارڊ ڪارپوريشن
say,چون ٿا
to,جي طرف
crackers,ڀڃڪڙي
slogan,نعرا
deepawali,ڊيپالي
dipawali,ڊيپالي
cards,ڪارڊ
couple,جوڙو
rangoli,رنگولي
stay,رهڻ
away,پري
diya,ڏنو
lamps,چراغ
diwlai celebration,ديوالي جشن
maa,زمين
mata,اک
housewide,گهربل
safai,صفائي
ghar,گھر
house,گھر
house cleaning,گھر جي صفائي
diwali cleaning,ديوالي صفائي
karega,ڪندا
ki,مان
daughter,ڌيء
sahab,سر
housekeeper,گهرگير
cleaner,صاف
diwlai,مهرباني ڪري
bonus,بونس
diwali bonus,ديوالي بونس
bucket,بتيٽ
cleaning,صفائي
broom,ڪنوڙ
jhaduu,جوادو
diwali shopping,ديوالي شاپنگ
with,سان
be like,وانگر ٿيڻ
bags,ٻلي
shopping bags,شاپنگ بيگز
missing,غائب آهي
miss,وڃاءِ
miss you,تنهنجي سڪ لڳي آ
yaad,ياد رکو
ghar ki yaad,گهر ياد ڪريو
nostalgia,نوسٽليا
nostalgic,زبردست
baksheesh,بيڪس شيش
paise,پئسا
superstar,سپرارو
stage,اسٽيج
mic,مائڪ
singer,ڳائيندڙ
melodies,ڳاڙهو
perform,انجام ڏيو
gig,gig
star,تارو
band,بينڊ
rockband,پٿر بينڊ
musician,موسيقي
spotlight,روشني
goodwork,سٺو ڪم
well,چڱي طرح
done,مڪمل ٿيو
welldone,هيلڊون
good job,سٺو ڪم
acha,سوچيو
sun,سج
surf,سرف
surfboard,سرف بورڊ
surfing,سرفنگ
shining,چمڪندڙ
waves,موجون
swiming,ترڻ
swimwear,ڪپڙا
swimsuit,سياري
goa,ويهي
beaches,ساحل
usic,آمريڪي
performance,ڪارڪردگي
acha kaam,سٺو ڪم
ha,آهي
hell,دوزخ
burn,ساڙڻ
burning,جلدي
laughing,کلڻ
interaction,هوشيار
talk,ڳالهائيندي
old,پراڻو
days,ڏينهن
memory,ياداشت
college,ڪاليج
cowboy,چريو
cowboy hat,چرواڪ ٽوپي
cowboy boots,چرواه بوٽن
boots,بوٽن
dessert,مٺاڻ
hat,ٿي ويو آهي
fighting,ويڙهه
goodnight,آچر رات
night,رات
dreams,خواب
sweetdreams,مٺا خواب
moon,چنڊ
dark,ڪارو
stars,تارا
the moon,چنڊ
clouds,ڪڪر
sky,آسمان
end,آخري
scare,ڊيareار
scray,ڇنڊو
boo,بوء
ghost,گھوڙا
land,زمين
scarecrow,خوفناڪ
shock,جھٽيو
surprise,حيرت انگيز
