bobble,ಬಬಲ್
kon,ಸಾಧ್ಯವಾಯಿತು
kaun,ಯಾರು
who,ಯಾರು
rok,ವರ್ಷದ
aaram,ಉಳಿದವು
time,ಸಮಯ
rest,ಉಳಿದ
south indian dialogues,ದಕ್ಷಿಣ ಭಾರತೀಯ ಸಂವಾದಗಳು
south india,ದಕ್ಷಿಣ ಭಾರತ
bullet,ಬುಲೆಟ್
goli,ಮಾತ್ರೆ
fast,ವೇಗವಾಗಿ
tez,ಪ್ರೌಢ ಪ್ರಬಂಧಗಳ
anna,ಅನ್ನಾ
sotuh india,ದಕ್ಷಿಣ ಭಾರತ
fastest,ವೇಗವಾಗಿ
faster,ವೇಗವಾಗಿ
rajnikanth jokes,ರಜನಿಕಾಂತ್ ಜೋಕ್
yanna rascala,ಯನ್ನಾ ರಾಸ್ಕಲಾ
rascala,ರಾಸ್ಕಲಾ
actor,ನಟ
indian actor,ಭಾರತೀಯ ನಟ
lungi,ಹೆಚ್ಚಿಸು
master,ಮಾಸ್ಟರ್
lungi master,ಲುಂಗಿ ಮಾಸ್ಟರ್
rajni,ರಾಜಕಾರಣಿ
lungi dance,ಲುಂಗಿ ನೃತ್ಯ
chalbaaz,ಟ್ರಿಕ್ಸ್ಟರ್
movie dialog,ಚಲನಚಿತ್ರ ಸಂವಾದ
liquor,ಮದ್ಯ
booze,ಮಿತಿಮೀರಿ ಕುಡಿತ
drinking,ಕುಡಿಯುವುದು
drunk,ಕುಡಿದು
indian movies,ಭಾರತೀಯ ಚಲನಚಿತ್ರಗಳು
rajnikanth dialogues,ರಜನಿಕಾಂತ್ ಸಂವಾದಗಳು
dialogues,ಸಂವಾದಗಳು
chamak,ಹೊಳೆಯಿರಿ
shine,ಹೊಳೆಯಿರಿ
twenty twenty,ಇಪ್ಪತ್ತು ಇಪ್ಪತ್ತು
sachin,ಸಚಿನ್
batting,ಬ್ಯಾಟಿಂಗ್
bowling,ಬೌಲಿಂಗ್
indian cricket team,ಭಾರತೀಯ ಕ್ರಿಕೆಟ್ ತಂಡ
indian cricket,ಭಾರತೀಯ ಕ್ರಿಕೆಟ್
cricket world cup,ಕ್ರಿಕೆಟ್ ವಿಶ್ವಕಪ್
cricketer,ಕ್ರಿಕೆಟಿಗ
sports,ಕ್ರೀಡೆ
cricket fans,ಕ್ರಿಕೆಟ್ ಅಭಿಮಾನಿಗಳು
fan,ಅಭಿಮಾನಿ
bat,ಬ್ಯಾಟ್
bowl,ಬೌಲ್
india,ಭಾರತ
you,ನೀವು
balls,ಚೆಂಡುಗಳು
cricket,ಕ್ರಿಕೆಟ್
indian cricketers,ಭಾರತೀಯ ಕ್ರಿಕೆಟಿಗರು
batsman,ಬ್ಯಾಟ್ಸ್ಮನ್
bowler,ಬೌಲರ್
injury,ಗಾಯ
bowled,ಬೌಲ್ಡ್
match,ಹೊಂದಾಣಿಕೆ
catch,ಹಿಡಿಯಿರಿ
out,.ಟ್
run out,ರನ್ .ಟ್
cricket match,ಕ್ರಿಕೆಟ್ ಪಂದ್ಯ
hit,ಹಿಟ್
maar,ಆದರೆ
punch,ಪಂಚ್
howzzat,ಹೌ zz ಾಟ್
indian cricketer,ಭಾರತೀಯ ಕ್ರಿಕೆಟಿಗ
that,ಅದು
six,ಆರು
sixer,ಸಿಕ್ಸಸ್
shot,ಶಾಟ್
clap,ಚಪ್ಪಾಳೆ
what,ಏನು
dont,dont
be,ಇರಲಿ
duck,ಬಾತುಕೋಳಿ
bend,ಬಾಗಿ
low,ಕಡಿಮೆ
sachin tendulkar,ಸಚಿನ್ ತೆಂಡೂಲ್ಕರ್
tendulkar,ತೆಂಡೂಲ್ಕರ್
god,ದೇವರು
god of cricket,ಕ್ರಿಕೆಟ್ ದೇವರು
indian cricket match,ಭಾರತೀಯ ಕ್ರಿಕೆಟ್ ಪಂದ್ಯ
century,ಶತಮಾನ
match night,ಪಂದ್ಯ ರಾತ್ರಿ
sports injury,ಕ್ರೀಡಾ ಗಾಯ
cricket kit,ಕ್ರಿಕೆಟ್ ಕಿಟ್
match score,ಪಂದ್ಯದ ಸ್ಕೋರ್
score,ಸ್ಕೋರ್
win,ಗೆಲುವು
lost,ಕಳೆದುಹೋಯಿತು
victory,ಗೆಲುವು
bata,ಮಗು
video,ವೀಡಿಯೊ
online,ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ
cricket fan,ಕ್ರಿಕೆಟ್ ಅಭಿಮಾನಿ
player,ಆಟಗಾರ
third,ಮೂರನೇ
3rd,ತೋರಿಸು
umpire,ಅಂಪೈರ್
referee,ತೀರ್ಪುಗಾರ
indian team,ಭಾರತೀಯ ತಂಡ
indian player,ಭಾರತೀಯ ಆಟಗಾರ
12th,12 ನೇ
man,ಮನುಷ್ಯ
twelveth,ಹನ್ನೆರಡನೆಯದು
indian crickter,ಭಾರತೀಯ ಕ್ರಿಕೆಟಿಗ
saale,ಸೇಲ್
smooth,ನಯವಾದ
delivery,ವಿತರಣೆ
commentary,ವ್ಯಾಖ್ಯಾನ
cricket commentary,ಕ್ರಿಕೆಟ್ ವ್ಯಾಖ್ಯಾನ
strike,ಮುಷ್ಕರ
cheerleader,ಚೀರ್ಲೀಡರ್
cheer,ಮೆರಗು
match fixing,ಹೊಂದಾಣಿಕೆ ಫಿಕ್ಸಿಂಗ್
fixing,ಫಿಕ್ಸಿಂಗ್
bik,ಬೆಕ್
tu,ನೀವು
cricket team,ಕ್ರಿಕೆಟ್ ತಂಡ
can,ಮಾಡಬಹುದು
drive,ಡ್ರೈವ್
players,ಆಟಗಾರರು
full,ತುಂಬಿದೆ
toss,ಟಾಸ್
full toss,ಪೂರ್ಣ ಟಾಸ್
pitch,ಪಿಚ್
bounce,ಬೌನ್ಸ್
ek,ಒಂದು
one,ಒಂದು
bouncer,ಬೌನ್ಸರ್
do,ಮಾಡಿ
not,ಅಲ್ಲ
afraid,ಹೆದರುತ್ತಿದ್ದರು
scared,ಹೆದರುತ್ತಿದ್ದರು
hero,ನಾಯಕ
super hero,ಸೂಪರ್ ಹೀರೋ
powerpuff girls,ಪವರ್‌ಪಫ್ ಹುಡುಗಿಯರು
powerpuff,ಪವರ್‌ಪಫ್
girls,ಹುಡುಗಿಯರು
power,ಶಕ್ತಿ
daring,ಧೈರ್ಯಶಾಲಿ
strong,ಬಲವಾದ
bold,ದಪ್ಪ
fighter woman,ಹೋರಾಟಗಾರ ಮಹಿಳೆ
fighter,ಫೈಟರ್
here,ಇಲ್ಲಿ
I am,ನಾನು
cartoon network,ಕಾರ್ಟೂನ್ ನೆಟ್ವರ್ಕ್
cartoon,ಕಾರ್ಟೂನ್
professor,ಪ್ರೊಫೆಸರ್
ehh,ehh
whats up,ಎನ್ ಸಮಾಚಾರ
sup,sup
doc,ಡಾಕ್
doctor,ವೈದ್ಯರು
bugs bunny,ದೋಷಗಳು ಬನ್ನಿ
rabbit,ಮೊಲ
carrot,ಕ್ಯಾರೆಟ್
annoying,ಕಿರಿಕಿರಿ
cartoons,ವ್ಯಂಗ್ಯಚಿತ್ರಗಳು
cartooon network,ಕಾರ್ಟೂನ್ ನೆಟ್ವರ್ಕ್
bunny,ಬನ್ನಿ
cute,ಮುದ್ದಾದ
hey,ಹೇ
hi,ನಮಸ್ತೆ
the,ದಿ
is,ಇದೆ
yours,ನಿಮ್ಮದು
captain planet,ಕ್ಯಾಪ್ಟನ್ ಗ್ರಹ
planet,ಗ್ರಹ
captain,ನಾಯಕ
brave,ಧೈರ್ಯಶಾಲಿ
empowering,ಅಧಿಕಾರ
will,ತಿನ್ನುವೆ
hunt,ಬೇಟೆ
down,ಕೆಳಗೆ
hunter,ಬೇಟೆಗಾರ
road runner,ರಸ್ತೆ ಓಟಗಾರ
The Road Runner,ರೋಡ್ ರನ್ನರ್
The Coyote,ಕೊಯೊಟೆ
looney toons,ಲೂನಿ ಟೂನ್‌ಗಳು
toons,ಟೂನ್ಗಳು
animal instincts,ಪ್ರಾಣಿ ಪ್ರವೃತ್ತಿ
beep beep,ಬೀಪ್ ಬೀಪ್
acme,acme
pretty,ಸುಂದರ
are,ಇವೆ
I m,ನಾನು ಮೀ
johnny,ಜಾನಿ
johnny bravo,ಜಾನಿ ಬ್ರಾವೋ
bravo,ಬ್ರಾವೋ
dude,ಸೊಗಸುಗಾರ
sexy,ಮಾದಕ
mojo jojo,ಮೊಜೊ ಜೊಜೊ
villain,ಖಳನಾಯಕ
evil,ದುಷ್ಟ
wicked,ದುಷ್ಟ
bad,ಕೆಟ್ಟದು
baddie,ಬ್ಯಾಡ್ಡಿ
cruel,ಕ್ರೂರ
cruel intentions,ಕ್ರೂರ ಉದ್ದೇಶಗಳು
bff,bff
forever,ಶಾಶ್ವತವಾಗಿ
life,ಜೀವನ
ed edd and eddy,ed edd ಮತ್ತು eddy
ed,ಆವೃತ್ತಿ
edd,edd
eddy,ಸುಳಿ
bestie,ಸಂಕುಲ
log,ಲಾಗ್
imaginary,ಕಾಲ್ಪನಿಕ
imaginary friend,ಕಾಲ್ಪನಿಕ ಸ್ನೇಹಿತ
plank,ಹಲಗೆ
aww,aww
moment,ಕ್ಷಣ
great,ಅದ್ಭುತವಾಗಿದೆ
childhood,ಬಾಲ್ಯ
ruined,ಹಾಳಾಗಿದೆ
cats,ಬೆಕ್ಕುಗಳು
swat cats,ಸ್ವಾತ್ ಕ್ಯಾಟ್ಸ್
roll,ರೋಲ್
bahadur bille,ಕೆಚ್ಚೆದೆಯ ಬೆಕ್ಕುಗಳು
swat,ಸ್ವಾತ್
swat kats,ಸ್ವಾತ್ ಕ್ಯಾಟ್ಸ್
bade miyan,ದೊಡ್ಡ ಮಿಯಾನ್
chote miyan,ಲಿಟಲ್ ಮಿಯಾನ್
fighters,ಹೋರಾಟಗಾರರು
best friends,ಆಪ್ತ ಮಿತ್ರರು
The Radical Squadron,ಆಮೂಲಾಗ್ರ ಸ್ಕ್ವಾಡ್ರನ್
BADE MEOW,ಬೇಡ್ ಮಿಯೋವ್
CHOTE,ಸಣ್ಣ
MEOW,MEOW
cartoon shows,ಕಾರ್ಟೂನ್ ಪ್ರದರ್ಶನಗಳು
children,ಮಕ್ಕಳು
catch you,ನಿನ್ನನ್ನು ಹಿಡಿಯುವೆ
tom,ಟಾಮ್
jerry,ಜೆರ್ರಿ
tom and jerry,ಟಾಮ್ ಮತ್ತು ಜೆರ್ರಿ
cat,ಬೆಕ್ಕು
mouse,ಇಲಿ
wanna,ಬಯಸುವಿರಾ
cartoon character,ಕಾರ್ಟೂನ್ ಪಾತ್ರ
the addams family,ಆಡಮ್ಸ್ ಕುಟುಂಬ
wednesday,ಬುಧವಾರ
girl,ಹುಡುಗಿ
knock,ನಾಕ್
jetsons,ಜೆಟ್ಸನ್‌ಗಳು
the jetsons,ಜೆಟ್ಸನ್‌ಗಳು
jane,ಜೇನ್
george,ಜಾರ್ಜ್
laugh,ನಗು
haha,haha
dexter,ಡೆಕ್ಸ್ಟರ್
dexters laboratory,ಡೆಕ್ಸ್ಟರ್ ಪ್ರಯೋಗಾಲಯ
network,ನೆಟ್‌ವರ್ಕ್
deedee,ಡೀಡಿ
scientist,ವಿಜ್ಞಾನಿ
lab,ಲ್ಯಾಬ್
mayor,ಮೇಯರ್
secretary,ಕಾರ್ಯದರ್ಶಿ
sexy secretary,ಮಾದಕ ಕಾರ್ಯದರ್ಶಿ
Ms Sara Bellum,MS ಸಾರಾ ವಾರ್
sara bellum,ಸಾರಾ ಯುದ್ಧದ
the powerpuff  girls,ಪವರ್ಪಫ್ ಹುಡುಗಿಯರು
Townsville,ಟೌನ್‌ಸ್ವಿಲ್ಲೆ
red hair,ಕೆಂಪು ಕೂದಲು
dress,ಉಡುಗೆ
red,ಕೆಂಪು
heels,ನೆರಳಿನಲ್ಲೇ
hot,ಬಿಸಿ
bear,ಕರಡಿ
smarter,ಚುರುಕಾದ
average,ಸರಾಸರಿ
fat,ಕೊಬ್ಬು
smart,ಸ್ಮಾರ್ಟ್
THE YOGI BEAR,ಯೋಗಿ ಕರಡಿ
THE YOGI BEAR SHOW,ಯೋಗಿ ಕರಡಿ ಪ್ರದರ್ಶನ
wise,ಬುದ್ಧಿವಂತ
intelligent,ಬುದ್ಧಿವಂತ
we,ನಾವು
kid,ಮಗು
sharing,ಹಂಚಿಕೆ
share,ಪಾಲು
alvin and the chipmunks,ಆಲ್ವಿನ್ ಮತ್ತು ಚಿಪ್‌ಮಂಕ್ಸ್
alvin,ಆಲ್ವಿನ್
chipmunks,ಚಿಪ್ಮಂಕ್ಸ್
Simon,ಸೈಮನ್
Theodore,ಥಿಯೋಡರ್
prize,ಬಹುಮಾನ
yes,ಹೌದು
yeah,ಹೌದು
all right,ಸರಿ
alright,ಸರಿ
boss,ಮೇಲಧಿಕಾರಿ
sir,ಶ್ರೀಮಾನ್
servant,ಸೇವಕ
maid,ಸೇವಕಿ
richie rich,ಶ್ರೀಮಂತ ಶ್ರೀಮಂತ
Irona the Robot Maid,ಐರೋನಾ ದ ರೋಬೋಟ್ ಸೇವಕಿ
robot,ರೋಬೋಟ್
irona,ಐರನಾ
Mrs Rich,ಶ್ರೀಮತಿ ಶ್ರೀಮಂತ
ok,ಸರಿ
Sarabhai VS Sarabhai,ಸಾರಾಭಾಯ್ ವಿ.ಎಸ್.ಸಾರಭಾಯ್
rosesh,ಗುಲಾಬಿ
sarabhai,ಸರಭಾಯ್
moma,ಮೊಮಾ
momma,ಅಮ್ಮ
mamas boy,ಮಾಮಾಸ್ ಹುಡುಗ
car,ಕಾರು
boy,ಹುಡುಗ
Einstein,ಐನ್‌ಸ್ಟೈನ್
biwi,ಹೆಂಡತಿ
wife,ಹೆಂಡತಿ
brain,ಮೆದುಳು
stupid,ದಡ್ಡ
big cars,ದೊಡ್ಡ ಕಾರುಗಳು
lol,lol
poetry,ಕವನ
roshes poetry,ರೋಶ್ ಕವನ
gaadi,ಕಾರು
dimag,ಮೆದುಳು
idiot,ಮೂರ್ಖ
lame,ಕುಂಟ
lame poetry,ಕುಂಟ ಕವನ
wine,ವೈನ್
whiskey,ವಿಸ್ಕಿ
champagne,ಷಾಂಪೇನ್
drinks,ಪಾನೀಯಗಳು
drink,ಕುಡಿಯಿರಿ
offering drinks,ಪಾನೀಯಗಳನ್ನು ಅರ್ಪಿಸುವುದು
cheers,ಚೀರ್ಸ್
alcohol,ಆಲ್ಕೋಹಾಲ್
sitcom,ಸಿಟ್ಕಾಮ್
indian sitcom,ಭಾರತೀಯ ಸಿಟ್ಕಾಮ್
middle class,ಮಧ್ಯಮ ವರ್ಗ
ls,ls
highclass,ಉನ್ನತ ವರ್ಗದ
maya,ಮಾಯಾ
maya sarabhai,ಮಾಯಾ ಸರಭಾಯ್
mind,ಮನಸ್ಸು
making,ತಯಾರಿಕೆ
point,ಪಾಯಿಂಟ್
vs,ವಿರುದ್ಧ
sitcoms,ಸಿಟ್ಕಾಮ್ಸ್
indian sitcoms,ಭಾರತೀಯ ಸಿಟ್‌ಕಾಮ್‌ಗಳು
argument,ವಾದ
arguing,ವಾದಿಸುತ್ತಿದ್ದಾರೆ
haunsla,ಧೈರ್ಯ
sweety,ಸಿಹಿ
monisha,ಮನೀಶಾ
hope,ಭರವಸೆ
dont lose,ಕಳೆದುಕೊಳ್ಳಬೇಡಿ
lose,ಕಳೆದುಕೊಳ್ಳಿ
proud,ಹೆಮ್ಮೆ
monisha sarabhai,ಮೋನಿಷಾ ಸಾರಾಭಾಯ್
poison,ವಿಷ
milk,ಹಾಲು
acting,ನಟನೆ
overacting,ಅತಿಯಾಗಿ ತಿನ್ನುವುದು
woman,ಮಹಿಳೆ
indian woman,ಭಾರತೀಯ ಮಹಿಳೆ
comedy shows,ಹಾಸ್ಯ ಪ್ರದರ್ಶನಗಳು
comedy,ಹಾಸ್ಯ
indian comedy shows,ಭಾರತೀಯ ಹಾಸ್ಯ ಪ್ರದರ್ಶನಗಳು
doodh,ದೂಧ್
swear,ಪ್ರತಿಜ್ಞೆ ಮಾಡಿ
indian comedy,ಭಾರತೀಯ ಹಾಸ್ಯ
promise,ಭರವಸೆ
jaljeera,jaljeera
celebration,ಆಚರಣೆ
housewife,ಗೃಹಿಣಿ
aroma,ಸುವಾಸನೆ
rosesh sarabhai,ರೋಸೇಶ್ ಸಾರಾಭಾಯ್
happiness,ಸಂತೋಷ
show,ಪ್ರದರ್ಶನ
indian shows,ಭಾರತೀಯ ಪ್ರದರ್ಶನಗಳು
happy dance,ಸಂತೋಷದ ನೃತ್ಯ
mummy,ಮಮ್ಮಿ
purse,ಪರ್ಸ್
hospital,ಆಸ್ಪತ್ರೆ
sweet,ಸಿಹಿ
nurse,ನರ್ಸ್
flattering,ಹೊಗಳುವ
impress,ಮೆಚ್ಚಿಸಿ
patient,ರೋಗಿ
mom,ತಾಯಿ
mother,ತಾಯಿ
