bobble,berbandul
donald trump hair,rambut donald truf
trump hair,rambut palsu
silk,sutra
silky,halus
silky hair,rambut halus
dresser,meja rias
hair style,gaya rambut
hair dresser,penata rambut
super hero trump,pahlawan super truf
i am trump,saya truf
i,saya
am,saya
american politics,politik amerika
american election 2016,Pemilu Amerika 2016
rockstar,rockstar
americans,orang amerika
america elections 2016,Pemilu amerika 2016
tomorrow,besok
lazy,malas
tired,lelah
laidback,berbaring
laze,bermalas-malasan
procrastination,penundaan
procrastinate,menunda
delay,menunda
morning,pagi
work day,hari kerja
weekend,akhir pekan
off,mati
weekends,akhir pekan
holidays,liburan
no,tidak
bath,mandi
sunday,Minggu
weekend holiday,liburan akhir pekan
weekend off,libur akhir pekan
weekend trip,perjalanan akhir pekan
wash,mencuci
home,rumah
clothes,pakaian
pyjamas,piyama
lazy sunday,Minggu malas
best,terbaik
offs,off
pyjama party,pesta piyama
unwind,beristirahat
relaxing,santai
busy,sibuk
hibernation,hibernasi
sofa,sofa
couch,sofa
couch potato,pemalas
silence,Diam
sleeping,sedang tidur
lazing,bermalas-malasan
unwinding,bersantai
today,hari ini
nothing,tidak ada
doing,perbuatan
relax,bersantai
chilling,mengerikan
lazy ass,pantat malas
chill,dingin
no work,tidak ada pekerjaan
holiday,liburan
sundays,minggu
vacation,liburan
lazy bum,gelandangan malas
eat,makan
sleep,tidur
repeat,ulang
resting,beristirahat
glutton,pelahap
eating,memakan
hungry,lapar
foodie,penggila makanan
good morning,Selamat pagi
sunrise,matahari terbit
woke,terbangun
awake,bangun
up,naik
rise up,bangkit
day,hari
in bed,tidur
bed,tempat tidur
sleepy,ngantuk
woke up,bangun
useless,tak berguna
vacations,liburan
saturday,Sabtu
week off,libur seminggu
idle,diam
pizza,Pizza
pancakes,pancake
food,makanan
food items,barang makanan
indulgence,kesenangan
weekend indulgence,kesenangan akhir pekan
rajnikanth,rajnikanth
rajnikant,Rajinikanth
thalaiva,serambi yg bertiang
south indian cinema,bioskop India Selatan
tamil actor,aktor tamil
tamil movies,film tamil
movies,film
south indian,India selatan
south indian actor,Aktor India Selatan
movie dialogues,dialog film
understand,memahami
better,lebih baik
style,gaya
cant,tidak bisa
stop,berhenti
stop me,Hentikan aku
south indian movies,film India Selatan
play,bermain
ball,bola
action,tindakan
drama,drama
kon,bisa
kaun,Siapa
who,siapa
rok,tahun
aaram,Sisanya
time,waktu
rest,beristirahat
south indian dialogues,dialog India Selatan
south india,india selatan
bullet,peluru
goli,Pil itu
fast,cepat
tez,tesis
anna,anna
sotuh india,india selatan
fastest,tercepat
faster,lebih cepat
rajnikanth jokes,lelucon rajnikanth
yanna rascala,yanna rascala
rascala,rascala
actor,aktor
indian actor,aktor India
lungi,memanjang
master,menguasai
lungi master,master lungi
rajni,Politisi
lungi dance,menari lungi
chalbaaz,Trickster
movie dialog,dialog film
liquor,minuman keras
booze,minuman keras
drinking,minum
drunk,mabuk
indian movies,film India
rajnikanth dialogues,dialog rajnikanth
dialogues,dialog
chamak,Bersinar
shine,bersinar
twenty twenty,dua puluh dua puluh
sachin,sachin
batting,memukul
bowling,bowling
indian cricket team,tim kriket India
indian cricket,kriket India
cricket world cup,piala dunia kriket
cricketer,pemain kriket
sports,olahraga
cricket fans,penggemar kriket
fan,kipas
bat,kelelawar
bowl,mangkuk
india,India
you,kamu
balls,bola
cricket,jangkrik
indian cricketers,kriket India
batsman,batsman
bowler,bowler
injury,cedera
bowled,terpesona
match,pertandingan
catch,menangkap
out,di luar
run out,Keluar
cricket match,pertandingan kriket
hit,memukul
maar,tapi
punch,meninju
howzzat,howzzat
indian cricketer,pemain kriket India
that,bahwa
six,enam
sixer,berenam
shot,tembakan
clap,tepuk
what,apa
dont,jangan
be,menjadi
duck,bebek
bend,tikungan
low,rendah
sachin tendulkar,sachin tendulkar
tendulkar,tendulkar
god,Tuhan
god of cricket,dewa kriket
indian cricket match,pertandingan kriket India
century,abad
match night,cocokkan malam
sports injury,cedera olahraga
cricket kit,kit kriket
match score,skor pertandingan
score,skor
win,menang
lost,kalah
victory,kemenangan
bata,nak
video,video
online,on line
cricket fan,penggemar kriket
player,pemain
third,ketiga
3rd,Tampilkan
umpire,wasit
referee,wasit
indian team,tim India
indian player,pemain India
12th,12
man,pria
twelveth,kedua belas
indian crickter,pemain kriket India
saale,Saale
smooth,halus
delivery,pengiriman
commentary,komentar
cricket commentary,komentar kriket
strike,menyerang
cheerleader,pemandu sorak
cheer,bersorak
match fixing,memperbaiki pertandingan
fixing,pemasangan
bik,Beck
tu,kamu
cricket team,tim kriket
can,bisa
drive,mendorong
players,pemain
full,penuh
toss,melemparkan
full toss,lemparan penuh
pitch,nada
bounce,melambung
ek,Satu
one,satu
bouncer,tukang pukul
do,melakukan
not,tidak
afraid,takut
scared,takut
hero,pahlawan
super hero,Super hero
powerpuff girls,gadis powerpuff
powerpuff,powerpuff
girls,perempuan
power,kekuasaan
daring,berani
strong,kuat
bold,mencolok
fighter woman,wanita pejuang
fighter,pejuang
here,sini
I am,saya
cartoon network,Jaringan kartun
cartoon,kartun
professor,profesor
ehh,ehh
whats up,ada apa
sup,sup
doc,dokter
doctor,dokter
bugs bunny,bug kelinci
rabbit,kelinci
carrot,wortel
annoying,menjengkelkan
cartoons,kartun
cartooon network,Jaringan kartun
bunny,kelinci
cute,imut
hey,Hei
hi,Hai
the,itu
is,adalah
yours,milikmu
captain planet,planet kapten
planet,planet
captain,Kapten
brave,berani
empowering,memberdayakan
will,akan
hunt,berburu
down,turun
hunter,pemburu
road runner,pelari jalan
The Road Runner,Pelari Jalan
The Coyote,The Coyote
looney toons,looney toons
toons,toons
animal instincts,naluri binatang
beep beep,bip bip
acme,puncak
pretty,cantik
are,adalah
I m,Aku
johnny,johnny
johnny bravo,johnny bravo
bravo,bravo
dude,kawan
sexy,seksi
mojo jojo,mojo jojo
villain,penjahat
evil,jahat
wicked,jahat
bad,buruk
baddie,baddie
cruel,kejam
cruel intentions,niat kejam
bff,bff
forever,selama-lamanya
life,kehidupan
ed edd and eddy,ed edd dan eddy
ed,ed
edd,edd
eddy,eddy
bestie,binatang
log,catatan
imaginary,imajiner
imaginary friend,teman khayalan
plank,papan
aww,aww
moment,saat
great,Bagus
childhood,masa kecil
ruined,rusak
cats,kucing
swat cats,memukul tikar
roll,gulungan
bahadur bille,Kucing pemberani
swat,memukul
swat kats,memukul tikar
bade miyan,Mian besar
chote miyan,Mian kecil
fighters,pejuang
best friends,sahabat
The Radical Squadron,Skuadron Radikal
BADE MEOW,BADE MEOW
CHOTE,Kecil
MEOW,MEONG
cartoon shows,pertunjukan kartun
children,anak-anak
catch you,menangkap mu
tom,tom
jerry,jerry
tom and jerry,Tom dan Jerry
cat,kucing
mouse,mouse
wanna,mau
cartoon character,karakter kartun
the addams family,keluarga addams
wednesday,Rabu
girl,gadis
knock,ketukan
jetsons,Jetsons
the jetsons,jetsons
jane,jane
george,George
laugh,tertawa
haha,ha ha
dexter,dexter
dexters laboratory,laboratorium dexters
network,jaringan
deedee,deedee
scientist,ilmuwan
lab,laboratorium
mayor,walikota
secretary,sekretaris
sexy secretary,sekretaris seksi
Ms Sara Bellum,Ms Sarah WAR
sara bellum,perang sara
the powerpuff  girls,gadis powerpuff
Townsville,Townsville
red hair,rambut merah
dress,gaun
red,merah
heels,tumit
hot,panas
bear,beruang
smarter,lebih pintar
average,rata-rata
fat,lemak
smart,pintar
THE YOGI BEAR,THE YOGI BEAR
THE YOGI BEAR SHOW,THE YOGI BEAR SHOW
wise,bijaksana
intelligent,cerdas
we,kita
kid,anak
sharing,berbagi
share,Bagikan
alvin and the chipmunks,alvin dan para chipmunks
alvin,alvin
chipmunks,tupai
Simon,Simon
Theodore,Theodore
prize,hadiah
yes,Iya
yeah,ya
all right,Baiklah
alright,baik
boss,bos
sir,Pak
servant,pelayan
maid,pembantu
richie rich,richie rich
Irona the Robot Maid,Irona the Robot Maid
robot,robot
irona,irona
Mrs Rich,Nyonya Rich
ok,baik
Sarabhai VS Sarabhai,Sarabhai VS Sarabhai
rosesh,rosesh
sarabhai,sarabhai
moma,moma
momma,ibu
mamas boy,anak mama
car,mobil
boy,anak laki-laki
Einstein,Einstein
biwi,Istri
wife,istri
brain,otak
stupid,bodoh
big cars,mobil besar
lol,lol
poetry,puisi
roshes poetry,puisi roshes
gaadi,Mobil
dimag,Otak
idiot,bodoh
lame,kuno
lame poetry,puisi lumpuh
wine,anggur
whiskey,wiski
champagne,sampanye
drinks,minuman
drink,minum
offering drinks,menawarkan minuman
cheers,Bersulang
alcohol,alkohol
sitcom,sitkom
indian sitcom,sitkom India
middle class,kelas menengah
ls,ls
highclass,kelas tinggi
maya,maya
maya sarabhai,maya sarabhai
mind,pikiran
making,membuat
point,titik
vs,vs.
sitcoms,sitkom
indian sitcoms,komedi situasi India
argument,argumen
arguing,berdebat
haunsla,Keberanian
sweety,pacar
monisha,Manisha
hope,berharap
dont lose,jangan kalah
lose,kalah
proud,bangga
monisha sarabhai,Monisha Sarabhai
poison,meracuni
milk,susu
acting,akting
overacting,overacting
woman,wanita
indian woman,wanita India
comedy shows,pertunjukan komedi
comedy,komedi
indian comedy shows,pertunjukan komedi India
doodh,doodh
swear,bersumpah
indian comedy,komedi India
promise,janji
jaljeera,jaljeera
celebration,perayaan
housewife,ibu rumah tangga
aroma,aroma
rosesh sarabhai,Rosesh Sarabhai
happiness,kebahagiaan
show,menunjukkan
indian shows,pertunjukan India
happy dance,selamat menari
mummy,mumi
purse,tas
hospital,Rumah Sakit
sweet,manis
nurse,perawat
flattering,menyanjung
impress,mengesankan
patient,sabar
mom,ibu
mother,ibu
mommas boy,mommas boy
lmao,lmao
jelly,jeli
roseshs poetry,puisi rosesh
son,putra
doting,yg sangat suka
dote,mahar
pigeons,merpati
birds,burung-burung
pigeon,merpati
writings,tulisan
writing,penulisan
so,begitu
class,kelas
middle,tengah
high class,kelas tinggi
showoff,Pamer
broke,bangkrut
money,uang
rupees,rupee
cash,tunai
card,kartu
credit card,kartu kredit
miser,orang kikir
scrooge,Gober
low on cash,uang tunai rendah
wallet,dompet
no money,tidak ada uang
no salary,tidak ada gaji
salary,gaji
balance,keseimbangan
low balance,saldo rendah
no cash,tidak ada uang tunai
phone call,panggilan telepon
mobile phone,telepon genggam
forgot,lupa
brothers,kakak beradik
dead,mati
bhai,bhai
buddy,teman
bud,tunas
bro,kawan
t shirt,kaos
shirt,kemeja
tee,tee
t,t
brother,saudara
borrow,meminjam
loan,pinjaman
owe,berhutang
bill,tagihan
check,memeriksa
no balance,tidak ada saldo
pay,membayar
restaurant,restoran
bro brother,saudara laki-laki
extra,tambahan
ask,meminta
snack,camilan
snacking,ngemil
bhel,BHEL
more,lebih
munching,mengunyah
hogging,belit
snacks,makanan ringan
note,catatan
girls night,perempuan malam
girls night out,gadis malam
ladies night,wanita malam
broke girls,gadis bangkrut
clubbing,clubbing
club,klub
tonight,malam ini
lets party,Ayo berpesta
dancing,tarian
women,wanita
thursday,Kamis
birthday,ulang tahun
gift,hadiah
present,menyajikan
birthday gift,hadiah ulang tahun
birthday party,pesta ulang tahun
kanjoos,Pelit
asking,meminta
birthday present,hadiah ulang tahun
shopping,perbelanjaan
shop,toko
cell phone,telepon selular
urgent call,panggilan mendesak
no battery,tidak ada baterai
dead phone,telepon mati
make,membuat
scoorge,Gober
yaar,Siapa
bruh,bruh
chai,Runtuh
tea,teh
masala tea,teh masala
kadak chai,Chai yang ketat
cutting chai,Panen teh
treat,memperlakukan
hangout,bergaul
tea shop,toko teh
tea stall,kedai teh
guys,teman-teman
guy,orang
Demonetisation,Demonetisation
car pool,kolam renang mobil
cab pool,kolam taksi
cab sharing,berbagi taksi
auto,mobil
delhi auto,delhi otomatis
taxi sharing,berbagi taksi
travelling,perjalanan
travel,perjalanan
traveling,perjalanan
friendship,persahabatan
change,perubahan
big note,catatan besar
five hundred note,lima ratus not
bill pay,pembayaran tagihan
no change,tidak ada perubahan
currency,mata uang
metro,metro
stuck,macet
got,dapatkan
transport,mengangkut
bus,bis
train,melatih
metro train,kereta metro
delhi metro,delhi metro
delhi metro train,kereta metro delhi
mumbai metro,mumbai metro
local transport,transportasi lokal
late,terlambat
late to work,terlambat bekerja
excuses,alasan
worker,pekerja
employee,karyawan
office staff,karyawan kantor
manager,Pengelola
team,tim
suit,sesuai
cab,taksi
cabbie,sopir taksi
cab guy,orang taksi
driver,sopir
taxi driver,sopir taksi
taxi,taksi
auto driver,pengemudi otomatis
route,rute
direction,arah
area,daerah
took,ambil
delayed,terlambat
latecomer,orang yg terlambat
navigation,navigasi
way,cara
road,jalan
street,jalan
procession,prosesi
job,pekerjaan
in laws,dalam hukum
mother in law,ibu mertua
father in law,ayah mertua
inlaws,mertua
relatives,keluarga
married,menikah
married employee,karyawan yang sudah menikah
bahane,alasan
kaam,Pekerjaan
office job,pekerjaan kantor
office excuses,alasan kantor
loosemotions,loosemotions
loose motions,gerakan longgar
sick,sakit
sickness,penyakit
ill,Saya akan
unwell,sakit
late coming,terlambat datang
workexcuses,kesalahan kerja
member,anggota
fake,gadungan
faking illness,penyakit palsu
bad stomach,perut buruk
stomach ache,sakit perut
potty,toilet
dump,membuang
poop,buritan
parents,orangtua
station,stasiun
pick,memilih
railway station,Stasiun kereta
bus stand,halte bus
work excuses,alasan kerja
work place,tempat kerja
flat tyre,ban kempes
puncture,tusukan
tyre,ban
broke down,hancur
working,kerja
sad employee,karyawan yang sedih
on,di
skipped,dilewati
bai,Putih
kaamwali,Pembantu
late today,terlambat hari ini
theft,pencurian
robbery,perampokan
heist,pencurian
building,bangunan
society,masyarakat
crime scene,tempat kejadian perkara
appartment,apartemen
work excuse,alasan kerja
employer,majikan
car broke down,mobil mogok
kharab,Buruk
gaadi band,Mobil mati
raining,hujan
monsoon,musim
location,lokasi
city,kota
water clogging,penyumbatan air
paani,Air
coca cola,kokas
thanda,Dingin
coke,minuman bersoda
yo,saya
beverage,minuman
taste the feeling,rasakan perasaan itu
taste,rasa
bottle,botol
cola,soda
coca,coca
coke bottle,botol kokas
jersey,jersey
soft drink,minuman ringan
1,1
coca cola,kokas
meet,memenuhi
walking,berjalan
foodies,pecinta kuliner
khushiyaan,spesialisasi
feeling,perasaan
meeting,pertemuan
towel,handuk
bathroom,kamar mandi
shower,mandi
girl in washroom,gadis di kamar mandi
washroom,kamar kecil
toilet,toilet
girl in towel,gadis di handuk
no wash,tidak dicuci
clean,bersih
fresh,segar
freshen,menyegarkan
company,perusahaan
dirty pack,paket kotor
pack,Pak
dirty,kotor
cold,dingin
girl in bathrobe,gadis di jubah mandi
bathing,mandi
bathe,mandi
industry,industri
clean up,membersihkan
unhygienic,tidak higienis
hygiene,kebersihan
sanitary,sanitasi
fever,demam
ganda,dobel
deodorant,deodoran
in,di
kal,Besok
nahaya,Mandi
ath,ath
athing,athing
wash wash up,cuci bersih
alibi,alibi
excuse,alasan
nightsuit,pakaian malam
underwear,pakaian dalam
kacche,Mentah
dhule,dhule
washing,pencucian
dry,kering
dirty clothes,pakaian kotor
arriving late,datang terlambat
ironing,menyetrika
iron,besi
pants,celana
trousers,celana panjang
naked,telanjang
tie,dasi
no bath,tanpa mandi
warm,hangat
restroom,kamar kecil
woman in towel,wanita di handuk
pink,Merah Jambu
lady,wanita
hot water bath,pemandian air panas
no shower,tidak mandi
holi,holi
wash up,membersihkan
pichkaari,Alat penyemprot
gross,kotor
abey,abey
blue,biru
naha,kulit
winter,musim dingin
oye,oye
come,datang
thand,Dingin
Daisy Duck,Bebek Daisy
darling,sayang
good,baik
luck,keberuntungan
good luck,semoga berhasil
memories,kenangan
bae,bae
girl friend,pacar perempuan
school days,hari bersekolah
eighties,tahun delapanpuluhan
baby,bayi
lovable,manis
girl friends,teman perempuan
post,pos
posted,diposting
first,pertama
before,sebelum
update,memperbarui
social media,media sosial
donald duck,Donald Bebek
donald,donald
child,anak
hilarious,kocak
insane,gila
cuteness,kelucuan
mental,mental
mentally,secara mental
oh,oh
boy oh boy,anak laki-laki anak laki-laki
mickey,mickey
mickey mouse,mickey mouse
response,tanggapan
shocked,terkejut
some,beberapa
music,musik
songs,lagu
song,lagu
minnie,minnie
mini,mini
minni,saya
minnie mouse,minnie mouse
melody,melodi
need,perlu
all,semua
romance,percintaan
romanctic,romantis
conversations,percakapan
talks,pembicaraan
lover,kekasih
guitar,gitar
instrument,instrumen
forbidden,terlarang
romantic,romantis
heart ache,sakit jantung
dill,adas
how,bagaimana
cteness,cteness
starts,dimulai
beginning,awal
conversation,percakapan
for,untuk
group,kelompok
happy birthday,Selamat ulang tahun
to me,dengan
my birthdy,ulang tahunku
my,saya
hello,Halo
starters,permulaan
begin,mulai
mouseketeers,mouseketeers
magic,sihir
jaafu,gosip
jadu,Keajaiban
cloak,jubah
me,saya
praise,memuji
in love,kasmaran
ishq,ishq
flirt,main mata
flirtatious,genit
filmy,bioskop
bollywood,bollywood
cinema,bioskop
hindi,Hindi
relationships,hubungan
pyar,Cinta itu
dl,dl
zindagi,zindagi
hai,Apakah
dialogue,dialog
dialog,dialog
mohabbat,mohabbat
lovesick,mabuk cinta
chance,kesempatan
stake,pasak
risk,risiko
kuch,Beberapa
by,oleh
mera,mera
limit,membatasi
main,utama
hearts,hati
rule,aturan
pyaar ke rules,Aturan cinta
friendzone,zona teman
friendzoned,zona pertemanan
diwana,Gila
mad,gila
ole,tidak
bole,Kata
saif,Saif
saif ali khan,Saif Ali Khan
tera,tera
jab bhi,Kapanpun
see,Lihat
dekhu,Lihat
ladka,Anak laki-laki itu
bike,sepeda
hitting,memukul
hitting on,memukul pada
aur,emas
dono,Yang mana
thai ishqiya,Ishqiya Thailand
baccha,Sayang
hai jee,Hai
empty,kosong
pockets,kantong
paisa,Uang
cashless,tanpa uang tunai
staff,staf
later,kemudian
diwali,diwali
professional,profesional
prediwali,prediwali
diwali party,pesta diwali
card party,pesta kartu
ethnic wear,pakaian etnis
traditional wear,pakaian tradisional
traditional,tradisional
festive,meriah
festive wear,pakaian meriah
daru,sebuah hadiah
sharab,Anggur
alocohol,alkohol
kurta pyjama,piyama kurta
where,dimana
cardparty,cardparty
say,mengatakan
to,untuk
crackers,biskuit
slogan,slogan
deepawali,Deepawali
dipawali,Deepawali
cards,kartu-kartu
couple,pasangan
rangoli,rangoli
stay,tinggal
away,jauh
diya,Diberikan
lamps,lampu
diwlai celebration,perayaan diwali
maa,tanah
mata,mata
housewide,di rumah
safai,Kebersihan
ghar,Rumah
house,rumah
house cleaning,membersihkan rumah
diwali cleaning,pembersihan diwali
karega,Akan lakukan
ki,Dari
daughter,putri
sahab,Pak
housekeeper,pengurus rumah
cleaner,pembersih
diwlai,tolong
bonus,bonus
diwali bonus,bonus diwali
bucket,ember
cleaning,pembersihan
broom,sapu
jhaduu,jhaduu
diwali shopping,belanja diwali
with,dengan
be like,Jadilah seperti
bags,tas
shopping bags,tas belanja
missing,hilang
miss,Rindu
miss you,kangen kamu
yaad,Ingat
ghar ki yaad,Ingat rumah
nostalgia,nostalgia
nostalgic,rindu
baksheesh,sogok
paise,Uang
superstar,superstar
stage,tahap
mic,mik
singer,penyanyi
melodies,melodi
perform,melakukan
gig,dokar
star,bintang
band,pita
rockband,band rock
musician,pemusik
spotlight,menyoroti
goodwork,kerja bagus
well,baik
done,selesai
welldone,baik dilakukan
good job,kerja bagus
acha,pikirkan
sun,matahari
surf,berselancar
surfboard,papan luncur
surfing,berselancar
shining,bersinar
waves,ombak
swiming,renang
swimwear,baju renang
swimsuit,baju renang
goa,goa
beaches,pantai
usic,usic
performance,kinerja
acha kaam,Kerja bagus
ha,telah
hell,neraka
burn,membakar
burning,pembakaran
laughing,tertawa
interaction,interaksi
talk,berbicara
old,tua
days,hari
memory,Penyimpanan
college,perguruan tinggi
cowboy,koboi
cowboy hat,topi koboi
cowboy boots,sepatu bot koboi
boots,sepatu bot
dessert,pencuci mulut
hat,topi
fighting,perkelahian
goodnight,selamat malam
night,malam
dreams,mimpi
sweetdreams,mimpi indah
moon,bulan
dark,gelap
stars,bintang
the moon,bulan
clouds,awan
sky,langit
end,akhir
scare,ketakutan
scray,scray
boo,boo
ghost,hantu
land,tanah
scarecrow,orang-orangan sawah
shock,syok
surprise,mengherankan
zombie,zombie
hahaha,ha ha ha
laughter,tawa
wicked laugh,tawa jahat
scary,mengerikan
tight,ketat
honey,madu
grilfriend,pacar perempuan
college days,hari-hari kuliah
older,lebih tua
young,muda
younger,lebih muda
retro,retro
yearn,merindukan
booo,booo
witch,penyihir
flying,penerbangan
ghosts,hantu
spooky,menyeramkan
chudail,Penyihir
shinning,Shinning
bright,terang
frieds,goreng
really,Betulkah
chat,obrolan
friendships,pertemanan
stunned,tertegun
hmmm,hmmm
hmm,hmm
pondering,merenungkan
contemplating,merenungkan
think,berpikir
thoughtful,bijaksana
thoughts,pikiran
hahah,hahah
bahaha,bahaha
joking,bercanda
hansna,Untuk tertawa
thanks,Terima kasih
thank you,Terima kasih
thank,terima kasih
help,Tolong
welcome,Selamat datang
thanking,terima kasih
get,Dapatkan
get out,keluar
chakra,chakra
go,Pergilah
fuck off,persetan
superhero,Super hero
whatsup,ada apa
ssup,ssup
whaddup,whadup
whatup,apa
watsup,watsup
happing,bahagia
opening,pembukaan
coversation,percakapan
start,Mulailah
converse,berbicara
free,Gratis
freebird,burung bebas
freedom,kebebasan
break,istirahat
jatt,jatt
fly,terbang
air,udara
super,super
stoned,dirajam
starter,starter
solar,tenaga surya
activate,mengaktifkan
functionality,Kegunaan
character,karakter
powerful,kuat
stronger,lebih kuat
like,Suka
lve,lve
flirting,menggoda
flatter,memuji
u,masuk
affair,perselingkuhan
caught,tertangkap
ya,dari
caught you,menangkapmu
pakad,Tahan
liye,Untuk
he,dia
everyday,setiap hari
howdy,Howdy
namaste,Halo
group chat,obrolan grup
feel,merasa
strength,kekuatan
attack,menyerang
protector,pelindung
bored,bosan
m,m
boring,membosankan
plans,rencana
run,Lari
running,berlari
zap,pertengkaran
zoom,Perbesar
storm out,menyerang
exit,keluar
go away,pergi
dissappear,menghilang
leave,meninggalkan
have,memiliki
a,Sebuah
plan,rencana
planning,perencanaan
idea,ide
trick,menipu
plan of action,rencana aksi
tvf pitchers,pitcher tvf
pitchers,kendi
beer,Bir
tvf,TVF
viral,virus
peeney,Minum
peena,Untuk minum
bhati,Bhati
navin,navin
navin bansal,Navin Bansal
glass,kaca
hun,mereka
bansal,bansal
botal,Botol
nikla,nikel
bahunga,Will
hoon,hoon
behna,behna
behunga,mereka sedang berkonsultasi
bahar,Musim semi
invest,menginvestasikan
investor,investor
funding,pendanaan
drunk night,malam mabuk
height,tinggi
sexism,seksisme
of,dari
gunda,Gunda
entrepreneur,pengusaha
startup,memulai
invester,investor
presentation,presentasi
ladki,Gadis itu
tum,tum
kyu,Kyu
why,Mengapa
boygang,boygang
boys,anak laki-laki
let,membiarkan
going,pergi
leaving,pergi
privacy,pribadi
mail,surat
myth,mitos
owners,pemilik
men,laki-laki
email,surel
letter,surat
smartass,sok pintar
smart ass,sok pintar
work culture,budaya kerja
workplace,tempat kerja
pechkas,kompor
app,aplikasi
khoj,Pencarian
discover,menemukan
idiotic,bodoh
old man,pria tua
tease,menggoda
never,tidak pernah
quit,berhenti
back down,mundur
failure,kegagalan
motivation,motivasi
motivator,motivator
chutiya,Jepit
fucker,keparat
wearing,mengenakan
serious,serius
specs,spesifikasi
papa,ayah
fail,gagal
toh do,toh lakukan
mauka,Peluang
dad,ayah
pissed,kesal
annoyed,kesal
joint,bersama
doobie,doobie
family,keluarga
chitwan,chitwan
chitvan,Chitwan
chanchal,Menyenangkan
logo,logo
whatsapp,ada apa
pregnant,hamil
praja,praja
banata,banatas
raat,Raat
tharki,Menyengat
horny,terangsang
hame,Fluff
humein,Kami
humey,Kami
prem,prem
pranav,Pranav
mein,milikku
planner,perencana
bahut,Banyak
chandan,Cendana
daddy,ayah
baba,baba
compatibility,kesesuaian
mommy,mama
momy,nyonya
mama,mama
fuck,brengsek
irritated,kesal
bye,selamat tinggal
bye bye,sampai jumpa
tata,tata
driving,menyetir
roadtrip,perjalanan
dj,dj
beautiful,Cantik
hillary,hillary
means,cara
election,pemilihan
supported,didukung
vote,Pilih
superwoman,wanita super
her,-nya
again,lagi
back,kembali
wizard,Penyihir
withcraft,sihir
winner,pemenang
winning,kemenangan
hillary clinton,Hillary Clinton
clinton,clinton
she,dia
choice,pilihan
choose,memilih
select,Pilih
opt,memilih
speech,pidato
deck,Kartu
boxing,tinju
ring,cincin
gloves,sarung tangan
warrior,pejuang
right,Baik
five,lima
5,5
!,!
exclamation,seruan
ice cube,es batu
tv,televisi
screen,layar
smart response,respon cerdas
acknowledge,mengakui
filler,pengisi
interactions,interaksi
bubble,gelembung
cube,kubus
ice,Es
thought,pikir
thought bubble,pikir gelembung
oh my god,ya Tuhan
shit,kotoran
damn,Sial
fish,ikan
hulk,hulk
avenger,pembalas
dumbbell,barbel
fire,api
firey,firey
devil,setan
zzz,zzz
good night,Selamat malam
muah,muah
lips,bibir
kiss,ciuman
yipii,EP
wohoo,wohoo
yay!,yay!
hurrah,Hore
great news,kabar baik
kisses,mencium
lovey dovey,dovey sayang
lovely,menyenangkan
xoxo,xoxo
love and hugs,cinta dan pelukan
HUGS,Pelukan
hugzzz,hugzzz
gone,pergi
