bobble,बडबड
hair style,केसांची शैली
hair dresser,केसांचा ड्रेसर
super hero trump,सुपर नायक ट्रम्प
i am trump,मी ट्रम्प आहे
i,मी
am,आहे
american politics,अमेरिकन राजकारण
american election 2016,अमेरिकन निवडणूक २०१
rockstar,रॉकस्टार
americans,अमेरिकन
america elections 2016,अमेरिका निवडणुका २०१ elections
tomorrow,उद्या
lazy,आळशी
tired,थकलेले
laidback,थरकाप
laze,लेझ
procrastination,चालढकल
procrastinate,विलंब करणे
delay,विलंब
morning,सकाळी
work day,कामाचा दिवस
weekend,शनिवार व रविवार
off,बंद
weekends,शनिवार व रविवार
holidays,सुट्टी
no,नाही
bath,आंघोळ
sunday,रविवारी
weekend holiday,शनिवार व रविवार सुट्टी
weekend off,शनिवार व रविवार सुट्टी
weekend trip,शनिवार व रविवार सहल
wash,धुवा
home,मुख्यपृष्ठ
clothes,कपडे
pyjamas,पायजामा
lazy sunday,आळशी रविवार
best,सर्वोत्तम
offs,बंद
pyjama party,पायजामा पार्टी
unwind,उलगडणे
relaxing,आरामदायक
busy,व्यस्त
hibernation,हायबरनेशन
sofa,सोफा
couch,पलंग
couch potato,पलंग बटाटा
silence,शांतता
sleeping,झोपलेला
lazing,आळशीपणा
unwinding,अनावश्यक
today,आज
nothing,काहीही नाही
doing,करत आहे
relax,आराम
chilling,शीतकरण
lazy ass,आळशी गाढव
chill,थंडगार
no work,काम नाही
holiday,सुट्टी
sundays,रविवारी
vacation,सुट्टी
lazy bum,आळशी बम
eat,खा
sleep,झोप
repeat,पुन्हा करा
resting,विश्रांती
glutton,खादाड
eating,खाणे
hungry,भुकेलेला
foodie,फूड
good morning,शुभ प्रभात
sunrise,सूर्योदय
woke,वेक
awake,जागृत
up,वर
rise up,उठून
day,दिवस
in bed,बिछान्यात
bed,बेड
sleepy,निद्रिस्त
woke up,उठलो
useless,निरुपयोगी
vacations,सुट्ट्या
saturday,शनिवार
week off,साप्ताहिक सुटी
idle,निष्क्रिय
pizza,पिझ्झा
pancakes,पॅनकेक्स
food,अन्न
food items,खाद्यपदार्थ
indulgence,भोग
weekend indulgence,शनिवार व रविवार भोग
rajnikanth,रजनीकांत
rajnikant,रजनीकांत
thalaiva,सेवकांना द्वारमंडप
south indian cinema,दक्षिण भारतीय चित्रपट
tamil actor,तमिळ अभिनेता
tamil movies,तामिळ चित्रपट
movies,चित्रपट
south indian,दक्षिण भारतीय
south indian actor,दक्षिण भारतीय अभिनेता
movie dialogues,चित्रपट संवाद
understand,समजणे
better,चांगले
style,शैली
cant,कठिण
stop,थांबा
stop me,मला थांबवा
south indian movies,दक्षिण भारतीय चित्रपट
play,खेळा
ball,बॉल
action,क्रिया
drama,नाटक
kon,शकते
kaun,कोण
who,Who
rok,वर्ष
aaram,बाकी
time,वेळ
rest,उर्वरित
south indian dialogues,दक्षिण भारतीय संवाद
south india,दक्षिण भारत
bullet,बंदूकीची गोळी
goli,गोळी
fast,वेगवान
tez,प्रबंध
anna,अन्ना
sotuh india,दक्षिण भारत
fastest,सर्वात वेगवान
faster,वेगवान
rajnikanth jokes,रजनीकांत विनोद करतात
yanna rascala,यन्ना रसला
rascala,रास्कला
actor,अभिनेता
indian actor,भारतीय अभिनेता
lungi,लांब
master,मास्टर
lungi master,लुंगी मास्टर
rajni,राजकारणी
lungi dance,लुंगी नृत्य
chalbaaz,ट्रिकस्टर
movie dialog,चित्रपट संवाद
liquor,दारू
booze,बोज
drinking,मद्यपान
drunk,नशेत
indian movies,भारतीय चित्रपट
rajnikanth dialogues,रजनीकांत संवाद
dialogues,संवाद
chamak,चमकणे
shine,चमकणे
twenty twenty,वीस वीस
sachin,सॅचिन
batting,फलंदाजी
bowling,गोलंदाजी
indian cricket team,भारतीय क्रिकेट संघ
indian cricket,भारतीय क्रिकेट
cricket world cup,क्रिकेट विश्वचषक
cricketer,क्रिकेटपटू
sports,खेळ
cricket fans,क्रिकेट चाहते
fan,चाहता
bat,वटवाघूळ
bowl,वाडगा
india,भारत
you,आपण
balls,गोळे
cricket,क्रिकेट
indian cricketers,भारतीय क्रिकेटपटू
batsman,फलंदाज
bowler,गोलंदाज
injury,इजा
bowled,बोल्ड
match,सामना
catch,झेल
out,बाहेर
run out,धावचीत
cricket match,क्रिकेट सामना
hit,दाबा
maar,पण
punch,ठोसा
howzzat,हॉजझॅट
indian cricketer,भारतीय क्रिकेटपटू
that,ते
six,सहा
sixer,षटकार
shot,शॉट
clap,टाळ्या
what,काय
dont,नाही
be,व्हा
duck,बदक
bend,वाकणे
low,कमी
sachin tendulkar,साचिन तेंडुलकर
tendulkar,तेंडुलकर
god,देव
god of cricket,क्रिकेटचा देव
indian cricket match,भारतीय क्रिकेट सामना
century,शतक
match night,सामना रात्री
sports injury,खेळ इजा
cricket kit,क्रिकेट किट
match score,सामना स्कोअर
score,धावसंख्या
win,जिंकणे
lost,हरवले
victory,विजय
bata,करडू
video,व्हिडिओ
online,ऑनलाइन
cricket fan,क्रिकेट चाहता
player,खेळाडू
third,तिसऱ्या
3rd,दाखवा
umpire,पंच
referee,रेफरी
indian team,भारतीय संघ
indian player,भारतीय खेळाडू
12th,12 वी
man,मनुष्य
twelveth,बारावा
indian crickter,भारतीय क्रिकेटपटू
saale,साले
smooth,गुळगुळीत
delivery,वितरण
commentary,भाष्य
cricket commentary,क्रिकेट भाष्य
strike,संप
cheerleader,चीअरलीडर
cheer,आनंदी
match fixing,मॅच फिक्सिंग
fixing,फिक्सिंग
bik,बेक
tu,आपण
cricket team,क्रिकेट संघ
can,करू शकता
drive,ड्राइव्ह
players,खेळाडू
full,पूर्ण
toss,नाणेफेक
full toss,पूर्ण नाणेफेक
pitch,खेळपट्टी
bounce,बाउन्स
ek,एक
one,एक
bouncer,बाउन्सर
do,करा
not,नाही
afraid,भीती
scared,भयभीत
hero,नायक
super hero,सुपर नायक
powerpuff girls,पॉवरपफ मुली
powerpuff,पॉवरफफ
girls,मुली
power,शक्ती
daring,धिटाई
strong,मजबूत
bold,धीट
fighter woman,लढाऊ महिला
fighter,लढाऊ
here,येथे
I am,मी आहे
cartoon network,कार्टून नेटवर्क
cartoon,व्यंगचित्र
professor,प्राध्यापक
ehh,अहो
whats up,काय आहे
sup,समर्थन
doc,डॉक
doctor,डॉक्टर
bugs bunny,बग ससा
rabbit,ससा
carrot,गाजर
annoying,त्रासदायक
cartoons,व्यंगचित्र
cartooon network,कार्टून नेटवर्क
bunny,ससा
cute,गोंडस
hey,अहो
hi,हाय
the,अगोदर निर्देश केलेल्या बाबीसंबंधी बोलताना
is,आहे
yours,आपले
captain planet,कर्णधार ग्रह
planet,ग्रह
captain,कर्णधार
brave,शूर
empowering,सशक्तीकरण
will,होईल
hunt,शोधाशोध
down,खाली
hunter,शिकारी
road runner,रस्ता धावणारा
The Road Runner,रस्ता धावणारा
The Coyote,कोयोटे
looney toons,लोनी टन्स
toons,toons
animal instincts,प्राणी अंतःप्रेरणा
beep beep,बीप बीप
acme,acme
pretty,सुंदर
are,आहेत
I m,मी मी
johnny,जॉनी
johnny bravo,जॉनी ब्राव्हो
bravo,ब्राव्हो
dude,यार
sexy,मादक
mojo jojo,मोजो जोोजो
villain,खलनायक
evil,वाईट
wicked,दुष्ट
bad,वाईट
baddie,बॅडी
cruel,क्रूर
cruel intentions,क्रूर हेतू
bff,bff
forever,कायमचे
life,जीवन
ed edd and eddy,एड एडी आणि एडी
ed,एड
edd,एड
eddy,एडी
bestie,प्राणी
log,लॉग
imaginary,काल्पनिक
imaginary friend,काल्पनिक मित्र
plank,फळी
aww,ओहो
moment,क्षण
great,छान
childhood,बालपण
ruined,उध्वस्त
cats,मांजरी
swat cats,स्वात मांजरी
roll,रोल
bahadur bille,शूर मांजरी
swat,स्वात
swat kats,स्वात मांजरी
bade miyan,मोठा मियां
chote miyan,छोटा मिआन
fighters,सैनिक
best friends,सर्वोत्तम मित्र
The Radical Squadron,रॅडिकल स्क्वॉड्रन
BADE MEOW,माझे वजन कमी करा
CHOTE,लहान
MEOW,MEOW
cartoon shows,व्यंगचित्र शो
children,मुले
catch you,आपण पकडू
tom,टॉम
jerry,जेरी
tom and jerry,टॉम आणि जेरी
cat,मांजर
mouse,उंदीर
wanna,इच्छित
cartoon character,व्यंगचित्र पात्र
the addams family,amsडम्स कुटुंब
wednesday,बुधवार
girl,मुलगी
knock,ठोका
jetsons,जेटसन
the jetsons,जेटसन
jane,जेन
george,जॉर्ज
laugh,हसणे
haha,हाहा
dexter,डेक्सटर
dexters laboratory,डेक्स्टर्स प्रयोगशाळा
network,नेटवर्क
deedee,डीडी
scientist,वैज्ञानिक
lab,प्रयोगशाळा
mayor,महापौर
secretary,सचिव
sexy secretary,मादक सचिव
Ms Sara Bellum,श्रीमती सारा युद्ध
sara bellum,सारा युद्ध
the powerpuff  girls,पॉवरफफ मुली
Townsville,टाउनसविले
red hair,लाल केस
dress,पोशाख
red,लाल
heels,टाचा
hot,गरम
bear,अस्वल
smarter,हुशार
average,सरासरी
fat,चरबी
smart,हुशार
THE YOGI BEAR,योगी अस्वल
THE YOGI BEAR SHOW,योगी अस्वल दाखवा
wise,ज्ञानी
intelligent,हुशार
we,आम्ही
kid,करडू
sharing,सामायिकरण
share,सामायिक करा
alvin and the chipmunks,एल्विन आणि चिपमँक्स
alvin,एल्विन
chipmunks,चिपमक
Simon,सायमन
Theodore,थियोडोर
prize,बक्षीस
yes,होय
yeah,होय
all right,ठीक आहे
alright,ठीक
boss,बॉस
sir,सर
servant,नोकर
maid,दासी
richie rich,श्रीमंत श्रीमंत
Irona the Robot Maid,रोबोट दासी Irona
robot,रोबोट
irona,लोह
Mrs Rich,श्रीमती श्रीमंत
ok,ठीक आहे
Sarabhai VS Sarabhai,साराभाई व्हीएस साराभाई
rosesh,गुलाब
sarabhai,सरभाभाई
moma,moma
momma,आई
mamas boy,मामा मुलगा
car,गाडी
boy,मुलगा
Einstein,आईन्स्टाईन
biwi,बायको
wife,बायको
brain,मेंदू
stupid,मूर्ख
big cars,मोठ्या मोटारी
lol,मोठ्याने हसणे
poetry,कविता
roshes poetry,roshes कविता
gaadi,कार
dimag,मेंदू
idiot,मूर्ख
lame,लंगडा
lame poetry,लंगडा कविता
wine,वाइन
whiskey,व्हिस्की
champagne,पांढरे चमकदार मद्य
drinks,पेय
drink,पेय
offering drinks,पेय अर्पण
cheers,चीअर
alcohol,दारू
sitcom,सिटकॉम
indian sitcom,भारतीय सिटकॉम
middle class,मध्यमवर्ग
ls,ls
highclass,उच्च वर्ग
maya,माया
maya sarabhai,माया सरभाई
mind,मन
making,तयार करणे
point,बिंदू
vs,वि
sitcoms,साइटकॉम्स
indian sitcoms,भारतीय साइटमॉक्स
argument,युक्तिवाद
arguing,वादावादी
haunsla,धैर्य
sweety,गोड
monisha,मनीषा
hope,आशा
dont lose,हरवू नका
lose,गमावणे
proud,अ भी मा न
monisha sarabhai,मोनिषा साराभाई
poison,विष
milk,दूध
acting,अभिनय
overacting,अतिक्रमण करणे
woman,स्त्री
indian woman,भारतीय स्त्री
comedy shows,विनोदी कार्यक्रम
comedy,विनोद
indian comedy shows,भारतीय विनोदी कार्यक्रम
doodh,दोध
swear,शपथ
indian comedy,भारतीय विनोद
promise,वचन
jaljeera,jaljeera
celebration,उत्सव
housewife,गृहिणी
aroma,सुगंध
rosesh sarabhai,गुलाब साराभाई
happiness,आनंद
show,दाखवा
indian shows,भारतीय कार्यक्रम
happy dance,आनंदी नृत्य
mummy,मम्मी
purse,पर्स
hospital,रुग्णालय
sweet,गोड
nurse,परिचारिका
flattering,खुशामत
impress,प्रभावित करा
patient,रुग्ण
mom,आई
mother,आई
mommas boy,आईचा मुलगा
lmao,lmao
jelly,जेली
roseshs poetry,गुलाबांची कविता
son,मुलगा
doting,बिंदू
dote,हुंडा
pigeons,कबूतर
birds,पक्षी
pigeon,कबूतर
writings,लेखन
writing,लेखन
so,तर
class,वर्ग
middle,मध्यम
high class,उच्च वर्ग
showoff,दिखावा
broke,तोडले
money,पैसे
rupees,रुपये
cash,रोख
card,कार्ड
credit card,क्रेडीट कार्ड
miser,वाईट
scrooge,कर्कश
low on cash,रोख कमी
wallet,पाकीट
no money,पैसे नाहीत
no salary,पगार नाही
salary,पगार
balance,शिल्लक
low balance,कमी शिल्लक
no cash,रोख नाही
phone call,फोन कॉल
mobile phone,भ्रमणध्वनी
forgot,विसरलात
brothers,भाऊ
dead,मृत
bhai,भाई
buddy,मित्र
bud,कळी
bro,भाऊ
t shirt,टी शर्ट
shirt,शर्ट
tee,टी
t,ट
brother,भाऊ
borrow,कर्ज घेणे
loan,कर्ज
owe,देणे
bill,बिल
check,तपासा
no balance,शिल्लक नाही
pay,पैसे द्या
restaurant,उपहारगृह
bro brother,भाऊ भाऊ
extra,अतिरिक्त
ask,विचारा
snack,स्नॅक
snacking,स्नॅकिंग
bhel,भेल
more,अधिक
munching,गाळणे
hogging,हॉगिंग
snacks,खाद्यपदार्थ
note,नोट
girls night,मुलिंची रात्र
girls night out,मुली रात्री बाहेर
ladies night,स्त्रिया रात्री
broke girls,तुटलेल्या मुली
clubbing,क्लबिंग
club,क्लब
tonight,आज रात्री
lets party,चला पार्टी करुया
dancing,नृत्य
women,महिला
thursday,गुरुवार
birthday,वाढदिवस
gift,भेट
present,उपस्थित
birthday gift,वाढदिवसाची भेट
birthday party,वाढदिवस पार्टी
kanjoos,कंजूस
asking,विचारणे
birthday present,वाढदिवसाची भेट
shopping,खरेदी
shop,दुकान
cell phone,सेल फोन
urgent call,तातडीचा ​​कॉल
no battery,बॅटरी नाही
dead phone,मृत फोन
make,बनवा
scoorge,कर्कश
yaar,कोण
bruh,bruh
chai,खाली फाडणे
tea,चहा
masala tea,मसाला चहा
kadak chai,कठोर चाई
cutting chai,कापणी चहा
treat,उपचार
hangout,हँगआउट
tea shop,चहाचे दुकान
tea stall,चहाचा स्टॉल
guys,अगं
guy,माणूस
Demonetisation,प्रदर्शन
car pool,कार पूल
cab pool,टॅक्सी पूल
cab sharing,टॅक्सी सामायिकरण
auto,ऑटो
delhi auto,दिल्ली ऑटो
taxi sharing,टॅक्सी सामायिकरण
travelling,प्रवास
travel,प्रवास
traveling,प्रवास
friendship,मैत्री
change,बदल
big note,मोठी नोट
five hundred note,पाचशेची नोट
bill pay,बिल वेतन
no change,काही बदल नाही
currency,चलन
metro,मेट्रो
stuck,अडकले
got,आला
transport,वाहतूक
bus,बस
train,ट्रेन
metro train,मेट्रो ट्रेन
delhi metro,दिल्ली मेट्रो
delhi metro train,दिल्ली मेट्रो ट्रेन
mumbai metro,मुंबई महानगर
local transport,स्थानिक वाहतूक
late,उशीरा
late to work,काम करण्यास उशीर झाला
excuses,निमित्त
worker,कामगार
employee,कर्मचारी
office staff,कार्यालयीन कर्मचारी
manager,व्यवस्थापक
team,संघ
suit,खटला
cab,टँक्सी
cabbie,कोबी
cab guy,टॅक्सी माणूस
driver,ड्रायव्हर
taxi driver,टॅक्सी चालक
taxi,टॅक्सी
auto driver,वाहन चालक
route,मार्ग
direction,दिशा
area,क्षेत्र
took,घेतला
delayed,विलंब
latecomer,उशीरा
navigation,नेव्हिगेशन
way,मार्ग
road,रस्ता
street,रस्ता
procession,मिरवणूक
job,नोकरी
in laws,कायद्यांमध्ये
mother in law,सासू
father in law,सासरे
inlaws,inlaws
relatives,नातेवाईक
married,विवाहित
married employee,विवाहित कर्मचारी
bahane,निमित्त
kaam,काम
office job,कार्यालयीन नोकरी
office excuses,कार्यालयाचे निमित्त
loosemotions,सैल
loose motions,सैल गती
sick,आजारी
sickness,आजारपण
ill,आजारी
unwell,अस्वस्थ
late coming,उशीरा येत
workexcuses,वर्केक्सकस
member,सदस्य
fake,बनावट
faking illness,faking आजार
bad stomach,वाईट पोट
stomach ache,पोटदुखी
potty,पॉटी
dump,डंप
poop,पॉप
parents,पालक
station,स्टेशन
pick,निवडा
railway station,रेल्वे स्टेशन
bus stand,बसस्थानक
work excuses,कामाचे निमित्त
work place,कामाची जागा
flat tyre,पंक्चर
puncture,पंचर
tyre,टायर
broke down,खाली पडले
working,काम करत आहे
sad employee,दु: खी कर्मचारी
on,चालू
skipped,वगळले
bai,पांढरा
kaamwali,मोलकरीण
late today,आज उशीरा
theft,चोरी
robbery,दरोडा
heist,दरोडा
building,इमारत
society,समाज
crime scene,गुन्हा देखावा
appartment,अपार्टमेंट
work excuse,कामाचे निमित्त
employer,नियोक्ता
car broke down,कार खाली पडली
kharab,वाईट
gaadi band,गाडी बंद
raining,पाऊस
monsoon,पावसाळा
location,स्थान
city,शहर
water clogging,पाणी अडकणे
paani,पाणी
coca cola,कोक
thanda,थंड
coke,कोक
yo,मी
beverage,पेय
taste the feeling,भावना चाखणे
taste,चव
bottle,बाटली
cola,कोला
coca,कोका
coke bottle,कोकची बाटली
jersey,जर्सी
soft drink,हलकं पेय
1,1
coca cola,कोक
meet,भेटणे
walking,चालणे
foodies,खाद्यपदार्थ
khushiyaan,वैशिष्ट्य
feeling,भावना
meeting,बैठक
towel,टॉवेल
bathroom,स्नानगृह
shower,शॉवर
girl in washroom,वॉशरूममध्ये मुलगी
washroom,स्वच्छतागृह
toilet,शौचालय
girl in towel,टॉवेल मध्ये मुलगी
no wash,वॉश नाही
clean,स्वच्छ
fresh,ताजे
freshen,फ्रेशन
company,कंपनी
dirty pack,गलिच्छ पॅक
pack,पॅक
dirty,गलिच्छ
cold,थंड
girl in bathrobe,आंघोळीची मुलगी
bathing,आंघोळ
bathe,आंघोळ घाला
industry,उद्योग
clean up,साफ करा
unhygienic,अस्वच्छ
hygiene,स्वच्छता
sanitary,स्वच्छताविषयक
fever,ताप
ganda,दुप्पट
deodorant,दुर्गंधीनाशक
in,मध्ये
kal,उद्या
nahaya,आंघोळ केली
ath,.थ
athing,काहीतरी
wash wash up,धुवा
alibi,अलिबी
excuse,माफ करा
nightsuit,नाईटसूट
underwear,मुख्य कपड्याखाली घालायचे आतील कपडे
kacche,रॉ
dhule,dhule
washing,धुणे
dry,कोरडे
dirty clothes,घाणेरडे कपडे
arriving late,उशीरा आगमन
ironing,इस्त्री
iron,लोह
pants,अर्धी चड्डी
trousers,पायघोळ
naked,नग्न
tie,टाय
no bath,आंघोळ नाही
warm,उबदार
restroom,शौचालय
woman in towel,टॉवेल मध्ये स्त्री
pink,गुलाबी
lady,बाई
hot water bath,गरम पाण्याची आंघोळ
no shower,शॉवर नाही
holi,होळी
wash up,धुण्यास
pichkaari,अणुमापक
gross,स्थूल
abey,अबी
blue,निळा
naha,त्वचा
winter,हिवाळा
oye,ओय
come,या
thand,थंड
Daisy Duck,डेझी डक
darling,प्रिय
good,चांगले
luck,नशीब
good luck,शुभेच्छा
memories,आठवणी
bae,बा
girl friend,मुलगी मित्र
school days,शाळेचे दिवस
eighties,ऐंशी
baby,बाळ
lovable,प्रेमळ
girl friends,मुलगी मित्र
post,पोस्ट
posted,पोस्ट केले
first,पहिला
before,आधी
update,अद्यतनित करा
social media,सोशल मीडिया
donald duck,डोनाल्ड बदक
donald,डोनाल्ड
child,मूल
hilarious,आनंदी
insane,वेडा
cuteness,cuteness
mental,वेडा
mentally,मानसिकरित्या
oh,अरे
boy oh boy,मुलगा अरे मुलगा
mickey,मिकी
mickey mouse,मिकी माऊस
response,प्रतिसाद
shocked,धक्का बसला
some,काही
music,संगीत
songs,गाणी
song,गाणे
minnie,मिनी
mini,मिनी
minni,माझे
minnie mouse,मिनी माउस
melody,चाल
need,गरज
all,सर्व
romance,प्रणय
romanctic,रोमँटिक
conversations,संभाषणे
talks,बोलतो
lover,प्रियकर
guitar,गिटार
instrument,इन्स्ट्रुमेंट
forbidden,निषिद्ध
romantic,रोमँटिक
heart ache,हृदय वेदना
dill,बडीशेप
how,कसे
cteness,cteness
starts,सुरू होते
beginning,सुरुवात
conversation,संभाषण
for,च्या साठी
group,गट
happy birthday,वाढदिवसाच्या हार्दिक शुभेच्छा
to me,सह
my birthdy,माझा वाढदिवस
my,माझे
hello,नमस्कार
starters,प्रारंभ
begin,सुरू
mouseketeers,माऊसकेटर
magic,जादू
jaafu,गप्पाटप्पा
jadu,जादू
cloak,पोशाख
me,मी
praise,स्तुती
in love,प्रेमात
ishq,ishq
flirt,इश्कबाजी
flirtatious,चिडखोर
filmy,चित्रपट
bollywood,बॉलीवूड
cinema,सिनेमा
hindi,हिंदी
relationships,नाती
pyar,प्रेम
dl,डीएल
zindagi,जिंदगी
hai,आहे
dialogue,संवाद
dialog,संवाद
mohabbat,मोहब्बत
lovesick,loveick
chance,संधी
stake,भागभांडवल
risk,धोका
kuch,काही
by,द्वारा
mera,मेरा
limit,मर्यादा
main,मुख्य
hearts,ह्रदये
rule,नियम
pyaar ke rules,प्रेमाचे नियम
friendzone,मित्र झोन
friendzoned,फ्रेंडझोन केलेले
diwana,वेडा
mad,वेडा
ole,नाही
bole,म्हणतात
saif,सैफ
saif ali khan,सैफ अली खान
tera,तेरा
jab bhi,जेव्हाही
see,पहा
dekhu,पहा
ladka,मुलगा
bike,दुचाकी
hitting,साथ दिली
hitting on,वर मारत
aur,सोने
dono,जे
thai ishqiya,थाई इश्किया
baccha,बाळ
hai jee,होय
empty,रिक्त
pockets,खिसे
paisa,पैसे
cashless,रोकड विरहित
staff,कर्मचारी
later,नंतर
diwali,दिवाळी
professional,व्यावसायिक
prediwali,prediwali
diwali party,दिवाळी पार्टी
card party,कार्ड पार्टी
ethnic wear,वांशिक पोशाख
traditional wear,पारंपारिक पोशाख
traditional,पारंपारिक
festive,उत्सव
festive wear,उत्सव पोशाख
daru,भेट
sharab,वाइन
alocohol,दारू
kurta pyjama,कुर्ता पायजामा
where,कुठे
cardparty,कार्डपार्टी
say,म्हणा
to,करण्यासाठी
crackers,फटाके
slogan,घोषणा
deepawali,दीपावली
dipawali,दीपावली
cards,कार्डे
couple,जोडी
rangoli,रांगोळी
stay,मुक्काम
away,लांब
diya,दिले
lamps,दिवे
diwlai celebration,दिवाळी साजरी
maa,जमीन
mata,डोळा
housewide,घरगुती
safai,स्वच्छता
ghar,घर
house,घर
house cleaning,घर साफसफाईची
diwali cleaning,दिवाळी साफ करणे
karega,करेल
ki,च्या
daughter,मुलगी
sahab,सर
housekeeper,घराची सर्व व्यवस्था पाहणारी व्यक्ती
cleaner,क्लिनर
diwlai,कृपया
bonus,बोनस
diwali bonus,दिवाळी बोनस
bucket,बादली
cleaning,स्वच्छता
broom,झाडू
jhaduu,झाडू
diwali shopping,दिवाळी खरेदी
with,सह
be like,जसे की
bags,पिशव्या
shopping bags,खरेदी पिशव्या
missing,गहाळ
miss,चुकले
miss you,तुझी आठवण येते
yaad,लक्षात ठेवा
ghar ki yaad,घरी लक्षात ठेवा
nostalgia,नॉस्टॅल्जिया
nostalgic,उदासीन
baksheesh,बक्षीस
paise,पैसे
superstar,सुपरस्टार
stage,स्टेज
mic,माइक
singer,गायक
melodies,धुन
perform,सादर करणे
gig,गिग
star,तारा
band,बँड
rockband,रॉक बँड
musician,संगीतकार
spotlight,स्पॉटलाइट
goodwork,चांगले काम
well,चांगले
done,केले
welldone,वेलडोन
good job,चांगली नोकरी
acha,विचार करा
sun,सूर्य
surf,सर्फ
surfboard,सर्फबोर्ड
surfing,सर्फिंग
shining,प्रकाशमय
waves,लाटा
swiming,पोहणे
swimwear,पोहण्याचे कपडे
swimsuit,पोहण्याचा पोशाख
goa,गोवा
beaches,किनारे
usic,सामान्य
performance,कामगिरी
acha kaam,चांगले काम
ha,आहे
hell,नरक
burn,जाळणे
burning,ज्वलंत
laughing,हसणे
interaction,सुसंवाद
talk,चर्चा
old,जुन्या
days,दिवस
memory,स्मृती
college,कॉलेज
cowboy,गुराखी
cowboy hat,गुराखी टोपी
cowboy boots,गुराखी बूट
boots,बूट
dessert,मिष्टान्न
hat,टोपी
fighting,लढाई
goodnight,शुभ रात्री
night,रात्री
dreams,स्वप्ने
sweetdreams,स्वीटड्रम्स
moon,चंद्र
dark,गडद
stars,तारे
the moon,चंद्र
clouds,ढग
sky,आकाश
end,शेवट
scare,घाबरणे
scray,भितीदायक
boo,बू
ghost,भूत
land,जमीन
scarecrow,भितीदायक
shock,धक्का
surprise,आश्चर्य
zombie,स्वतंत्रपणे निर्णय घेण्याची कुवत नसलेला असा मनुष्य
hahaha,हाहाहा
laughter,हास्य
wicked laugh,दुष्ट हसणे
scary,भितीदायक
tight,घट्ट
honey,मध
grilfriend,मैत्रीण
college days,महाविद्यालयीन दिवस
older,जुने
young,तरुण
younger,तरुण
retro,रेट्रो
yearn,तळमळ
booo,बूओ
witch,चेटकीण
