bobble,ਬੌਬਲ
school,ਵਿਦਿਆਲਾ
uniform,ਵਰਦੀ
bag,ਬੈਗ
study,ਅਧਿਐਨ
student,ਵਿਦਿਆਰਥੀ
padhai,ਅਧਿਐਨ
party,ਪਾਰਟੀ
beach,ਬੀਚ
cool,ਠੰਡਾ
swim,ਤੈਰਨਾ
pool,ਪੂਲ
float,ਫਲੋਟ
swimming,ਤੈਰਾਕੀ
ride,ਸਵਾਰੀ
race,ਦੌੜ
hurry,ਜਲਦੀ
coming,ਆ ਰਿਹਾ ਹੈ
scooter,ਸਕੂਟਰ
wait,ਉਡੀਕ ਕਰੋ
umbrella,ਛੱਤਰੀ
rainy day,ਮੀਂਹ ਵਾਲਾ ਦਿਨ
reading,ਪੜ੍ਹਨਾ
books,ਕਿਤਾਬਾਂ
book,ਕਿਤਾਬ
read,ਪੜ੍ਹੋ
enjoy,ਅਨੰਦ ਲਓ
paper,ਕਾਗਜ਼
boat,ਕਿਸ਼ਤੀ
office,ਦਫਤਰ
super trump,ਸੁਪਰ ਟਰੰਪ
donald trump,ਡੋਨਲਡ ਟਰੰਪ
wig,ਵਿੱਗ
orange hair,ਸੰਤਰੀ ਵਾਲ
yellow hair,ਪੀਲੇ ਵਾਲ
usa,ਯੂਐਸਏ
u.s.a,u.s.a
politicians,ਸਿਆਸਤਦਾਨ
politics,ਰਾਜਨੀਤੀ
hair styles,ਵਾਲ ਸਟਾਈਲ
hair drier,ਹੇਅਰ ਡ੍ਰਾਏਰ
president,ਪ੍ਰਧਾਨ
the states,ਰਾਜ
politician,ਸਿਆਸਤਦਾਨ
american elections,ਅਮਰੀਕੀ ਚੋਣਾਂ
elections,ਚੋਣਾਂ
campaign,ਮੁਹਿੰਮ
american elections 2016,ਅਮਰੀਕੀ ਚੋਣਾਂ 2016
greatest,ਮਹਾਨ
orange,ਸੰਤਰਾ
trump,ਟਰੰਪ
US,ਸਾਨੂੰ
campaigns,ਮੁਹਿੰਮਾਂ
funny,ਮਜ਼ਾਕੀਆ
hair,ਵਾਲ
yellow,ਪੀਲਾ
honest,ਇਮਾਨਦਾਰ
honesty,ਇਮਾਨਦਾਰੀ
honest politicians,ਇਮਾਨਦਾਰ ਸਿਆਸਤਦਾਨ
america,ਅਮਰੀਕਾ
leader,ਲੀਡਰ
people,ਲੋਕ
confident,ਵਿਸ਼ਵਾਸ
support,ਸਹਾਇਤਾ
political party,ਰਾਜਨੀਤਿਕ ਪਾਰਟੀ
selfie,ਸੈਲਫੀ
trumpfie,ਟਰੰਪੀ
picture,ਤਸਵੀਰ
photo,ਤਸਵੀਰ
camera,ਕੈਮਰਾ
donald trump hair,ਡੋਨਲਡ ਟਰੰਪ ਵਾਲ
trump hair,ਟਰੰਪ ਵਾਲ
silk,ਰੇਸ਼ਮ
silky,ਰੇਸ਼ਮੀ
silky hair,ਰੇਸ਼ਮੀ ਵਾਲ
dresser,ਡਰੈਸਰ
hair style,ਵਾਲ ਸ਼ੈਲੀ
hair dresser,ਵਾਲ ਡ੍ਰੈਸਰ
super hero trump,ਸੁਪਰ ਹੀਰੋ ਟਰੰਪ
i am trump,ਮੈਂ ਟਰੰਪ ਹਾਂ
i,i
am,am
american politics,ਅਮਰੀਕੀ ਰਾਜਨੀਤੀ
american election 2016,ਅਮਰੀਕੀ ਚੋਣ 2016
rockstar,ਰਾਕ ਸਟਾਰ
americans,ਅਮਰੀਕੀ
america elections 2016,ਅਮਰੀਕਾ ਦੀਆਂ ਚੋਣਾਂ 2016
tomorrow,ਕੱਲ
lazy,ਸੁਸਤ
tired,ਥੱਕੇ ਹੋਏ
laidback,ਪੁੱਠਾ ਲੇਟ ਜਾਓ
laze,ਲਾਜ਼
procrastination,inationਿੱਲ
procrastinate,inateਿੱਲ
delay,ਦੇਰੀ
morning,ਸਵੇਰ
work day,ਕੰਮ ਦਾ ਦਿਨ
weekend,ਸ਼ਨੀਵਾਰ
off,ਬੰਦ
weekends,ਸ਼ਨੀਵਾਰ
holidays,ਛੁੱਟੀਆਂ
no,ਨਹੀਂ
bath,ਇਸ਼ਨਾਨ
sunday,ਐਤਵਾਰ
weekend holiday,ਹਫਤੇ ਦੀ ਛੁੱਟੀ
weekend off,ਸ਼ਨੀਵਾਰ ਛੁੱਟੀ
weekend trip,ਸ਼ਨੀਵਾਰ ਦੀ ਯਾਤਰਾ
wash,ਧੋਵੋ
home,ਘਰ
clothes,ਕਪੜੇ
pyjamas,ਪਜਾਮਾ
lazy sunday,ਆਲਸੀ ਐਤਵਾਰ
best,ਵਧੀਆ
offs,ਬੰਦ
pyjama party,ਪਜਾਮਾ ਪਾਰਟੀ
unwind,ਅਣਚਾਹੇ
relaxing,ਆਰਾਮਦਾਇਕ
busy,ਵਿਅਸਤ
hibernation,ਹਾਈਬਰਨੇਸ਼ਨ
sofa,ਸੋਫਾ
couch,ਸੋਫੇ
couch potato,ਸੋਫੇ ਆਲੂ
silence,ਚੁੱਪ
sleeping,ਸੁੱਤਾ
lazing,ਲੇਜਿੰਗ
unwinding,ਬੇਲੋੜੀ
today,ਅੱਜ
nothing,ਕੁਝ ਨਹੀਂ
doing,ਕਰ ਰਿਹਾ ਹੈ
relax,ਸ਼ਾਂਤ ਹੋ ਜਾਓ
chilling,ਠੰਡਾ
lazy ass,ਆਲਸੀ ਖੋਤਾ
chill,ਠੰਡਾ
no work,ਕੋਈ ਕੰਮ ਨਹੀਂ
holiday,ਛੁੱਟੀ
sundays,ਐਤਵਾਰ
vacation,ਛੁੱਟੀ
lazy bum,ਆਲਸੀ ਬੰਮ
eat,ਖਾਣਾ
sleep,ਨੀਂਦ
repeat,ਦੁਹਰਾਓ
resting,ਆਰਾਮ
glutton,ਗਲੂਟਨ
eating,ਖਾਣਾ
hungry,ਭੁੱਖਾ
foodie,ਭੋਜਨ
good morning,ਸ਼ੁਭ ਸਵੇਰ
sunrise,ਸੂਰਜ ਚੜ੍ਹਨਾ
woke,ਜਾਗਿਆ
awake,ਜਾਗਣਾ
up,ਉੱਪਰ
rise up,ਵਧੋ; ਖੜ੍ੇ ਹੋਵੋ
day,ਦਿਨ
in bed,ਮੰਜੇ ਵਿੱਚ
bed,ਬਿਸਤਰੇ
sleepy,ਸੁਸਤ
woke up,ਜਾਗਿਆ
useless,ਬੇਕਾਰ
vacations,ਛੁੱਟੀਆਂ
saturday,ਸ਼ਨੀਵਾਰ
week off,ਹਫਤੇ ਦੀ ਛੁੱਟੀ
idle,ਵਿਹਲਾ
pizza,ਪੀਜ਼ਾ
pancakes,ਪੈਨਕੇਕ
food,ਭੋਜਨ
food items,ਖਾਣ ਦੀਆਂ ਚੀਜ਼ਾਂ
indulgence,ਭੋਗ
weekend indulgence,ਸ਼ਨੀਵਾਰ ਸ਼ਮੂਲੀਅਤ
rajnikanth,ਰਜਨੀਕਾਂਤ
rajnikant,ਰਜਨੀਕਾਂਤ
thalaiva,Portico
south indian cinema,ਦੱਖਣੀ ਭਾਰਤੀ ਸਿਨੇਮਾ
tamil actor,ਤਾਮਿਲ ਅਦਾਕਾਰ
tamil movies,ਤਾਮਿਲ ਫਿਲਮਾਂ
movies,ਫਿਲਮਾਂ
south indian,ਦੱਖਣੀ ਭਾਰਤੀ
south indian actor,ਦੱਖਣੀ ਭਾਰਤੀ ਅਦਾਕਾਰ
movie dialogues,ਫਿਲਮ ਸੰਵਾਦ
understand,ਸਮਝੋ
better,ਬਿਹਤਰ
style,ਸ਼ੈਲੀ
cant,ਡਾਂਗ
stop,ਰੂਕੋ
stop me,ਮੈਨੂੰ ਰੋਕੋ
south indian movies,ਦੱਖਣੀ ਭਾਰਤੀ ਫਿਲਮਾਂ
play,ਖੇਡੋ
ball,ਬਾਲ
action,ਕਾਰਵਾਈ
drama,ਨਾਟਕ
kon,ਕਰ ਸਕਦਾ ਹੈ
kaun,ਕੌਣ
who,ਕੌਣ
rok,ਸਾਲ
aaram,ਬਾਕੀ
time,ਸਮਾਂ
rest,ਆਰਾਮ
south indian dialogues,ਦੱਖਣੀ ਭਾਰਤੀ ਸੰਵਾਦ
south india,ਦੱਖਣੀ ਭਾਰਤ
bullet,ਗੋਲੀ
goli,ਗੋਲੀ
fast,ਤੇਜ਼
tez,ਥੀਸੀਸ
anna,ਅੰਨਾ
sotuh india,ਦੱਖਣੀ ਭਾਰਤ
fastest,ਤੇਜ਼
faster,ਹੋਰ ਤੇਜ਼
rajnikanth jokes,ਰਜਨੀਕਾਂਤ ਚੁਟਕਲੇ
yanna rascala,yanna ਰਸਾਲਾ
rascala,ਰਸਾਲਾ
actor,ਅਭਿਨੇਤਾ
indian actor,ਭਾਰਤੀ ਅਭਿਨੇਤਾ
lungi,ਲੰਮੇ
master,ਮਾਸਟਰ
lungi master,ਲੰਗੀ ਮਾਸਟਰ
rajni,ਸਿਆਸਤਦਾਨ
lungi dance,ਲੰਗੀ ਡਾਂਸ
chalbaaz,ਚਾਲਬਾਜ਼
movie dialog,ਫਿਲਮ ਸੰਵਾਦ
liquor,ਸ਼ਰਾਬ
booze,ਬੂਜ
drinking,ਪੀਣ
drunk,ਸ਼ਰਾਬੀ
indian movies,ਭਾਰਤੀ ਫਿਲਮਾਂ
rajnikanth dialogues,ਰਜਨੀਕਾਂਤ ਸੰਵਾਦ
dialogues,ਸੰਵਾਦ
chamak,ਚਮਕ
shine,ਚਮਕ
twenty twenty,ਵੀਹ ਵੀਹ
sachin,ਸਾਚਿਨ
batting,ਬੱਲੇਬਾਜ਼ੀ
bowling,ਗੇਂਦਬਾਜ਼ੀ
indian cricket team,ਭਾਰਤੀ ਕ੍ਰਿਕਟ ਟੀਮ
indian cricket,ਭਾਰਤੀ ਕ੍ਰਿਕੇਟ
cricket world cup,ਕ੍ਰਿਕੇਟ ਵਿਸ਼ਵ ਕੱਪ
cricketer,ਕ੍ਰਿਕਟਰ
sports,ਖੇਡਾਂ
cricket fans,ਕ੍ਰਿਕਟ ਪ੍ਰਸ਼ੰਸਕ
fan,ਪੱਖਾ
bat,ਬੱਲਾ
bowl,ਕਟੋਰਾ
india,ਭਾਰਤ
you,ਤੁਸੀਂ
balls,ਜ਼ਿਮਬਾਬਵੇ
cricket,ਕ੍ਰਿਕਟ
indian cricketers,ਭਾਰਤੀ ਕ੍ਰਿਕਟਰ
batsman,ਬੱਲੇਬਾਜ਼
bowler,ਗੇਂਦਬਾਜ਼
injury,ਸੱਟ
bowled,ਬੋਲਡ
match,ਮੈਚ
catch,ਫੜੋ
out,ਬਾਹਰ
run out,ਭੱਜ ਜਾਓ
cricket match,ਕ੍ਰਿਕਟ ਮੈਚ
hit,ਹਿੱਟ
maar,ਪਰ
punch,ਪੰਚ
howzzat,ਹਾਵੇਜ਼ੈਟ
indian cricketer,ਭਾਰਤੀ ਕ੍ਰਿਕਟਰ
that,ਕਿ
six,ਛੇ
sixer,ਛੱਕੇ
shot,ਸ਼ਾਟ
clap,ਤਾੜੀ
what,ਕੀ
dont,ਨਾ ਕਰੋ
be,ਹੋ
duck,ਬਤਖ਼
bend,ਮੋੜੋ
low,ਘੱਟ
sachin tendulkar,ਸਚਿਨ ਤੇਂਦੁਲਕਰ
tendulkar,ਤੇਂਦੁਲਕਰ
god,ਰੱਬ
god of cricket,ਕ੍ਰਿਕਟ ਦਾ ਦੇਵਤਾ
indian cricket match,ਭਾਰਤੀ ਕ੍ਰਿਕਟ ਮੈਚ
century,ਸਦੀ
match night,ਮੈਚ ਰਾਤ
sports injury,ਖੇਡਾਂ ਦੀ ਸੱਟ
cricket kit,ਕ੍ਰਿਕਟ ਕਿੱਟ
match score,ਮੈਚ ਸਕੋਰ
score,ਸਕੋਰ
win,ਜਿੱਤ
lost,ਗੁੰਮ ਗਿਆ
victory,ਜਿੱਤ
bata,ਬੱਚਾ
video,ਵੀਡੀਓ
online,ਆਨਲਾਈਨ
cricket fan,ਕ੍ਰਿਕਟ ਪ੍ਰਸ਼ੰਸਕ
player,ਖਿਡਾਰੀ
third,ਤੀਜਾ
3rd,ਦਿਖਾਓ
umpire,ਅੰਪਾਇਰ
referee,ਰੈਫਰੀ
indian team,ਭਾਰਤੀ ਟੀਮ
indian player,ਭਾਰਤੀ ਖਿਡਾਰੀ
12th,12 ਵੀਂ
man,ਆਦਮੀ
twelveth,ਬਾਰ੍ਹਵਾਂ
indian crickter,ਭਾਰਤੀ ਕ੍ਰਿਕਟਰ
saale,ਸੇਲ
smooth,ਨਿਰਵਿਘਨ
delivery,ਡਿਲਿਵਰੀ
commentary,ਟਿੱਪਣੀ
cricket commentary,ਕ੍ਰਿਕਟ ਟਿੱਪਣੀ
strike,ਹੜਤਾਲ
cheerleader,ਚੀਅਰਲੀਡਰ
cheer,ਖੁਸ਼
match fixing,ਮੈਚ ਫਿਕਸਿੰਗ
fixing,ਫਿਕਸਿੰਗ
bik,ਬੇਕ
tu,ਤੁਸੀਂ
cricket team,ਕ੍ਰਿਕਟ ਟੀਮ
can,ਕਰ ਸਕਦਾ ਹੈ
drive,ਚਲਾਉਣਾ
players,ਖਿਡਾਰੀ
full,ਪੂਰਾ
toss,ਟਾਸ
full toss,ਪੂਰੀ ਟੌਸ
pitch,ਪਿੱਚ
bounce,ਉਛਾਲ
ek,ਇਕ
one,ਇੱਕ
bouncer,ਬਾounceਂਸਰ
do,ਕਰੋ
not,ਨਹੀਂ
afraid,ਡਰ
scared,ਡਰਿਆ
hero,ਹੀਰੋ
super hero,ਸੁਪਰ ਹੀਰੋ
powerpuff girls,ਪਾਵਰਪੱਫ ਕੁੜੀਆਂ
powerpuff,ਪਾਵਰਪੱਫ
girls,ਕੁੜੀਆਂ
power,ਤਾਕਤ
daring,ਹਿੰਮਤ
strong,ਮਜ਼ਬੂਤ
bold,ਬੋਲਡ
fighter woman,ਲੜਾਕੂ .ਰਤ
fighter,ਲੜਾਕੂ
here,ਇਥੇ
I am,ਮੈਂ ਹਾਂ
cartoon network,ਕਾਰਟੂਨ ਨੈਟਵਰਕ
cartoon,ਕਾਰਟੂਨ
professor,ਪ੍ਰੋਫੈਸਰ
ehh,ਆਹ
whats up,ਕੀ ਹੋ ਰਿਹਾ ਹੈ
sup,ਸਹਾਇਤਾ
doc,ਡੌਕ
doctor,ਡਾਕਟਰ
bugs bunny,ਬੱਗ ਬਨੀ
rabbit,ਖ਼ਰਗੋਸ਼
carrot,ਗਾਜਰ
annoying,ਤੰਗ ਕਰਨ ਵਾਲੇ
cartoons,ਕਾਰਟੂਨ
cartooon network,ਕਾਰਟੂਨ ਨੈਟਵਰਕ
bunny,ਬਨੀ
cute,ਪਿਆਰਾ
hey,ਓਏ
hi,ਹਾਇ
the,ਇਹ
is,ਹੈ
yours,ਤੁਹਾਡਾ
captain planet,ਕਪਤਾਨ ਗ੍ਰਹਿ
planet,ਗ੍ਰਹਿ
captain,ਕਪਤਾਨ
brave,ਬਹਾਦਰ
empowering,ਸ਼ਕਤੀਕਰਨ
will,ਕਰੇਗਾ
hunt,ਸ਼ਿਕਾਰ
down,ਥੱਲੇ, ਹੇਠਾਂ, ਨੀਂਵਾ
hunter,ਸ਼ਿਕਾਰੀ
road runner,ਰੋਡ ਦੌੜਾਕ
The Road Runner,ਰੋਡ ਦੌੜਾਕ
The Coyote,ਕੋਯੋਟ
looney toons,ਲੂਨੀ ਟੂਨਸ
toons,Toons
animal instincts,ਜਾਨਵਰ ਪ੍ਰਵਿਰਤੀ
beep beep,ਬੀਪ ਬੀਪ
acme,acme
pretty,ਸੋਹਣਾ
are,ਹਨ
I m,ਮੈਂ ਐਮ
johnny,ਜੋਹਨੀ
johnny bravo,ਜੌਹਨੀ ਬ੍ਰਾਵੋ
bravo,ਬ੍ਰਾਵੋ
dude,ਯਾਰ
sexy,ਸੈਕਸੀ
mojo jojo,ਮੋਜੋ ਜੋਜੋ
villain,ਖਲਨਾਇਕ
evil,ਬੁਰਾਈ
wicked,ਦੁਸ਼ਟ
bad,ਬੁਰਾ
baddie,ਬੈਡੀ
cruel,ਬੇਰਹਿਮ
cruel intentions,ਬੇਰਹਿਮੀ ਇਰਾਦੇ
bff,bff
forever,ਸਦਾ ਲਈ
life,ਜ਼ਿੰਦਗੀ
ed edd and eddy,ਐਡੀ ਐਡੀ ਅਤੇ ਏਡੀ
ed,ਐਡ
edd,ਐਡੀ
eddy,ਐਡੀ
bestie,ਜਾਨਵਰ
log,ਲਾਗ
imaginary,ਕਾਲਪਨਿਕ
imaginary friend,ਕਾਲਪਨਿਕ ਦੋਸਤ
plank,ਤਖ਼ਤੀ
aww,ਆਹ
moment,ਪਲ
great,ਮਹਾਨ
childhood,ਬਚਪਨ
ruined,ਬਰਬਾਦ
cats,ਬਿੱਲੀਆਂ
swat cats,ਸਵੈਟ ਕਿੱਟਾਂ
roll,ਰੋਲ
bahadur bille,ਬਹਾਦਰ ਬਿੱਲੀਆਂ
swat,ਸਵਾਤ
swat kats,ਸਵੈਟ ਕਿੱਟਾਂ
bade miyan,ਵੱਡਾ ਮੀਆਂ
chote miyan,ਛੋਟਾ ਮੀਆਂ
fighters,ਲੜਾਕੂ
best friends,ਸਭਤੋਂ ਅੱਛੇ ਦੋਸਤ
The Radical Squadron,ਰੈਡੀਕਲ ਸਕੁਐਡਰਨ
BADE MEOW,ਮੇਰਾ ਖਾਣਾ
CHOTE,ਛੋਟਾ
MEOW,MEOW
cartoon shows,ਕਾਰਟੂਨ ਸ਼ੋਅ
children,ਬੱਚੇ
catch you,ਤੁਹਾਨੂੰ ਫੜਨ
tom,ਟੋਮ
jerry,ਜੈਰੀ
tom and jerry,ਟਾਮ ਅਤੇ ਜੈਰੀ
cat,ਬਿੱਲੀ
mouse,ਮਾ mouseਸ
wanna,ਚਾਹੁੰਦੇ ਹਾਂ
cartoon character,ਕਾਰਟੂਨ ਅੱਖਰ
the addams family,ਸ਼ਾਮਲ ਪਰਿਵਾਰ
wednesday,ਬੁੱਧਵਾਰ
girl,ਕੁੜੀ
knock,ਦਸਤਕ
jetsons,ਜੈਟਸਨ
the jetsons,ਜੈੱਟਸਨ
jane,ਜੇਨ
george,ਜੋਰਜ
laugh,ਹਾਸਾ
haha,ਹਾਹਾ
dexter,dexter
dexters laboratory,ਡੇਕਸਟਰਜ਼ ਪ੍ਰਯੋਗਸ਼ਾਲਾ
network,ਨੈੱਟਵਰਕ
deedee,ਡੀਡੀ
scientist,ਵਿਗਿਆਨੀ
lab,ਲੈਬ
mayor,ਮੇਅਰ
secretary,ਸੈਕਟਰੀ
sexy secretary,ਸੈਕਸੀ ਸੈਕਟਰੀ
Ms Sara Bellum,ਸ੍ਰੀਮਤੀ ਸਾਰਾਹ ਯੁੱਧ
sara bellum,Sara ਜੰਗ
the powerpuff  girls,ਪਾਵਰਪੱਫ ਕੁੜੀਆਂ
Townsville,ਟਾਉਂਸਵਿਲੇ
red hair,ਲਾਲ ਵਾਲ
dress,ਪਹਿਰਾਵਾ
red,ਲਾਲ
heels,ਅੱਡੀ
hot,ਗਰਮ
bear,ਰਿੱਛ
smarter,ਚੁਸਤ
average,.ਸਤ
fat,ਚਰਬੀ
smart,ਚੁਸਤ
THE YOGI BEAR,ਯੋਗੀ ਰਿੱਛ
THE YOGI BEAR SHOW,ਯੋਗੀ ਦਾ ਭਾਲੋ
wise,ਸਿਆਣਾ
intelligent,ਸੂਝਵਾਨ
we,ਅਸੀਂ
kid,ਬੱਚਾ
sharing,ਸ਼ੇਅਰਿੰਗ
share,ਸ਼ੇਅਰ
alvin and the chipmunks,ਐਲਵਿਨ ਅਤੇ ਚਿੱਪਮੰਕਸ
alvin,ਐਲਵਿਨ
chipmunks,ਚਿੱਪਮੈਂਕਸ
Simon,ਸਾਈਮਨ
Theodore,ਥੀਓਡੋਰ
prize,ਇਨਾਮ
yes,ਹਾਂ
yeah,ਹਾਂ
all right,ਚੰਗਾ
alright,ਠੀਕ ਹੈ
boss,ਬੌਸ
sir,ਸਰ
servant,ਨੌਕਰ
maid,ਨੌਕਰਾਣੀ
richie rich,ਅਮੀਰ ਅਮੀਰ
Irona the Robot Maid,ਆਇਰੋਨਾ ਰੋਬੋਟ ਨੌਕਰਾਣੀ
robot,ਰੋਬੋਟ
irona,ਲੋਹਾ
Mrs Rich,ਸ਼੍ਰੀਮਤੀ ਅਮੀਰ
ok,ਠੀਕ ਹੈ
Sarabhai VS Sarabhai,ਸਾਰਾਭਾਈ ਵੀ ਐਸ ਸਾਰਾਭਾਈ
rosesh,ਗੁਲਾਬ
sarabhai,ਸਰਭਾਈ
moma,moma
momma,ਮੰਮੀ
mamas boy,ਮਾਮੇ ਮੁੰਡੇ
car,ਕਾਰ
boy,ਮੁੰਡਾ
Einstein,ਆਈਨਸਟਾਈਨ
biwi,ਪਤਨੀ
wife,ਪਤਨੀ
brain,ਦਿਮਾਗ
stupid,ਮੂਰਖ
big cars,ਵੱਡੀਆਂ ਕਾਰਾਂ
lol,lol
poetry,ਕਵਿਤਾ
roshes poetry,ਰੋਸ ਕਵਿਤਾ
gaadi,ਕਾਰ
dimag,ਦਿਮਾਗ
idiot,ਮੂਰਖ
lame,ਲੰਗੜਾ
lame poetry,ਲੰਗੜਾ ਕਵਿਤਾ
wine,ਸ਼ਰਾਬ
whiskey,ਵਿਸਕੀ
champagne,ਸ਼ੈੰਪੇਨ
drinks,ਪੀਣ
drink,ਪੀ
offering drinks,ਪੀਣ ਦੀ ਪੇਸ਼ਕਸ਼
cheers,ਚੀਅਰਸ
alcohol,ਸ਼ਰਾਬ
sitcom,ਸਿਟਕਾੱਮ
indian sitcom,ਇੰਡੀਅਨ ਸਿਟਕਾੱਮ
middle class,ਮੱਧ ਵਰਗ
ls,ls
highclass,ਉੱਚ ਕਲਾਸ
maya,ਮਾਇਆ
maya sarabhai,ਮਾਇਆ ਸਰਭਾਈ
mind,ਮਨ
making,ਬਣਾਉਣ
point,ਬਿੰਦੂ
vs,ਬਨਾਮ
sitcoms,ਬੈਠਕ
indian sitcoms,ਭਾਰਤੀ ਬੈਠਕ
argument,ਦਲੀਲ
arguing,ਬਹਿਸ ਕਰਨਾ
haunsla,ਹਿੰਮਤ
sweety,ਸਵੀਟੀ
monisha,ਮਨੀਸ਼ਾ
hope,ਉਮੀਦ
dont lose,ਗੁਆ ਨਾ ਕਰੋ
lose,ਹਾਰੋ
proud,ਹੰਕਾਰੀ
monisha sarabhai,ਮੋਨੀਸ਼ਾ ਸਾਰਾਭਾਈ
poison,ਜ਼ਹਿਰ
milk,ਦੁੱਧ
acting,ਅਦਾਕਾਰੀ
overacting,ਬਹੁਤ ਜ਼ਿਆਦਾ
woman,.ਰਤ
indian woman,ਭਾਰਤੀ ਰਤ
comedy shows,ਕਾਮੇਡੀ ਸ਼ੋਅ
comedy,ਕਾਮੇਡੀ
indian comedy shows,ਭਾਰਤੀ ਕਾਮੇਡੀ ਸ਼ੋਅ
doodh,ਡੂਧ
swear,ਸਹੁੰ ਖਾਓ
indian comedy,ਭਾਰਤੀ ਕਾਮੇਡੀ
promise,ਵਾਅਦਾ
jaljeera,jaljeera
celebration,ਜਸ਼ਨ
housewife,ਘਰੇਲੂ .ਰਤ
aroma,ਖੁਸ਼ਬੂ
rosesh sarabhai,ਰੋਜ਼ਸ਼ ਸਾਰਾਭਾਈ
happiness,ਖੁਸ਼ਹਾਲੀ
show,ਦਿਖਾਓ
indian shows,ਭਾਰਤੀ ਪ੍ਰਦਰਸ਼ਨ
happy dance,ਖੁਸ਼ ਨ੍ਰਿਤ
mummy,ਮੰਮੀ
purse,ਪਰਸ
hospital,ਹਸਪਤਾਲ
sweet,ਮਿੱਠਾ
nurse,ਨਰਸ
flattering,ਚਾਪਲੂਸੀ
impress,ਪ੍ਰਭਾਵਿਤ
patient,ਮਰੀਜ਼
mom,ਮੰਮੀ
mother,ਮਾਂ
mommas boy,ਮੰਮੀ ਮੁੰਡੇ
lmao,lmao
jelly,ਜੈਲੀ
roseshs poetry,ਗੁਲਾਬੀ ਕਵਿਤਾ
son,ਪੁੱਤਰ
doting,ਬਿੰਦੀ
dote,ਦਾਜ
pigeons,ਕਬੂਤਰ
birds,ਪੰਛੀ
pigeon,ਕਬੂਤਰ
writings,ਲਿਖਤ
writing,ਲਿਖਣਾ
so,ਇਸ ਲਈ
class,ਕਲਾਸ
middle,ਮੱਧ
high class,ਉੱਚ ਕਲਾਸ
showoff,ਵਖਾਵਾ
broke,ਤੋੜਿਆ
money,ਪੈਸਾ
rupees,ਰੁਪਏ
cash,ਨਕਦ
card,ਕਾਰਡ
credit card,ਕਰੇਡਿਟ ਕਾਰਡ
miser,ਦੁੱਖ
scrooge,ਘੁਟਾਲਾ
low on cash,ਨਕਦ 'ਤੇ ਘੱਟ
wallet,ਬਟੂਆ
no money,ਕੋਈ ਪੈਸਾ ਨਹੀ
no salary,ਤਨਖਾਹ ਨਹੀਂ
salary,ਤਨਖਾਹ
balance,ਸੰਤੁਲਨ
low balance,ਘੱਟ ਸੰਤੁਲਨ
no cash,ਕੋਈ ਨਕਦ ਨਹੀਂ
phone call,ਫੋਨ ਕਾਲ
mobile phone,ਮੋਬਾਇਲ ਫੋਨ
forgot,ਭੁੱਲ ਗਏ
