colva,കോൾവ
kahe,രണ്ട്
kahebhai,കഹെഭായ്
makasam,മക്സൻ
nawazuddinsiddique,നവാസുദ്ദീൻ സിദ്ദിഖ്
faizalkhan,faizalkhan
amma,പക്ഷേ
apnamma,ഉപനാമ
sath,കൂടെ
saath,കൂടെ
saathjao,കൂടെ
paida,ജനനം
birth,ജനനം
paidahuehai,ജനനം
inexperienced,അനുഭവപരിചയമില്ലാത്തവർ
womaniya,വോംനിയ
freebasics,ഫ്രീ ബേസിക്സ്
connect,ബന്ധിപ്പിക്കുക
lsrt'sconnect,ല്സ്ര്ത്സ്ചൊംനെച്ത്
worlddomination,ലോകവത്കരണം
tonightsplan,ഇന്ന് രാത്രി
akal,കാരണം
shakalpematjao,മുഖം താഴെ വയ്ക്കുക
poor,പാവം
kisisekam,ഞാൻ കിസിസെക
kamnahi,സവിശേഷത
jaago,ജാഗോ
grahak,ഉപഭോക്താവ്
graahak,ഉപഭോക്താവ്
jaagohraahakjaago,ക്രയോണുകൾ
consumer,ഉപഭോക്താവ്
consumercourt,ഉപഭോഗകോർട്ട്
alarmclock,അലാറം ക്ലോക്ക്
harekfriend,ഹരെക്ഫ്രിഎംദ്
zaruri,നിസ്തുല
wrap,റാപ്
giftwrap,സമ്മാന പൊതി
wrapped,പൊതിഞ്ഞ്
dedo,വിരൽ
freehai,ഫ്രീഹായ്
tumhariyaadmein,നിങ്ങളിൽ
dukh,ആത്മാവ്
aji,അജി
ghantamera,മണി
bell,മണി
damp,നനഞ്ഞ
ganna,എണ്ണം
choos,ചോസ്
sugarcane,കരിമ്പ്
muddy,ചെളി
dustbin,ഡസ്റ്റ്ബിൻ
unclean,അശുദ്ധം
camel,ഒട്ടകം
cameltoe,ഒട്ടകം
santre,കേന്ദ്രീകൃതമാണ്
girgaye,വീഴ്ച
london,ലണ്ടൻ
chillar,ഛില്ലര്
rakhta,സൂക്ഷിക്കുന്നു
rakhtahu,സൂക്ഷിക്കുക
kela,കേള
chhedo,കളിയാക്കുക
againsteveteasing,againsteveteasing
chhedna,കളിയാക്കാൻ
permisan,അനുവദിക്കുക
pura,ശുദ്ധം
golgol,കൊളീജിയറ്റ്
ghumaoge,കറങ്ങും
beataroundthebush,ബെഅതരൊഉംദ്ഥെബുശ്
dum,ഡം
hummeinhaidum,ഹുംമെഇംഹൈദുമ്
takat,കക്കൂസുകളും
guts,ധൈര്യം
donkey,കഴുത
hutt,ഹട്ട്
budbak,ബുഡ്ബാക്ക്
bihari,ബിഹാരി
balancescale,ബാലൻസ്കെയിൽ
weighingmachine,തൂക്കമുള്ള യന്ത്രം
bujhaya,കെടുത്തി
samose,സമോസ
alu,ആലു
bihar,ബിഹാർ
lalu,തുടർന്ന്
sakal,എല്ലാം
surat,കത്ത്
dikhana,കാണിക്കാൻ
matdikhana,ഇല
misscall,മിസ്ഡ് കോൾ
missedcall,മിസ്ഡ് കോൾ
debu,പൊടി
eksutta,നഷ്ടപ്പെടും
pliss,pliss
suttadena,ഗുഡ്നൈറ്റ്
chillad,ഛില്ലദ്
khulle,തുറക്കുമ്പോൾ
coin,നാണയം
piggybank,പിഗ്ഗിബാങ്ക്
udhaar,ക്രെഡിറ്റ്
dede,പിതാമഹന്
udharde,അവിടെ
udhardede,ഉധാർഡെ
dus,അതിനാൽ
10,10
rupayee,പണം
jeb,jeb
rikshaw,റിക്ഷ
10hihai,10 ദിവസം അതെ
phoekar,ഫോക്കർ
callback,തിരിച്ചു വിളിക്കുക
nobalance,അസന്തുലിതാവസ്ഥ
landphone,ലാൻഡ്‌ഫോണിൽ
500,500
500kacoffee,500 കക്കോഫി
ccd,ccd
sarojini,സരോജിനി
sarojinikkapde,sarojinikkapde
sn,sn
sarojinimarket,സരോജിനിമാർക്കറ്റ്
200memiltahai,200 എംഎം
gharwale,ജീവനക്കാർ
kharcha,ചെലവ്
pocketmoney,പോക്കറ്റ്മണി
allowance,അലവൻസ്
freekisharaab,freekisharaab
freekadaru,ഫ്രീക്കി
peeunanga,പെയിന്റിംഗ്
jebkhali,ഗിബിൾ
khaali,ലളിതമായി
pocketkhaali,പോക്കറ്റ്ഖാലി
bahubali,ബാഹുബലി
laut,ഉച്ചത്തിൽ
lautaya,മടങ്ങി
resurrection,പുനരുത്ഥാനം
maharanidevsena,മഹാറാണിദേവസേന
maharani,മഹാറാണി
captive,ബന്ദിയാണ്
bachega,അതിജീവിക്കും
wontlive,wontlive
die,ദി
perish,നശിക്കുക
ruin,നശിപ്പിക്കുക
panchi,പഞ്ച്
panchibole,പഞ്ച് ബുക്ക്
panchhi,പക്ഷികൾ
avanthika,അവന്തിക
vachan,വാഗ്ദാനം
meravachan,എന്റെ സംസാരം
aagya,അനുമതി
vachanhiagyahai,വാഗ്ദാനം ചെയ്യരുത്
shivagami,ശിവഗാമി
vijai,വിജയ്
vijay,വിജയ്
iamthevictor,iamthevictor
victor,വിജയി
bhallaldev,ഭല്ലാൽദേവ്
bhallal,ഭല്ലാൽ
nidar,നിദര്
mainnidarhoon,എനിക്ക് ഉറക്കം
baahubali,ബാഹുബലി
prabhas,പ്രഭാസ്
mahendrabahubali,മഹേന്ദ്രബാഹുബലി
mahendra,മഹേന്ദ്ര
jeena,ജീവിക്കാൻ
jeenahoga,ജിൻ‌ഹോഗ
survivor,അതിജീവിച്ചയാൾ
survive,അതിജീവിക്കുക
kla,പരാതിപ്പെടുക
cloos,cloos
mahishmati,മഹിഷ്മതി
bow arrow,വില്ലു അമ്പടയാളം
gulam,ഞാൻ ഗുലാം
kimat,വില
kimatnahi,ഇല്ല
priceless,അമൂല്യമായ
valuable,വിലപ്പെട്ടതാണ്
katappa,ഹാപ്പ
sathyaraj,പാർലമെന്ററി
meresath,എന്നോടൊപ്പം
comewithme,എനിക്കൊപ്പം വരിക
balwan,ശക്തമാണ്
aurbalwan,സ്ട്രോംഗ്മാൻ
rajguru,രാജ്ഗുരു
adatya,ആദിത്യ
madeforeachother,പരസ്പരം ചേര്ച്ചയുള്ള
made,നിർമ്മിച്ചത്
eachother,അന്യോന്യം
parrot,കിളി
sendinglove,അയയ്‌ക്കുന്ന സ്നേഹം
sending,അയയ്ക്കുന്നു
messenger,മെസഞ്ചർ
kabutar,പ്രാവ്
lookatthat,അത് നോക്ക്
beauty,സൗന്ദര്യം
admire,അഭിനന്ദിക്കുക
admiration,പ്രശംസ
elephantride,ആന
haathi,ഹാത്തി
letme,എൽഇഡി
pickyouup,pickyouup
pickup,പുരോഗമിക്കുക
buy,വാങ്ങാൻ
garden,തോട്ടം
buyyouagarden,buyyouagarden
blush,നാണംകെട്ടത്
blushing,നാണംകെട്ട
iamblushing,iamblushing
eye,കണ്ണ്
eying,eying
eyecontact,കണ്‌ടാക്റ്റ്
lookingatme,എന്നെ നോക്കുന്നു
damnboy,നാശം
youarehandsome,നിങ്ങൾ ഭയങ്കര
deer,മാൻ
titanic,ടൈറ്റാനിക്
titanicasan,ടൈറ്റാനിക്കാസൻ
aasan,എളുപ്പമാണ്
swagaasan,സ്വാഗ
loose,അയഞ്ഞ
loosemotion,വയറിളക്കം
stomachupset,വയറ്റിൽ അസ്വസ്ഥത
roko,ഭുജം
yogasehoga,നിങ്ങൾ ചെയ്യുമോ
peeche,തിരികെ
bum,ബം
bums,ബംസ്
buttocks,നിതംബം
culo,കഴുത
bumsinteair,ഒരു ബമ്മർ
putyourbumsintheair,putyourbumsintheair
saans,വൈകുന്നേരം
breathe,ശ്വസിക്കുക
breathing,ശ്വസനം
andar,നടക്കുക
inhale,ശ്വസിക്കുക
exhale,ശ്വാസം വലിക്കുക
ulta,നേരെ വിപരീതമാണ്
pulta,വിദൂര നിയന്ത്രണം
ultapulta,ഉല്തപുല്ത
upsidedown,തലകീഴായി
topseyturvy,മികച്ച സീസണുകൾ
phas,phas
phasgaya,phasgaya
tangled,സങ്കീർണ്ണമായ
fasgaya,അപ്രത്യക്ഷമാകുന്നു
fas,ഫാസ്
bete,പൂരിപ്പിക്കുക
tugaya,തുഗായ
abtugaya,abtugaya
talak,തലക്
divorce,വിവാഹമോചനം
banchoo,ബഞ്ചൂ
bhaikatalaak,ഗാഗ്
grandfather,മുത്തച്ഛൻ
fuddi,മിണ്ടുക
hootiye,ഹൂട്ട്
hutiye,നീങ്ങുക
hootiya,ഹൂട്ടിയ
hutiya,ഹതിയ
maakichu,നന്നായി ചു
Papa Maakichu,പപ്പാ മക്കിചു
bhola,ഭോല
innocent,നിരപരാധികൾ
bhenka,പിൻ ചെയ്യുക
nainai,മുത്തശ്ശി
nainainainai,മുത്തശ്ശി മുത്തശ്ശി
ohyeah,ഓ, അതെ
yeahhh,അതെ
ohyeahh,ഓഹിയാഹ്
ohyes,ഓഹീസ്
pareshan,ഉത്കണ്ഠ
troubled,കലങ്ങി
pareshaanhu,അസ്വസ്ഥത
surprisebanchoo,സർപ്രൈസ്ബഞ്ചൂ
cheez,ചീസ്
badi,വലിയ
tucheezbadihaimastmast,തുച്ചിസ്ബാദിഹൈമാസ്റ്റമാസ്റ്റ്
rightswipe,അവകാശങ്ങൾ തുടച്ചുമാറ്റുക
right swipe,വലത് സ്വൈപ്പ്
tinder,ടിൻഡർ
rightswipeaterial,അവകാശ വൈപ്പീരിയൽ
cause,കാരണം
majama,തമാശയിൽ
pajama,പൈജാമ
majamainmypajama,മസ്മെനിപജാമ
pjs,pjs
scooty,സ്കൂട്ടി
chetak,ചേതക്
gf,gf
banja,സ്പാ
gfbanjameri,gfbanjameri
garammasala,കളങ്കം
hothawt,പ്രീതി
gabbarbasanti,gabbarbasanti
tujhse,നിങ്ങളിൽ നിന്ന്
basabhogaya,ബോസി
abeh,abeh
abbey,ആബി
abbe,abbe
banjamerabae,ബഞ്ച്മെറാബെ
aye,aye
ae,ae
ayechikne,Eichiken- ൽ
chikna,മിനുസമാർന്നത്
chikne,മിനുസമാർന്നത്
zara,സര
nach,ശേഷം
nackkdikhao,പണം വരയ്ക്കുക
taarif,സ്തുതി
tarif,താരിഫ്
shukiriya,വിത്ത് കിരിതാനി
shukria,നന്ദി
dogandhooman,dogandhooman
shiro,വെള്ള
disturb,ശല്യപ്പെടുത്തുക
matkato,മത്കതൊ
donotdisturb,ബുദ്ധിമുട്ടിക്കരുത്
don'tdisturb,ചെയ്യരുത്
mote,ഫാഷൻ
vali,തിരഞ്ഞെടുക്കുക
motepet,മോട്ടോപെറ്റ്
bodyshaming,ബോഡി ഷേമിംഗ്
criticising,വിമർശിക്കുന്നു
itnavkhasnahi,പ്രതിജ്ഞാബദ്ധമല്ല
khas,പ്രത്യേക
notspecial,നോട്ട് സ്പെഷ്യൽ
heyy,ഹേയ്
heybaby,ഹേബാബി
churane,മോഷ്ടിക്കുന്നു
budiya,വൃദ്ധ
bachhe,കുട്ടികൾ
bacchechuranevali,ബേബി കുക്ക്
beam,ബീം
actionbeam,ആക്ഷൻബീം
smellyfeet,മണമുള്ളവ
smelly,മണമുള്ള
pair,ജോഡി
paer,കൂടുതൽ
badboo,ബാഡ്‌ബൂ
badsmell,ബദ്സ്മെല്ല്
pairsebadbooatihai,കാൽപ്പാടുകൾ
tumsab,ടുംസാബ്
mereghar,മെരെഘര്
aaoege,പ്രചോദനം
invite,ക്ഷണിക്കുക
invitation,ക്ഷണം
comeover,സന്ദർശിക്കുക
Nazz,നാസ്
Jonny 2*4,ജോണി 2 * 4
kyunahibolteho,ക്വിൻ‌ഹെംബോൾട്ടെഹോ
kamane,വയലിൻ
paisekamane,പണം സമ്പാദിക്കൽ
needtoearn,needtoearn
bhuk,ഭുക്
ideas,ആശയങ്ങൾ
merepass,കേവലം പാസ്
merepaas,വിശ്രമിക്കുക
ideahai,ഐഡിയ കപ്പ്
chhorunga,പോകും
nahichhorunga,nahichhorunga
nahichodunga,നഹിചോദുങ്ക
Kevin,കെവിൻ
mainv,മെൻ
mainbhi,ഞാനും
ata,അവ
aata,aata
aatahu,അയാൾ അത് കൊണ്ടുവന്നു
aatahuyaar,auntyyayaar
Jimmy,ജിമ്മി
isthisyours,isthisyours
chaddi,ടൈറ്റ്സ്
Marie,മാരി
humareghar,ഹുമരഘർ
murgi,മുർഗി
bhaagobhaago,ഓടിപ്പോകുക
escape,എസ്കേപ്പ്
undid,undid
undo,പഴയപടിയാക്കുക
mydo,mydo
whatisit,ഇത് എന്താണ്
we'reateam,weateam
weareaateam,weareaateam
teamspirit,ടീം സ്പിരിറ്റ്
mean,ശരാശരി
leanmean,മെലിഞ്ഞ
vindaloo,vindaloo
ami,ഏത്
amiugly,amiugly
thatugly,അത്
excellent,മികച്ചത്
youknow,നിനക്കറിയാം
uknow,uknow
you know,നിനക്കറിയാം
wateva,വാടേവ
your point,നിങ്ങളുടെ പോയിന്റ്
objective,ലക്ഷ്യം
being,ഉള്ളത്
ehatisyourobjective,ehatisyourobjective
atleast,ഇത്രയെങ്കിലും
at least,ഇത്രയെങ്കിലും
youtried,നിങ്ങൾ ശ്രമിച്ചു
tried,ശ്രമിച്ചു
woohoo,woohoo
woah,വോ
argh,argh
arrgghh,arrgghh
giveme,തരു
givemeahand,ഒരു കൈ സഹായം തരുമോ
nonhuman,മനുഷ്യത്വരഹിതം
human,മനുഷ്യൻ
willsmith,വില് സ്മിത്ത്
youhavemyheart,എന്റെ ഹൃദയം നിന്നിലാണ്
workforbrains,വർക്ക്ഫോർബ്രെയിനുകൾ
placard,പ്ലക്കാർഡ്
kanyewest,kanyewest
kanye,കന്യേ
waitforme,എനിക്കായി കാത്തിരിക്കുക
useyourbrain,useyourbrain
upfordinner,upfordinner
openthedoor,വാതില് തുറക്കൂ
door,വാതിൽ
donotsleep,ഉറങ്ങരുത്
don'tsleep,ഉറങ്ങരുത്
bhaut,പലരും
zorr,പയാസപ്പെട്ട്
zor,പ്രയാസമാണ്
zorseaayi,zorseaayi
teribhabihaiwo,teribhabihaiwo
yele,കഷ്ടിച്ച്
yehle,ഇറങ്ങിവരിക
haath'hath,കൈ
hathkachumma,കൈകൂപ്പി
thappar,അടിക്കുക
tumhare,നിങ്ങളുടെ
tumhareghar,നിങ്ങളുടെ വീട്
parivar,കുടുംബം
baapbhai,ബാപ് ഭായ്
baapbhainahihaikya,ബാപ്ഭായ് നമ്പർ
chalbhai,കാൽവരി
pehlekabhi,ആദ്യമായി
ladkanahidekha,പെൺകുട്ടി
mereko,എനിക്ക്
khani,കഥ
ocecream,ഐസ്ക്രീം
icecreamkhanihai,ഈ ക്രീം ആണ്
bandi,പ്രഖ്യാപനങ്ങൾ
bhaikibandi,സാഹോദര്യം
bhaikibandihai,സാഹോദര്യം
pilao,ക്ഷീണം
aurpilao,ഓർപിലാസ്
bc,bc
chaddinahipehnta,കോലാഹലം
nochaddi,നഗ്നത
per,ഓരോ
pedh,മരം
tree,വൃക്ഷം
mpney,പണം
nahiugte,നഹിഉഗ്തെ
hotel,ഹോട്ടൽ
gharkohotel,gharkohotel
samajh,വിവേകം
paroskbete,നിങ്ങൾ കണ്ണുചിമ്മുന്നു
parosi,സേവിക്കുന്നു
padhos,മരിക്കാൻ
sharmajikbete,ഷാർമാജിക്ബെറ്റ്
neighbour,അയൽക്കാരൻ
neighbor,അയൽക്കാരൻ
sanskar,സൻസ്‌കർ
sanskaar,സംസ്കാരം
sanskari,സംസ്ക്കരിച്ചു
learn,പഠിക്കുക
seekhe,പഠിക്കുക
seekha,പഠിച്ചു
tumne,നിങ്ങൾ
merabeta,മെറാബെറ്റ
nahiraha,നഹിരാഹ
disown,നിരസിക്കുക
chhari,വിടുക
nakkatwayega,ഉണ്ടാക്കും
katwaega,കട്ട് ചെയ്യും
barehoke,വഞ്ചന
future,ഭാവി
bare,നഗ്നമാണ്
bechega,വിൽക്കും
aloobechega,അലൂബെചെഗ
na ho payega,സംഭവിക്കില്ല
payega,ലഭിക്കും
nalayak,അയോഗ്യൻ
kyahoga,നിങ്ങൾ എന്തു ചെയ്യും
samajhkerakkha,മനസ്സിലാക്കുന്നു
don'tstop,നിർത്തരുത്
donotstop,നിർത്തരുത്
epic,ഇതിഹാസം
doepicshit,doepicshit
epicshit,ഇതിഹാസം
befree,തുറന്ന മനസുള്ളവരായിരിക്കുക
greatmemories,മഹത്തായ ഓർമ്മകൾ
golive,ഗൊലിവെ
nottoday,ഇന്ന് അല്ല
satan,സാത്താൻ
notnow,ഇപ്പോൾ വേണ്ട
then,തുടർന്ന്
nowisthetime,ഇപ്പോൾ
settles,സ്ഥിരതാമസമാക്കുന്നു
settle,സെറ്റിൽ ചെയ്യുക
stationery,സ്റ്റേഷനറി
notme,ഞാനല്ല
bethechange,bethechange
aspire,അഭിലാഷം
aspiration,അഭിലാഷം
whatsupp,whatsapp
what'sup,whatsapp
wassup,wassup
ohyay,ഓ, അതെ
looser,അയഞ്ഞയാൾ
youloser,യൂലോസർ
rock,പാറ
musicplayer,മ്യൂസിക് പ്ലെയർ
let'srock,അടിച്ചു പൊളിക്കാം
letsrock,അടിച്ചു പൊളിക്കാം
kickit,കിച്കിന്
kickitoff,കിക്കിറ്റോഫ്
gotcha,മനസ്സിലായി
gotchya,ഗോച്ച്യ
gotya,gotya
gotyou,നിന്നെ പിടിച്ചു
got you,നിന്നെ പിടിച്ചു
c'mon baby,കുഞ്ഞ്
c'mon,c'mon
come on baby,വരൂ കുഞ്ഞേ
iamdone,iamdone
iam,ഞാൻ
ahan,അല്ല
aha,aha
ahaa,ആയിരുന്നു
aaha,അഹ്
limits,പരിധി
withoutlimits,പരിധിയില്ലാതെ
limitless,പരിധിയില്ലാത്ത
cestlavie,ചെസ്ത്ലവിഎ
cest,സെസ്റ്റ്
la,ദി
vie,ജീവിതം
each,ഓരോന്നും
timeisprecious,സമയപരിധി
fighttolive,ഫൈറ്റ് ടോളീവ്
frequent,പതിവായി
frequently,കൂടെക്കൂടെ
edityourlife,നിങ്ങളുടെ ജീവിതം എഡിറ്റുചെയ്യുക
outdream,d ട്ട്‌ഡ്രീം
yourself,നിങ്ങൾ സ്വയം
adcenture,സാഹസികത
workhard,വർക്ക്ഹാർഡ്
goodthimhs,ഗുദമ്തിമ്ഹ്സ്
taketime,taketime
gaddar,കഠിനമായ
gaddaron,രാജ്യദ്രോഹികൾ
chodenge,പോകും
chhorenge,പോകും
treachers,രാജ്യദ്രോഹികൾ
traitors,രാജ്യദ്രോഹികൾ
dinraat,ഒറ്റരാത്രികൊണ്ട്
aapki,നിങ്ങളുടെ
seva,അവന്റെ
sewa,വാടക
khursi,ഖുർസി
position,സ്ഥാനം
jayega,പോകും
poori,മുഴുവൻ
puri,പുരി
fulfil,നിറവേറ്റുക
maange,മാങ്കെ
soch,മുടി
desh,രാജ്യം
badlo,മാറ്റുക
sochbadlo,ചിന്തിക്കുക
deshbadlo,മാറ്റുക
saaf,വൃത്തിയാക്കുക
deshkosaaf,ദേശ്കോസഫ്
humaapkesathhai,ഞങ്ങൾ നിങ്ങളോടൊപ്പമുണ്ട്
bana na,na എനിക്ക്
deshkobananahai,ദേശ്കോബാനാന
youget,നിങ്ങൾക്ക് ലഭിക്കും
amity,സൗഹൃദം
dhokha,ചതി
pina,പിന
attendance,ഹാജർ
botanical,ബൊട്ടാണിക്കൽ
metrostation,സബ്‌വേ സ്റ്റേഷൻ
dropkarde,ഡ്രോപ്പ്കാർഡ്
marshal,മാർഷൽ
bachke,കുഴി
bachkerehna,ബാക്കറാന
jaat,ജാട്ട്
jaatboys,ജാറ്റ്‌ബോയ്‌സ്
aintnotoys,aintnotoys
toys,കളിപ്പാട്ടങ്ങൾ
toyboys,കളിപ്പാട്ടങ്ങൾ
id,ഐഡി
IDcard,ഐഡി കാർഡ്
IDcarddikhao,കാത്തിരിക്കുക
identitycard,തിരിച്ചറിയല് രേഖ
checkout,ചെക്ക് ഔട്ട്
checkhimout,ചെക്ക്ഹിമ out ട്ട്
humansofamity,മാനുഷിക ഫാമിറ്റി
balli,ഡാൻസുകൾ
ballikichai,ബാലിക്കിചായ്
peenechaltehai,പെഎനെഛല്തെഹൈ
peene,മദ്യപാനം
studydate,പഠന തീയതി
heygirl,ഏയ് പെൺകുട്ടി
audi,ഓഡി
wannaride,ഈ ദിവസം
ma'am,മനസിനെ
latearrival,വൈകി വരവ്
mahamaya,മഹാമയ
whateva,whateva
textme,തെക്സത്മെ
messege,messege
bang,ബാംഗ്
bangbang,സഹായം
encounter,ഏറ്റുമുട്ടൽ
wowies,wowies
it'snice,ഇത് നല്ലതാണ്
softdrink,ലഘു പാനീയം
fizzydrink,fizzydrink
youknowthat,നിങ്ങൾക്കറിയാം
talkin',സംസാരിക്കുന്നു
talkingtome,സംസാരിക്കുന്നു
yeahbaby,അതെ
youcannpt,youcannpt
oops,ക്ഷമിക്കണം
oopsie,ക്ഷമിക്കണം
imsoretro,ഇമ്സൊരെത്രൊ
iamretro,കസേര
notlike,ഇഷ്ടപ്പെടാത്ത
unlike,വ്യത്യസ്തമായി
other,മറ്റുള്ളവ
notlikeothergirls,notlikeothergirls
phaansi,തൂങ്ങുന്നു
deathpenalty,വധ ശിക്ഷ
deathbyhanging,ഡെത്ത് ബൈഹാംഗിംഗ്
hanging,തൂക്കിക്കൊല്ലൽ
phaansihogi,ഫംസിഹൊഗി
ACP,എ.സി.പി.
Pradyuman,പെർഫ്യൂഷൻ
lagao,ഉയരത്തിലേക്ക് വലിക്കുക
patalagao,മുകളിലേക്ക് തിരിയുക
info,വിവരം
information,വിവരങ്ങൾ
kuchtoh,കുച്ചോ
matlab,മാറ്റ്‌ലാബ്
meaning,അർത്ഥം
matlabsamjhe,എന്നെ അർത്ഥമാക്കുന്നത്
duty,കടമ
dutypehle,ഡ്യൂട്ടിപെഹെൽ
sentiments,വികാരങ്ങൾ
baadmen,പിന്നീട്
dutyfirst,ഡ്യൂട്ടിഫസ്റ്റ്
Inspector,ഇൻസ്പെക്ടർ
Abhijeet,അഭിജിത്
laaash,കിക്ക്
corpse,ദൈവം
deadbody,മൃതദേഹം
clue,സൂചന
Daya,പവർ
laash,ദൈവം
ekaur,മറ്റൊന്ന്
banggg,ബാങ്ഗ്
bangopen,ബാംഗോപെൻ
darwaza,വാതിൽ
darwazatoddo,വാതിൽ തുറക്കുക
sach,പുസ്തകം
sachbahar,സച്ച്ബഹാർ
episodeend,എപ്പിസോഡ്
humnevkiya,ഹുമനേവകിയ
humne,ഞങ്ങൾക്ക് ഉണ്ട്
cannotsucceed,ചംനൊത്സുച്ചെഎദ്
halfofus,പകുതി
progressive,പുരോഗമനപരമായ
regressive,പിന്തിരിപ്പൻ
heldback,ശങ്കിച്ചു
equal,തുല്യമാണ്
equality,സമത്വം
equalrights,തുല്യ അവകാശങ്ങൾ
rights,അവകാശങ്ങൾ
notaskingforit,notaskingforit
askingforit,ചോദിക്കുന്നു
shortclothes,കുറുക്കുവഴികൾ
nomeansno,nomeansno
skirt,പാവാട
chhotekapde,ചെറിയ വസ്ത്രങ്ങൾ
chhoti,ചെറിയ
sochchhoti,വഴക്കം
wearwhatyoulike,വസ്ത്രം
monster,രാക്ഷസൻ
mirror,കണ്ണാടി
notamonster,notamonster
gentleman,മാന്യൻ
realman,റിയൽമാൻ
liberate,സ്വതന്ത്രമാക്കുക
menforfeminism,menforfeminism
supportwomen,സപ്പോർട്ട് വുമൺ
quality,ഗുണമേന്മയുള്ള
goodmen,ഗുഡ്മാൻ
genderequality,ലിംഗ സമത്വം
equalityofthesexes,equalityofthesexes
realmen,ശരിക്കും
gentlemen,മാന്യൻ
respectful,മാന്യമായ
indianwoman,ഇന്ത്യൻ വനിത
indianwomen,ഇന്ത്യൻ വനിതകൾ
dontteachwomen,dontteachwomen
whattowear,എന്താണ് ധരിക്കേണ്ടത്
teachboystobehave,ടീച്ച്ബോയ്സ്റ്റോബെഹേവ്
behavior,പെരുമാറ്റം
bringingup,കൊണ്ടുവരൽ
cyclechor,സൈക്കിൾചോർ
mannu,mannu
manoj,മനോജ്
manojounjabi,മനോ കാസിൽ ദിനം
tumahre,നിങ്ങൾക്ക്
haathon,ഹത്തോൺ
jaadu,ജാദു
haathonmeinjaadu,ഹാൻഡ്സ് ഫ്രീ
aadesh,ഓർഡർ
aadeshdetahun,ഓർഡർ ചെയ്യാൻ
mainaadeshdetahun,Maineadeshdatehoo
rohan,രോഹൻ
rohanmehra,രോഹൻമെഹ്‌റ
tatti,ബന്ധങ്ങൾ
tattimai,തത്തിമൈ
tallihui,തല്ലുയി
jalebihaitu,ജലേബിഹെതു
rahuldev,തൃപ്തികരമാണ്
abto,ഇപ്പോൾ
abtoh,അബ്തൊഹ്
hadd,ഞാൻ ചെയ്യട്ടെ
haddhogai,ifhogai
manveer,മൻ‌വീർ
manveergujjar,മൻ‌വീർഗുജ്ജാർ
khatrahai,ഇത് റിസ്ക് ചെയ്യുക
mujhetumsekhatrahai,ഞാൻ നിന്നെ വളരെയധികം സ്നേഹിക്കുന്നു
om,കുറിച്ച്
swamiom,ഭർത്താവ്
omswamiji,ഭവനരഹിതർ
devi,ദേവി
devibhakt,ഭക്തൻ
bhakt,ഭക്തൻ
devibhakti,ഭക്തി
om swami,ഓം ഭർത്താവ്
swami om,ഭർത്താവ് ഓം
